,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 7-3,Brian Gottfried,F,7-5 6-2,Bjorn Borg,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
1,H2H 2-0,Bob Hewitt,SF,6-3 6-4,Bjorn Borg,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
2,H2H 1-0,Jim Delaney,SF,7-5 6-1,Brian Gottfried,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
3,H2H 5-1,Peter Fleming,QF,6-2 6-3,Bjorn Borg,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
4,H2H 1-0,Kim Warwick,QF,7-5 6-4,Bob Hewitt,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
5,H2H 1-1,Colin Dibley,QF,5-7 7-5 6-3,Jim Delaney,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
6,H2H 3-0,Frew McMillan,QF,6-3 4-6 6-2,Brian Gottfried,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
7,H2H 6-0,M. Riessen,R16,7-5 6-4,Bjorn Borg,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
8,H2H 4-2,S. Smith,R16,6-4 7-5,Peter Fleming,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
9,H2H 2-5,Raul Ramirez,R16,7-6 6-1,Kim Warwick,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
10,H2H 0-1,Jeff Borowiak,R16,WO,Bob Hewitt,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
11,H2H 1-0,Fred McNair,R16,6-7 7-6 6-4,Jim Delaney,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
12,H2H 1-1,Byron Bertram,R16,6-2 3-6 7-6,Colin Dibley,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
13,H2H 2-0,Bengtson,R16,6-4 7-6,Frew McMillan,1977-04-18,https://matchstat.com/tennis/tournaments/m/Denver/1977,Denver
