,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-0,Aaron Krickstein,F,7-5 6-2,John McEnroe,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
1,H2H 1-0,Leif Shiras,SF,6-1 6-0,Aaron Krickstein,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
2,H2H 2-1,Kelly Evernden,SF,3-6 6-4 6-1,John McEnroe,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
3,H2H 1-0,Pete Sampras,QF,6-4 1-6 6-3,Leif Shiras,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
4,H2H 3-0,Paul Annacone,QF,6-7 6-0 7-5,Aaron Krickstein,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
5,H2H 4-1,Dan Goldie,QF,6-3 7-5,Kelly Evernden,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
6,H2H 1-2,Jim Courier,QF,6-2 6-4,John McEnroe,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
7,H2H 4-1,Tim Mayotte,R16,6-3 6-4,Pete Sampras,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
8,H2H 3-0,Joey Rive,R16,7-5 6-2,Leif Shiras,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
9,H2H 2-0,Rick Leach,R16,6-4 7-6,Aaron Krickstein,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
10,H2H 1-0,Tobias Svantesson,R16,6-3 3-6 6-3,Paul Annacone,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
11,H2H 2-0,Derrick Rostagno,R16,4-6 6-4 7-6,Kelly Evernden,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
12,H2H 1-0,Van't Hof,R16,6-3 6-7 6-2,Dan Goldie,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
13,H2H 2-0,Marc Flur,R16,7-6 6-2,Jim Courier,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
14,H2H 1-0,Ricardo Acuna,R16,6-1 6-1,John McEnroe,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
15,H2H 1-0,Patrick McEnroe,R32,6-3 6-1,Tim Mayotte,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
16,H2H 1-0,Bill Scanlon,R32,6-7 6-3 6-4,Pete Sampras,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
17,H2H 1-0,MaliVai Washington,R32,7-5 1-6 6-2,Joey Rive,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
18,H2H 2-0,Richard Matuszewski,R32,6-3 3-6 6-3,Leif Shiras,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
19,H2H 1-0,Dan Goldberg,R32,6-1 6-7 6-3,Aaron Krickstein,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
20,H2H 1-0,Vijay Amritraj,R32,6-1 7-6,Rick Leach,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
21,H2H 1-0,Glenn Layendecker,R32,6-4 6-3,Tobias Svantesson,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
22,H2H 1-0,Sammy Giammalva,R32,6-3 7-6,Paul Annacone,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
23,H2H 2-0,Todd Nelson,R32,6-4 6-4,Derrick Rostagno,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
24,H2H 2-0,Jim Grabb,R32,6-1 7-6,Kelly Evernden,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
25,H2H 2-0,John Ross,R32,6-3 3-6 6-4,Van't Hof,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
26,H2H 2-1,Richey Reneberg,R32,7-5 3-6 6-3,Dan Goldie,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
27,H2H 2-1,Robert Seguso,R32,6-1 6-0,Jim Courier,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
28,H2H 1-0,Grant Connell,R32,6-4 6-1,Marc Flur,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
29,H2H 1-0,Roger Smith,R32,6-3 7-5,Ricardo Acuna,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
30,H2H 2-0,Ken Flach,R32,6-4 6-0,John McEnroe,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
31,,K Flach / R Seguso,F,6-4 6-1,R Leach / J Pugh,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
32,,J McEnroe / P McEnroe,SF,6-7 7-6 6-4,K Flach / R Seguso,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
33,,J Grabb / V Hof,SF,6-7 6-4 6-2,R Leach / J Pugh,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
34,,G Connell / S Giammalva,QF,3-6 6-3 6-4,K Flach / R Seguso,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
35,,J Lozano / T Witsken,QF,6-1 6-2,J McEnroe / P McEnroe,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
36,,K Evernden / J Kriek,QF,6-4 7-5,J Grabb / V Hof,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
37,,M Flur / T Svantesson,QF,6-2 6-4,R Leach / J Pugh,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
38,,A Kohlberg / R Reneberg,R16,5-7 6-1 6-2,K Flach / R Seguso,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
39,,P Annacone / M De Palmer,R16,4-6 6-3 7-5,G Connell / S Giammalva,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
40,,G Donnelly / E Korita,R16,6-4 6-4,J Lozano / T Witsken,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
41,,R Matuszewski / T Siegel,R16,6-1 6-3,J McEnroe / P McEnroe,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
42,,J Courier / P Sampras,R16,6-4 7-6,K Evernden / J Kriek,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
43,,R Acuna / G Layendecker,R16,7-5 7-6,J Grabb / V Hof,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
44,,J Rive / L Shiras,R16,7-6 6-4,M Flur / T Svantesson,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
45,,T Nelson / R Smith,R16,3-6 6-3 6-3,R Leach / J Pugh,1988-11-14,https://matchstat.com/tennis/tournaments/m/Detroit/1988,Detroit
