,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-1,Bohdan Ulihrach,F,6-3 2-6 6-3,Marcelo Rios,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
1,H2H 3-0,Nicolas Escude,SF,3-6 7-5 7-6(7),Bohdan Ulihrach,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
2,H2H 1-0,Vladimir Voltchkov,SF,6-1 6-3,Marcelo Rios,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
3,H2H 5-4,Yevgeny Kafelnikov,QF,1-6 7-6(5) 6-4,Bohdan Ulihrach,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
4,H2H 3-2,Hicham Arazi,QF,6-3 6-1,Nicolas Escude,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
5,H2H 2-0,Fernando Vicente,QF,7-6(4) 7-5,Marcelo Rios,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
6,H2H 2-1,Nicolas Kiefer,QF,6-2 6-1,Vladimir Voltchkov,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
7,H2H 1-0,Fredrik Jonsson,R16,6-3 7-6(3),Yevgeny Kafelnikov,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
8,H2H 3-6,Marc Rosset,R16,6-2 6-3,Bohdan Ulihrach,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
9,H2H 1-0,Julien Boutter,R16,6-3 6-4,Nicolas Escude,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
10,H2H 2-0,Arnaud Di Pasquale,R16,6-4 7-5,Hicham Arazi,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
11,H2H 1-1,Gianluca Pozzi,R16,6-2 6-2,Marcelo Rios,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
12,H2H 1-1,Sjeng Schalken,R16,6-1 5-7 6-1,Fernando Vicente,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
13,H2H 2-3,Max Mirnyi,R16,4-6 6-3 7-5,Vladimir Voltchkov,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
14,H2H 3-1,Alex Calatrava,R16,6-0 7-6(2),Nicolas Kiefer,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
15,H2H 7-2,Francisco Clavet,R32,6-2 6-2,Yevgeny Kafelnikov,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
16,H2H 1-0,Davide Sanguinetti,R32,7-5 6-3,Fredrik Jonsson,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
17,H2H 1-0,Nicolas Coutelot,R32,6-2 4-6 7-5,Bohdan Ulihrach,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
18,H2H 1-0,Sultan Khalfan Al Alawi,R32,6-3 6-2,Marc Rosset,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
19,H2H 4-1,Younes El Aynaoui,R32,6-1 7-6(4),Nicolas Escude,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
20,H2H 2-0,Goran Ivanisevic,R32,6-4 6-4,Julien Boutter,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
21,H2H 1-0,Mariano Zabaleta,R32,6-1 6-4,Arnaud Di Pasquale,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
22,H2H 2-2,Albert Portas,R32,7-6(5) 6-4,Hicham Arazi,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
23,H2H 2-2,Fabrice Santoro,R32,1-6 6-3 7-6(3),Gianluca Pozzi,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
24,H2H 1-0,Nenad Zimonjic,R32,6-4 3-6 6-1,Marcelo Rios,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
25,H2H 1-4,Rainer Schuettler,R32,6-4 7-6(5),Fernando Vicente,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
26,H2H 4-1,Karim Alami,R32,6-3 6-1,Sjeng Schalken,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
27,H2H 2-0,Gaston Gaudio,R32,3-6 6-2 6-3,Vladimir Voltchkov,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
28,H2H 1-0,David Prinosil,R32,7-6(4) 6-4,Max Mirnyi,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
29,H2H 2-3,Stefan Koubek,R32,7-5 4-6 6-4,Alex Calatrava,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
30,H2H 6-5,Jonas Bjorkman,R32,4-6 6-1 7-5,Nicolas Kiefer,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
31,,J Balcells / A Olhovskiy,F,6-3 6-1,M Knowles / D Nestor,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
32,,A Calatrava / A Portas,SF,6-3 7-6(3),J Balcells / A Olhovskiy,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
33,,I Heuberger / A Waske,SF,6-3 6-4,M Knowles / D Nestor,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
34,,Y Kafelnikov / M Mirnyi,QF,6-4 1-6 6-3,J Balcells / A Olhovskiy,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
35,,S Aspelin / C Suk,QF,6-2 2-1 Retired,A Calatrava / A Portas,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
36,,D Prinosil / N Zimonjic,QF,6-2 7-6(4),I Heuberger / A Waske,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
37,,J Boutter / F Santoro,QF,7-6(4) 6-4,M Knowles / D Nestor,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
38,,L Burgsmuller / S Groen,R16,7-5 7-5,Y Kafelnikov / M Mirnyi,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
39,,P Pala / P Vizner,R16,7-5 6-2,J Balcells / A Olhovskiy,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
40,,G Ivanisevic / R Schuettler,R16,6-1 6-3,S Aspelin / C Suk,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
41,,S Al Alawi / N Al Khulaifi,R16,6-0 6-4,A Calatrava / A Portas,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
42,,K Alami / H Arazi,R16,6-4 7-6(5),I Heuberger / A Waske,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
43,,N Kiefer / S Schalken,R16,6-2 6-2,D Prinosil / N Zimonjic,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
44,,N Escude / M Rosset,R16,7-6(3) 6-1,J Boutter / F Santoro,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
45,,J Bachelot / D Norman,R16,6-2 7-6(4),M Knowles / D Nestor,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
46,H2H 1-0,Renzo Furlan,FQ,6-4 6-3,Fredrik Jonsson,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
47,H2H 1-0,Paul-Henri Mathieu,FQ,6-2 1-6 7-6(5),Bohdan Ulihrach,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
48,H2H 1-0,Alexander Waske,FQ,6-3 6-2,Nenad Zimonjic,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
49,H2H 3-0,Juan-Albert Viloca-Puig,FQ,6-3 6-2,Nicolas Coutelot,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
50,H2H 1-1,Juan-Manuel Balcells,SFQ,6-4 6-7(3) 6-3,Renzo Furlan,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
51,H2H 1-0,Filippo Volandri,SFQ,6-3 6-3,Fredrik Jonsson,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
52,H2H 1-1,Mario Ancic,SFQ,6-1 6-4,Bohdan Ulihrach,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
53,H2H 1-0,Jan Kroslak,SFQ,6-3 6-1,Paul-Henri Mathieu,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
54,H2H 1-0,Attila Savolt,SFQ,6-3 2-1 Retired,Nenad Zimonjic,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
55,H2H 1-0,Dick Norman,SFQ,6-4 1-6 6-3,Alexander Waske,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
56,H2H 1-0,Jean-Francois Bachelot,SFQ,6-3 6-2,Nicolas Coutelot,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
57,H2H 2-0,Oscar Burrieza-Lopez,SFQ,2-6 6-3 7-5,Juan-Albert Viloca-Puig,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
58,H2H 1-0,Marcus Sarstrand,QFQ,6-7(3) 6-3 7-5,Juan-Manuel Balcells,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
59,H2H 1-0,Marc Fornell-Mestres,QFQ,6-2 6-2,Renzo Furlan,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
60,H2H 1-0,Andy Fahlke,QFQ,6-2 6-2,Fredrik Jonsson,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
61,H2H 1-0,Daniel Nestor,QFQ,6-2 6-0,Filippo Volandri,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
62,H2H 1-0,Kirill Ivanov-Smolensky,QFQ,7-5 6-3,Bohdan Ulihrach,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
63,H2H 1-2,Ivo Heuberger,QFQ,4-6 6-1 6-0,Mario Ancic,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
64,H2H 1-0,Melvyn Op der Heijde,QFQ,6-1 6-2,Paul-Henri Mathieu,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
65,H2H 2-0,Marzio Martelli,QFQ,6-4 7-6(4),Jan Kroslak,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
66,H2H 1-0,Nasser-Ghanim Al Khulaifi,QFQ,6-2 6-1,Attila Savolt,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
67,H2H 1-0,Vasilis Mazarakis,QFQ,6-4 6-4,Nenad Zimonjic,2001-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2001,Doha
