,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-4,Andy Murray,2.0,0.0,5712983.0,114843.0,,2.1,Andy Murray,63.0,9.0,1.0,71.0,23.0,68.0,46.0,27.0,22.0,13.0,,,,,,1.0,139.0,,,2.10,1.83,F,6-4 6-4,Ivan Ljubicic,5.0,1.0,5712983.0,114844.0,,1.833,Ivan Ljubicic,76.0,9.0,3.0,68.0,28.0,71.0,39.0,28.0,32.0,20.0,,,,,,2.0,139.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2007,Doha
1,H2H 6-4,Nikolay Davydenko,1.0,3.0,5712981.0,114839.0,,1.461,Nikolay Davydenko,50.0,2.0,2.0,52.0,18.0,64.0,36.0,21.0,28.0,11.0,,,,,,1.0,116.0,,,1.46,2.97,SF,7-5 6-2,Andy Murray,1.0,0.0,5712981.0,114840.0,,2.97,Andy Murray,66.0,10.0,5.0,64.0,32.0,52.0,36.0,25.0,16.0,9.0,,,,,,2.0,116.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2007,Doha
2,H2H 3-2,Robin Soderling,7.0,1.0,5712982.0,114841.0,,2.41,Robin Soderling,98.0,7.0,2.0,99.0,33.0,86.0,59.0,47.0,27.0,18.0,,,,,,1.0,185.0,,,2.41,1.66,SF,3-6 6-4 7-6(5),Ivan Ljubicic,21.0,2.0,5712982.0,114842.0,,1.662,Ivan Ljubicic,87.0,3.0,2.0,86.0,21.0,99.0,53.0,40.0,46.0,26.0,,,,,,2.0,185.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2007,Doha
3,H2H 3-3,Olivier Rochus,0.0,1.0,5712977.0,114832.0,,4.52,Olivier Rochus,57.0,4.0,2.0,63.0,25.0,60.0,31.0,16.0,29.0,16.0,,,,,,2.0,123.0,,,4.52,1.26,QF,6-4 6-3,Nikolay Davydenko,6.0,1.0,5712977.0,114831.0,,1.262,Nikolay Davydenko,66.0,8.0,5.0,60.0,28.0,63.0,42.0,27.0,21.0,11.0,,,,,,1.0,123.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2007,Doha
4,H2H 3-0,Max Mirnyi,3.0,3.0,5712978.0,114834.0,,3.0,Max Mirnyi,67.0,9.0,3.0,81.0,33.0,64.0,38.0,22.0,26.0,12.0,,,,,,2.0,145.0,,,3.00,1.35,QF,2-6 6-2 6-2,Andy Murray,2.0,1.0,5712978.0,114833.0,,1.35,Andy Murray,78.0,8.0,5.0,64.0,30.0,81.0,57.0,36.0,24.0,12.0,,,,,,1.0,145.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2007,Doha
5,H2H 3-2,Marcos Baghdatis,3.0,0.0,5712979.0,114836.0,,1.6,Marcos Baghdatis,35.0,3.0,0.0,51.0,11.0,44.0,28.0,17.0,16.0,7.0,,,,,,2.0,95.0,,,1.60,2.20,QF,6-3 6-2,Robin Soderling,4.0,1.0,5712979.0,114835.0,,2.2,Robin Soderling,60.0,6.0,3.0,44.0,20.0,51.0,36.0,32.0,15.0,8.0,,,,,,1.0,95.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2007,Doha
6,H2H 8-1,Mikhail Youzhny,3.0,5.0,5712980.0,114837.0,,3.3,Mikhail Youzhny,117.0,10.0,3.0,118.0,43.0,115.0,61.0,43.0,54.0,31.0,,,,,,1.0,233.0,,,3.30,1.40,QF,2-6 7-6(2) 7-6(3),Ivan Ljubicic,18.0,1.0,5712980.0,114838.0,,1.4,Ivan Ljubicic,116.0,9.0,1.0,115.0,41.0,118.0,72.0,53.0,46.0,22.0,,,,,,2.0,233.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2007,Doha
7,H2H 2-1,Jonas Bjorkman,1.0,3.0,5712969.0,114830.0,,8.75,Jonas Bjorkman,61.0,5.0,1.0,68.0,26.0,68.0,52.0,27.0,16.0,8.0,,,,,,2.0,136.0,,,8.75,1.11,R16,6-4 6-3,Nikolay Davydenko,1.0,1.0,5712969.0,114829.0,,1.111,Nikolay Davydenko,75.0,7.0,4.0,68.0,33.0,68.0,52.0,35.0,16.0,7.0,,,,,,1.0,136.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2007,Doha
8,H2H 2-0,Federico Luzzi,5.0,6.0,5712970.0,114817.0,,4.23,Federico Luzzi,28.0,1.0,0.0,33.0,8.0,51.0,31.0,14.0,20.0,6.0,,,,,,1.0,84.0,,,4.23,1.28,R16,6-1 6-0,Olivier Rochus,4.0,4.0,5712970.0,114818.0,,1.283,Olivier Rochus,56.0,10.0,6.0,51.0,31.0,33.0,20.0,17.0,13.0,8.0,,,,,,2.0,84.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2007,Doha
9,H2H 1-0,Christophe Rochus,1.0,2.0,5712971.0,114820.0,,5.0,Christophe Rochus,49.0,2.0,1.0,51.0,18.0,67.0,49.0,25.0,18.0,6.0,,,,,,2.0,118.0,,,5.00,1.15,R16,6-1 6-3,Andy Murray,3.0,0.0,5712971.0,114819.0,,1.15,Andy Murray,69.0,11.0,5.0,67.0,36.0,51.0,30.0,20.0,21.0,13.0,,,,,,1.0,118.0,,,2007-01-01,https://matchstat.com/tennis/tournaments/m/Doha/2007,Doha
