,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 6-0,Marcos Baghdatis,4.0,7.0,8359900.0,3522921.0,,4.15,Marcos Baghdatis,74.0,2.0,1.0,76.0,22.0,71.0,36.0,27.0,35.0,25.0,11.0,,,,,1.0,154.0,,,4.15,1.23,F,6-4 7-6(13),Hard,Stan Wawrinka,2.0,4.0,8359900.0,3522922.0,,1.23,Stan Wawrinka,80.0,6.0,2.0,78.0,26.0,72.0,48.0,37.0,24.0,17.0,11.0,,,,,2.0,154.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/m/Dubai/2016,Dubai
1,H2H 4-1,Feliciano Lopez,8.0,4.0,8359617.0,3522671.0,,1.78,Feliciano Lopez,82.0,7.0,3.0,82.0,29.0,85.0,45.0,35.0,40.0,18.0,15.0,,,,,1.0,171.0,,,1.78,2.04,SF,3-6 7-6(1) 6-1,Hard,Marcos Baghdatis,8.0,4.0,8359617.0,3522672.0,,2.04,Marcos Baghdatis,89.0,9.0,5.0,89.0,36.0,78.0,37.0,28.0,41.0,25.0,13.0,,,,,2.0,171.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/m/Dubai/2016,Dubai
2,H2H 2-2,Nick Kyrgios,5.0,5.0,8359618.0,3522669.0,,2.2,Nick Kyrgios,29.0,5.0,2.0,37.0,15.0,33.0,25.0,11.0,8.0,3.0,7.0,,,,,1.0,75.0,,,2.20,1.67,SF,6-4 3-0 Ret.,Hard,Stan Wawrinka,9.0,2.0,8359618.0,3522670.0,,1.67,Stan Wawrinka,46.0,8.0,5.0,38.0,24.0,35.0,18.0,14.0,17.0,8.0,6.0,,,,,2.0,75.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/m/Dubai/2016,Dubai
3,H2H 1-8,Novak Djokovic,1.0,1.0,8359478.0,3522345.0,,1.02,Novak Djokovic,22.0,0.0,0.0,22.0,5.0,28.0,16.0,11.0,12.0,6.0,5.0,,,,,1.0,51.0,,,1.02,20.75,QF,6-3 0-0 Ret.,Hard,Feliciano Lopez,2.0,2.0,8359478.0,3522346.0,,20.75,Feliciano Lopez,29.0,6.0,2.0,29.0,12.0,20.0,10.0,9.0,10.0,8.0,4.0,,,,,2.0,51.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/m/Dubai/2016,Dubai
4,H2H 1-1,Roberto Bautista Agut,0.0,4.0,8359479.0,3522641.0,,,Roberto Bautista Agut,54.0,6.0,1.0,76.0,29.0,46.0,35.0,21.0,11.0,4.0,9.0,,,,,1.0,126.0,,,,,QF,7-5 6-0,Hard,Marcos Baghdatis,6.0,9.0,8359479.0,3522642.0,,,Marcos Baghdatis,72.0,8.0,5.0,50.0,25.0,67.0,30.0,22.0,37.0,25.0,9.0,,,,,2.0,126.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/m/Dubai/2016,Dubai
5,H2H 2-1,Tomas Berdych,4.0,4.0,8359480.0,3522312.0,,1.77,Tomas Berdych,60.0,4.0,0.0,63.0,18.0,63.0,35.0,29.0,28.0,13.0,10.0,,,,,2.0,130.0,,,1.77,2.05,QF,6-4 6-4,Hard,Nick Kyrgios,10.0,4.0,8359480.0,3522311.0,,2.05,Nick Kyrgios,70.0,7.0,2.0,67.0,25.0,59.0,39.0,30.0,20.0,15.0,10.0,,,,,1.0,130.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/m/Dubai/2016,Dubai
6,H2H 4-0,Philipp Kohlschreiber,1.0,3.0,8359481.0,3522361.0,,2.6,Philipp Kohlschreiber,51.0,7.0,2.0,66.0,25.0,50.0,30.0,19.0,20.0,7.0,9.0,,,,,1.0,119.0,,,2.60,1.50,QF,7-5 6-1,Hard,Stan Wawrinka,7.0,5.0,8359481.0,3522362.0,,1.5,Stan Wawrinka,68.0,8.0,5.0,53.0,27.0,61.0,37.0,29.0,24.0,12.0,10.0,,,,,2.0,119.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/m/Dubai/2016,Dubai
7,H2H 1-0,Malek Jaziri,2.0,4.0,8358996.0,3521550.0,,15.0,Malek Jaziri,37.0,1.0,0.0,42.0,8.0,58.0,30.0,17.0,28.0,12.0,7.0,,,,,2.0,104.0,,,15.00,1.01,R16,6-1 6-2,Hard,Novak Djokovic,4.0,2.0,8358996.0,3521549.0,,1.01,Novak Djokovic,67.0,16.0,4.0,62.0,33.0,40.0,24.0,19.0,16.0,15.0,8.0,,,,,1.0,104.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/m/Dubai/2016,Dubai
8,H2H 1-1,Lukas Rosol,7.0,9.0,8359110.0,3521959.0,,2.65,Lukas Rosol,75.0,4.0,1.0,77.0,25.0,74.0,43.0,32.0,31.0,18.0,10.0,,,,,1.0,160.0,,,2.65,1.49,R16,6-3 7-6(7),Hard,Feliciano Lopez,17.0,5.0,8359110.0,3521960.0,,1.49,Feliciano Lopez,85.0,9.0,2.0,83.0,33.0,72.0,38.0,35.0,34.0,17.0,11.0,,,,,2.0,160.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/m/Dubai/2016,Dubai
9,H2H 1-0,Hyeon Chung,0.0,2.0,8358997.0,3522258.0,,,Hyeon Chung,26.0,1.0,0.0,43.0,13.0,35.0,19.0,10.0,16.0,3.0,6.0,,,,,2.0,80.0,,,,,R16,6-0 6-1,Hard,Roberto Bautista Agut,3.0,3.0,8358997.0,3522257.0,,,Roberto Bautista Agut,54.0,7.0,5.0,37.0,24.0,40.0,20.0,14.0,20.0,16.0,7.0,,,,,1.0,80.0,,,2016-02-22,https://matchstat.com/tennis/tournaments/m/Dubai/2016,Dubai
