,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-4,J. Kodes,F,6-4 1-6 6-0 7-5,J. Fillol,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
1,H2H 2-0,Colin Dibley,SF,6-2 6-3,J. Kodes,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
2,H2H 3-1,F. Jauffret,SF,4-6 6-4 7-5,J. Fillol,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
3,H2H 1-0,Ray Moore,QF,6-3 6-1,J. Kodes,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
4,H2H 1-0,H. Elschenbroich,QF,6-4 6-1,Colin Dibley,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
5,H2H 2-0,Hans Kary,QF,1-6 6-2 6-4,F. Jauffret,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
6,H2H 1-0,Toma Ovici,QF,6-3 6-2,J. Fillol,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
7,H2H 1-2,Andrew Pattison,R16,6-4 5-7 6-3,H. Elschenbroich,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
8,H2H 1-0,Bob Carmichael,R16,6-4 5-7 7-5,Hans Kary,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
9,H2H 2-0,Ivan Molina,R16,6-3 6-4,F. Jauffret,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
10,H2H 2-0,Milan Holecek,R16,7-6 6-2,J. Fillol,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
11,H2H 3-2,R. Taylor,R32,6-4 6-3,Ray Moore,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
12,H2H 1-0,Geza Varga,R32,6-0 6-3,Andrew Pattison,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
13,H2H 2-0,Bernard Mignot,R32,6-4 6-2,H. Elschenbroich,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
14,H2H 2-1,Uli Pinner,R32,6-3 6-4,Colin Dibley,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
15,H2H 1-0,Hans-Joachim Ploetz,R32,7-6 6-2,Bob Carmichael,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
16,H2H 3-0,Pavel Hutka,R32,4-6 6-3 7-6,F. Jauffret,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
17,H2H 1-1,John Andrews,R32,7-6 6-3,Milan Holecek,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
18,H2H 2-0,Syd Ball,R32,6-2 6-2,J. Fillol,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
19,,H Elschenbroich / H Kary,F,6-2 6-3,F Jauffret / J Kodes,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
20,,G Battrick / G Stilwell,SF,6-2 6-3,F Jauffret / J Kodes,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
21,,R Moore / A Pattison,QF,6-4 7-6,H Elschenbroich / H Kary,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
22,,J Andrews / C Dibley,R16,6-4 6-4,R Moore / A Pattison,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
23,,T Ovici / G Varga,R16,2-6 6-1 6-3,G Battrick / G Stilwell,1975-05-26,https://matchstat.com/tennis/tournaments/m/Dusseldorf/1975,Dusseldorf
