,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-5,Richard Gasquet,9.0,2.0,6227902.0,214045.0,,1.714,Richard Gasquet,100.0,6.0,1.0,107.0,34.0,92.0,63.0,47.0,29.0,19.0,,,,,,1.0,199.0,,,1.71,2.29,F,6-3 6-7(5) 7-5,Feliciano Lopez,14.0,3.0,6227902.0,214046.0,,2.29,Feliciano Lopez,99.0,6.0,4.0,92.0,26.0,107.0,65.0,47.0,42.0,26.0,,,,,,2.0,199.0,,,2014-06-16,https://matchstat.com/tennis/tournaments/m/Eastbourne/2014,Eastbourne
1,H2H 6-1,Denis Istomin,6.0,0.0,6226181.0,213982.0,,2.7,Denis Istomin,50.0,3.0,0.0,60.0,18.0,53.0,41.0,26.0,12.0,6.0,,,,,,2.0,113.0,,,2.70,1.55,SF,6-4 6-2,Richard Gasquet,3.0,2.0,6226181.0,213981.0,,1.55,Richard Gasquet,63.0,6.0,3.0,53.0,21.0,60.0,38.0,30.0,22.0,12.0,,,,,,1.0,113.0,,,2014-06-16,https://matchstat.com/tennis/tournaments/m/Eastbourne/2014,Eastbourne
2,H2H 6-3,Sam Querrey,15.0,4.0,6226177.0,213984.0,,2.3,Sam Querrey,61.0,1.0,0.0,67.0,15.0,66.0,44.0,36.0,22.0,10.0,,,,,,2.0,133.0,,,2.30,1.71,SF,6-4 7-6(4),Feliciano Lopez,12.0,3.0,6226177.0,213983.0,,1.709,Feliciano Lopez,72.0,4.0,1.0,66.0,20.0,67.0,45.0,41.0,22.0,11.0,,,,,,1.0,133.0,,,2014-06-16,https://matchstat.com/tennis/tournaments/m/Eastbourne/2014,Eastbourne
3,H2H 2-0,Martin Klizan,5.0,1.0,6226182.0,213942.0,,3.25,Martin Klizan,47.0,2.0,0.0,57.0,14.0,50.0,27.0,23.0,23.0,10.0,,,,,,2.0,107.0,,,3.25,1.40,QF,6-3 6-4,Richard Gasquet,7.0,1.0,6226182.0,213941.0,,1.4,Richard Gasquet,60.0,4.0,2.0,50.0,17.0,57.0,45.0,35.0,12.0,8.0,,,,,,1.0,107.0,,,2014-06-16,https://matchstat.com/tennis/tournaments/m/Eastbourne/2014,Eastbourne
4,H2H 3-2,Edouard Roger-Vasselin,2.0,1.0,6226183.0,213944.0,,1.9,Edouard Roger-Vasselin,53.0,2.0,1.0,59.0,14.0,64.0,43.0,28.0,21.0,11.0,,,,,,2.0,123.0,,,1.90,2.02,QF,7-6(5) 6-2,Denis Istomin,4.0,2.0,6226183.0,213943.0,,2.02,Denis Istomin,70.0,5.0,3.0,64.0,25.0,59.0,40.0,34.0,19.0,11.0,,,,,,1.0,123.0,,,2014-06-16,https://matchstat.com/tennis/tournaments/m/Eastbourne/2014,Eastbourne
5,H2H 3-1,Jeremy Chardy,10.0,2.0,6226184.0,213969.0,,2.15,Jeremy Chardy,46.0,0.0,0.0,53.0,12.0,55.0,38.0,29.0,17.0,5.0,,,,,,1.0,108.0,,,2.15,1.80,QF,6-3 6-4,Feliciano Lopez,7.0,0.0,6226184.0,213970.0,,1.8,Feliciano Lopez,62.0,7.0,2.0,55.0,21.0,53.0,39.0,33.0,14.0,8.0,,,,,,2.0,108.0,,,2014-06-16,https://matchstat.com/tennis/tournaments/m/Eastbourne/2014,Eastbourne
6,H2H 5-1,Julien Benneteau,5.0,5.0,6226180.0,213949.0,,2.02,Julien Benneteau,67.0,3.0,0.0,67.0,16.0,76.0,51.0,38.0,25.0,13.0,,,,,,1.0,143.0,,,2.02,1.90,QF,7-6(5) 6-4,Sam Querrey,16.0,3.0,6226180.0,213950.0,,1.9,Sam Querrey,76.0,4.0,1.0,76.0,25.0,67.0,41.0,37.0,26.0,14.0,,,,,,2.0,143.0,,,2014-06-16,https://matchstat.com/tennis/tournaments/m/Eastbourne/2014,Eastbourne
7,H2H 6-2,Bernard Tomic,16.0,0.0,6226193.0,213886.0,,2.6,Bernard Tomic,88.0,10.0,1.0,99.0,34.0,73.0,52.0,44.0,21.0,10.0,,,,,,2.0,172.0,,,2.60,1.55,R16,6-4 3-6 6-3,Richard Gasquet,8.0,1.0,6226193.0,213885.0,,1.55,Richard Gasquet,84.0,5.0,2.0,73.0,19.0,99.0,73.0,54.0,26.0,11.0,,,,,,1.0,172.0,,,2014-06-16,https://matchstat.com/tennis/tournaments/m/Eastbourne/2014,Eastbourne
8,H2H 1-1,Donald Young,4.0,2.0,6226188.0,213897.0,,2.53,Donald Young,68.0,6.0,2.0,71.0,25.0,68.0,46.0,32.0,22.0,11.0,,,,,,1.0,139.0,,,2.53,1.59,R16,7-6(4) 6-4,Martin Klizan,3.0,2.0,6226188.0,213898.0,,1.588,Martin Klizan,71.0,6.0,3.0,68.0,25.0,71.0,38.0,27.0,33.0,19.0,,,,,,2.0,139.0,,,2014-06-16,https://matchstat.com/tennis/tournaments/m/Eastbourne/2014,Eastbourne
9,H2H 1-4,Guillermo Garcia-Lopez,5.0,5.0,6226189.0,213899.0,,2.1,Guillermo Garcia-Lopez,60.0,7.0,1.0,68.0,23.0,67.0,41.0,30.0,26.0,7.0,,,,,,1.0,135.0,,,2.10,1.80,R16,6-2 7-5,Denis Istomin,7.0,1.0,6226189.0,213900.0,,1.8,Denis Istomin,75.0,10.0,4.0,67.0,30.0,68.0,46.0,35.0,22.0,10.0,,,,,,2.0,135.0,,,2014-06-16,https://matchstat.com/tennis/tournaments/m/Eastbourne/2014,Eastbourne
