,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 7-1,Franco Davin,F,6-3 6-1,Emilio Sanchez,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
1,H2H 2-0,Jordi Arrese,SF,6-2 6-1,Emilio Sanchez,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
2,H2H 6-1,Juan Aguilera,SF,6-4 6-3,Franco Davin,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
3,H2H 2-2,Jay Berger,QF,4-6 6-3 7-5,Jordi Arrese,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
4,H2H 7-1,Omar Camporese,QF,6-3 6-3,Emilio Sanchez,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
5,H2H 2-3,Thomas Muster,QF,6-3 6-0,Juan Aguilera,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
6,H2H 1-1,Paul Haarhuis,QF,6-4 7-5,Franco Davin,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
7,H2H 3-0,Ronald Agenor,R16,7-5 7-6,Jay Berger,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
8,H2H 5-1,Andrey Cherkasov,R16,6-2 6-2,Jordi Arrese,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
9,H2H 4-1,Tomas Carbonell,R16,6-4 6-3,Emilio Sanchez,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
10,H2H 3-2,Karel Novacek,R16,7-6 4-6 6-1,Omar Camporese,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
11,H2H 3-4,Fabrice Santoro,R16,7-6 6-2,Thomas Muster,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
12,H2H 1-1,Paolo Cane,R16,6-2 6-7 6-4,Juan Aguilera,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
13,H2H 2-1,Sergio Bruguera,R16,7-5 6-4,Franco Davin,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
14,H2H 2-0,Goran Prpic,R16,6-2 6-1,Paul Haarhuis,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
15,H2H 1-0,Joao Cunha-Silva,R32,6-1 6-3,Jay Berger,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
16,H2H 2-4,Javier Sanchez,R32,7-6 7-6,Ronald Agenor,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
17,H2H 6-0,Francisco Clavet,R32,6-1 6-3,Jordi Arrese,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
18,H2H 1-3,Guillermo Perez-Roldan,R32,7-5 6-3,Andrey Cherkasov,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
19,H2H 4-1,Richard Fromberg,R32,6-4 7-5,Emilio Sanchez,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
20,H2H 1-2,Jean-Philippe Fleurian,R32,6-2 7-6,Tomas Carbonell,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
21,H2H 4-0,Udo Riglewski,R32,6-4 6-3,Omar Camporese,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
22,H2H 4-1,Jaime Yzaga,R32,6-3 3-6 6-2,Karel Novacek,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
23,H2H 3-0,M. Koevermans,R32,4-6 6-3 7-5,Thomas Muster,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
24,H2H 2-1,Marian Vajda,R32,7-5 6-4,Fabrice Santoro,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
25,H2H 1-0,Nuno Marques,R32,6-4 6-3,Paolo Cane,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
26,H2H 2-1,Andres Gomez,R32,4-6 7-6 6-1,Juan Aguilera,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
27,H2H 1-0,Martin Strelba,R32,6-3 6-3,Sergio Bruguera,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
28,H2H 1-0,Mark Ozer,R32,6-1 6-4,Franco Davin,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
29,H2H 1-0,Jerome Potier,R32,6-1 1-6 7-6,Goran Prpic,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
30,H2H 1-3,Martin Jaite,R32,6-0 6-3,Paul Haarhuis,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
31,,O Camporese / P Cane,F,7-5 4-6 7-5,S Casal / E Sanchez,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
32,,T Carbonell / K Novacek,SF,6-3 6-4,S Casal / E Sanchez,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
33,,E Masso / G Perez-Roldan,SF,6-4 6-1,O Camporese / P Cane,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
34,,D Adams / M Vajda,QF,7-6 6-2,S Casal / E Sanchez,1990-04-02,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/1990,Estoril - Oeiras
