,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 13-1,Richard Gasquet,4.0,5.0,5730729.0,117971.0,,2.25,Richard Gasquet,85.0,12.0,5.0,96.0,43.0,69.0,42.0,31.0,27.0,11.0,,,,,,1.0,165.0,,,2.25,1.74,F,7-6(7) 0-6 6-1,Novak Djokovic,3.0,4.0,5730729.0,117972.0,,1.741,Novak Djokovic,80.0,6.0,4.0,69.0,27.0,96.0,60.0,39.0,36.0,14.0,,,,,,2.0,165.0,,,2007-04-30,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/2007,Estoril - Oeiras
1,H2H 6-2,Paul-Henri Mathieu,0.0,1.0,5730727.0,117968.0,,2.81,Paul-Henri Mathieu,10.0,2.0,1.0,14.0,7.0,12.0,7.0,2.0,5.0,1.0,,,,,,2.0,26.0,,,2.81,1.51,SF,3-1 Retired,Richard Gasquet,0.0,0.0,5730727.0,117967.0,,1.51,Richard Gasquet,16.0,2.0,2.0,12.0,9.0,14.0,10.0,5.0,4.0,2.0,,,,,,1.0,26.0,,,2007-04-30,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/2007,Estoril - Oeiras
2,H2H 7-2,Tommy Robredo,0.0,0.0,5730728.0,117970.0,,2.22,Tommy Robredo,52.0,2.0,1.0,58.0,19.0,60.0,47.0,27.0,13.0,6.0,,,,,,2.0,118.0,,,2.22,1.76,SF,7-5 6-1,Novak Djokovic,1.0,4.0,5730728.0,117969.0,,1.758,Novak Djokovic,66.0,10.0,4.0,60.0,27.0,58.0,32.0,24.0,26.0,15.0,,,,,,1.0,118.0,,,2007-04-30,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/2007,Estoril - Oeiras
3,H2H 2-0,Vince Spadea,0.0,1.0,5730723.0,117959.0,,8.2,Vince Spadea,48.0,2.0,2.0,51.0,16.0,62.0,36.0,18.0,26.0,14.0,,,,,,1.0,113.0,,,8.20,1.13,QF,6-3 6-4,Richard Gasquet,2.0,0.0,5730723.0,117960.0,,1.125,Richard Gasquet,65.0,8.0,4.0,62.0,30.0,51.0,33.0,23.0,18.0,12.0,,,,,,2.0,113.0,,,2007-04-30,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/2007,Estoril - Oeiras
4,H2H 1-0,Juan Monaco,1.0,4.0,5730724.0,117962.0,,2.75,Juan Monaco,85.0,8.0,6.0,81.0,37.0,101.0,65.0,39.0,36.0,9.0,,,,,,2.0,182.0,,,2.75,1.42,QF,6-4 4-6 6-1,Paul-Henri Mathieu,1.0,3.0,5730724.0,117961.0,,1.42,Paul-Henri Mathieu,97.0,16.0,8.0,101.0,53.0,81.0,43.0,27.0,38.0,17.0,,,,,,1.0,182.0,,,2007-04-30,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/2007,Estoril - Oeiras
5,H2H 7-0,Guillermo Garcia-Lopez,4.0,2.0,5730725.0,117963.0,,5.75,Guillermo Garcia-Lopez,105.0,12.0,6.0,109.0,50.0,104.0,59.0,34.0,45.0,21.0,,,,,,1.0,213.0,,,5.75,1.19,QF,6-4 1-6 7-5,Novak Djokovic,5.0,4.0,5730725.0,117964.0,,1.19,Novak Djokovic,108.0,15.0,5.0,104.0,49.0,109.0,61.0,35.0,48.0,24.0,,,,,,2.0,213.0,,,2007-04-30,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/2007,Estoril - Oeiras
6,H2H 4-4,Agustin Calleri,3.0,6.0,5730726.0,117965.0,,2.35,Agustin Calleri,114.0,14.0,4.0,122.0,49.0,121.0,71.0,45.0,50.0,20.0,,,,,,1.0,243.0,,,2.35,1.69,QF,7-5 6-7(5) 6-3,Tommy Robredo,1.0,1.0,5730726.0,117966.0,,1.69,Tommy Robredo,129.0,16.0,6.0,121.0,56.0,122.0,101.0,62.0,21.0,11.0,,,,,,2.0,243.0,,,2007-04-30,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/2007,Estoril - Oeiras
7,H2H 1-0,Olivier Patience,3.0,4.0,5730715.0,117915.0,,2.17,Olivier Patience,90.0,11.0,4.0,87.0,34.0,96.0,60.0,40.0,36.0,16.0,,,,,,1.0,183.0,,,2.17,1.79,R16,2-6 6-3 6-4,Vince Spadea,1.0,0.0,5730715.0,117916.0,,1.787,Vince Spadea,93.0,15.0,4.0,96.0,40.0,87.0,51.0,33.0,36.0,20.0,,,,,,2.0,183.0,,,2007-04-30,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/2007,Estoril - Oeiras
8,H2H 1-0,Frederico Gil,0.0,1.0,5730716.0,117917.0,,8.0,Frederico Gil,32.0,0.0,0.0,43.0,10.0,45.0,28.0,14.0,17.0,8.0,,,,,,1.0,88.0,,,8.00,1.07,R16,6-1 6-2,Richard Gasquet,2.0,0.0,5730716.0,117918.0,,1.07,Richard Gasquet,56.0,8.0,4.0,45.0,23.0,43.0,28.0,22.0,15.0,11.0,,,,,,2.0,88.0,,,2007-04-30,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/2007,Estoril - Oeiras
9,H2H 2-0,Igor Kunitsyn,0.0,0.0,5730717.0,117900.0,,6.0,Igor Kunitsyn,33.0,1.0,1.0,46.0,14.0,46.0,28.0,12.0,18.0,7.0,,,,,,2.0,92.0,,,6.00,1.10,R16,6-2 6-1,Paul-Henri Mathieu,1.0,1.0,5730717.0,117899.0,,1.1,Paul-Henri Mathieu,59.0,7.0,5.0,46.0,27.0,46.0,25.0,19.0,21.0,13.0,,,,,,1.0,92.0,,,2007-04-30,https://matchstat.com/tennis/tournaments/m/Estoril%20-%20Oeiras/2007,Estoril - Oeiras
