,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-4,Juan Carlos Ferrero,F,6-1 6-0 4-6 6-3,Albert Costa,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
1,H2H 7-8,Alex Corretja,SF,6-3 6-4 3-6 6-3,Albert Costa,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
2,H2H 6-6,Marat Safin,SF,6-3 6-2 6-4,Juan Carlos Ferrero,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
3,H2H 4-0,Guillermo Canas,QF,7-5 3-6 6-7(3) 6-4 6-0,Albert Costa,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
4,H2H 3-0,Andrei Pavel,QF,7-6(5) 7-5 7-5,Alex Corretja,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
5,H2H 3-2,Andre Agassi,QF,6-3 5-7 7-5 6-3,Juan Carlos Ferrero,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
6,H2H 7-1,Sebastien Grosjean,QF,6-3 6-2 6-2,Marat Safin,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
7,H2H 2-7,Lleyton Hewitt,R16,6-7(1) 7-6(13) 6-4 6-3,Guillermo Canas,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
8,H2H 2-6,Gustavo Kuerten,R16,6-4 7-5 6-4,Albert Costa,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
9,H2H 4-7,Tommy Haas,R16,6-1 7-6(9) 6-4,Andrei Pavel,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
10,H2H 3-1,Mariano Zabaleta,R16,6-3 6-2 7-5,Alex Corretja,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
11,H2H 8-6,Gaston Gaudio,R16,6-7(3) 6-1 6-7(5) 6-2 6-4,Juan Carlos Ferrero,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
12,H2H 3-0,Paul-Henri Mathieu,R16,4-6 3-6 6-3 6-3 6-3,Andre Agassi,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
13,H2H 9-0,Xavier Malisse,R16,6-2 7-5 6-3,Sebastien Grosjean,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
14,H2H 2-1,Arnaud Di Pasquale,R16,3-6 6-4 6-3 6-2,Marat Safin,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
15,H2H 3-0,Sjeng Schalken,R32,6-1 7-5 6-7(3) 6-1,Lleyton Hewitt,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
16,H2H 1-2,Carlos Moya,R32,4-6 7-6(1) 6-7(2) 6-1 6-2,Guillermo Canas,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
17,H2H 8-4,Andrea Gaudenzi,R32,7-6(2) 6-1 7-5,Albert Costa,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
18,H2H 2-1,Fernando Gonzalez,R32,6-3 2-6 7-6(6) 6-4,Gustavo Kuerten,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
19,H2H 3-1,Jarkko Nieminen,R32,6-3 7-5 2-6 6-4,Tommy Haas,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
20,H2H 1-0,Albert Montanes,R32,6-1 1-6 6-4 6-3,Andrei Pavel,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
21,H2H 3-0,Arnaud Clement,R32,6-1 6-2 4-6 5-7 8-6,Alex Corretja,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
22,H2H 6-1,Fernando Vicente,R32,4-6 6-3 6-4 6-3,Mariano Zabaleta,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
23,H2H 1-0,Hicham Arazi,R32,6-2 4-6 6-4 3-1 Retired,Gaston Gaudio,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
24,H2H 3-3,Guillermo Coria,R32,6-2 6-3 6-3,Juan Carlos Ferrero,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
25,H2H 3-1,Jiri Novak,R32,6-4 6-4 6-3,Paul-Henri Mathieu,2002-05-27,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2002,FO - RG
