,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 23-26,Novak Djokovic,11.0,3.0,6267475.0,208808.0,,2.08,Novak Djokovic,116.0,9.0,3.0,120.0,41.0,126.0,82.0,59.0,44.0,16.0,,,182.0,145.0,203.0,2.0,246.0,49.0,43.0,2.08,1.87,F,3-6 7-5 6-2 6-4,Rafael Nadal,3.0,4.0,6267475.0,208807.0,,1.87,Rafael Nadal,130.0,10.0,6.0,126.0,51.0,120.0,84.0,61.0,36.0,18.0,,,175.0,136.0,199.0,1.0,246.0,38.0,44.0,2014-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2014,FO - RG
1,H2H 17-7,Andy Murray,2.0,3.0,6267470.0,211590.0,,6.14,Andy Murray,43.0,0.0,0.0,59.0,10.0,67.0,35.0,22.0,32.0,11.0,,,180.0,134.0,211.0,2.0,126.0,26.0,11.0,6.14,1.17,SF,6-3 6-2 6-1,Rafael Nadal,2.0,2.0,6267470.0,211589.0,,1.174,Rafael Nadal,83.0,6.0,6.0,67.0,34.0,59.0,45.0,41.0,14.0,8.0,,,177.0,141.0,191.0,1.0,126.0,15.0,24.0,2014-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2014,FO - RG
2,H2H 6-1,Ernests Gulbis,13.0,5.0,6267295.0,212851.0,,5.93,Ernests Gulbis,102.0,7.0,2.0,111.0,36.0,105.0,60.0,42.0,45.0,24.0,,,202.0,167.0,220.0,1.0,216.0,44.0,40.0,5.93,1.18,SF,6-3 6-3 3-6 6-3,Novak Djokovic,9.0,1.0,6267295.0,212852.0,,1.182,Novak Djokovic,114.0,10.0,5.0,105.0,39.0,111.0,74.0,59.0,37.0,16.0,,,181.0,149.0,200.0,2.0,216.0,25.0,30.0,2014-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2014,FO - RG
3,H2H 24-6,David Ferrer,2.0,1.0,6267471.0,785339.0,,6.4,David Ferrer,84.0,14.0,3.0,102.0,37.0,95.0,60.0,32.0,35.0,15.0,,,174.0,152.0,188.0,2.0,197.0,50.0,33.0,6.40,1.17,QF,4-6 6-4 6-0 6-1,Rafael Nadal,1.0,1.0,6267471.0,785338.0,,1.166,Rafael Nadal,113.0,14.0,9.0,95.0,48.0,102.0,63.0,43.0,39.0,22.0,,,174.0,139.0,197.0,1.0,197.0,31.0,21.0,2014-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2014,FO - RG
4,H2H 4-2,Gael Monfils,4.0,5.0,6267310.0,212787.0,,2.8,Gael Monfils,126.0,13.0,4.0,135.0,49.0,139.0,105.0,63.0,34.0,14.0,,,171.0,153.0,206.0,1.0,274.0,61.0,40.0,2.80,1.51,QF,6-4 6-1 4-6 1-6 6-0,Andy Murray,1.0,2.0,6267310.0,212788.0,,1.51,Andy Murray,148.0,18.0,7.0,139.0,62.0,135.0,84.0,55.0,51.0,31.0,,,173.0,133.0,204.0,2.0,274.0,48.0,42.0,2014-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2014,FO - RG
5,H2H 3-4,Tomas Berdych,3.0,2.0,6267520.0,212721.0,,1.735,Tomas Berdych,66.0,3.0,1.0,79.0,22.0,78.0,39.0,27.0,39.0,17.0,,,198.0,159.0,212.0,1.0,157.0,25.0,17.0,1.74,2.26,QF,6-3 6-2 6-4,Ernests Gulbis,10.0,1.0,6267520.0,212722.0,,2.26,Ernests Gulbis,91.0,8.0,5.0,78.0,34.0,79.0,47.0,38.0,32.0,19.0,,,207.0,164.0,224.0,2.0,157.0,17.0,31.0,2014-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2014,FO - RG
6,H2H 7-0,Milos Raonic,21.0,4.0,6267440.0,211843.0,,6.92,Milos Raonic,98.0,2.0,1.0,98.0,25.0,114.0,80.0,63.0,34.0,10.0,,,205.0,166.0,226.0,1.0,212.0,40.0,49.0,6.92,1.14,QF,7-5 7-6(5) 6-4,Novak Djokovic,4.0,1.0,6267440.0,211844.0,,1.143,Novak Djokovic,114.0,9.0,3.0,114.0,41.0,98.0,67.0,50.0,31.0,23.0,,,180.0,146.0,201.0,2.0,212.0,19.0,37.0,2014-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2014,FO - RG
7,H2H 1-0,Dusan Lajovic,3.0,3.0,6267473.0,212140.0,,26.0,Dusan Lajovic,33.0,4.0,1.0,59.0,15.0,57.0,28.0,14.0,29.0,4.0,,,184.0,142.0,209.0,2.0,116.0,43.0,9.0,26.00,1.02,R16,6-1 6-2 6-1,Rafael Nadal,0.0,1.0,6267473.0,212139.0,,1.023,Rafael Nadal,83.0,10.0,8.0,57.0,39.0,59.0,37.0,30.0,22.0,14.0,,,173.0,139.0,192.0,1.0,116.0,19.0,16.0,2014-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2014,FO - RG
8,H2H 3-2,Kevin Anderson,9.0,4.0,6267382.0,785302.0,,7.9,Kevin Anderson,111.0,7.0,2.0,123.0,41.0,126.0,81.0,52.0,45.0,18.0,,,193.0,161.0,215.0,1.0,249.0,40.0,42.0,7.90,1.13,R16,6-3 6-3 6-7(5) 6-1,David Ferrer,2.0,4.0,6267382.0,785303.0,,1.125,David Ferrer,138.0,16.0,7.0,126.0,56.0,123.0,89.0,66.0,34.0,16.0,,,175.0,149.0,186.0,2.0,249.0,24.0,47.0,2014-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2014,FO - RG
9,H2H 5-3,Guillermo Garcia-Lopez,0.0,0.0,6267324.0,206907.0,,2.68,Guillermo Garcia-Lopez,62.0,4.0,2.0,77.0,25.0,82.0,42.0,21.0,40.0,16.0,,,177.0,133.0,191.0,1.0,159.0,48.0,21.0,2.68,1.56,R16,6-0 6-2 7-5,Gael Monfils,4.0,6.0,6267324.0,206908.0,,1.56,Gael Monfils,97.0,17.0,8.0,82.0,45.0,77.0,45.0,34.0,32.0,18.0,,,190.0,151.0,213.0,2.0,159.0,28.0,24.0,2014-05-26,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/2014,FO - RG
