,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Butch Walts,F,6-4 6-4,Thomas Hogstedt,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
1,H2H 1-0,Pavel Slozil,SF,6-3 2-6 6-4,Butch Walts,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
2,H2H 2-0,John Sadri,SF,6-4 6-3,Thomas Hogstedt,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
3,H2H 1-2,Bernie Mitton,QF,7-6 6-3,Butch Walts,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
4,H2H 1-2,Jakob Hlasek,QF,6-3 7-5,Pavel Slozil,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
5,H2H 1-0,Sean Brawley,QF,6-4 6-4,John Sadri,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
6,H2H 1-0,Libor Pimek,QF,6-3 6-4,Thomas Hogstedt,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
7,H2H 4-1,Hank Pfister,R16,6-4 6-4,Bernie Mitton,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
8,H2H 1-0,Stanislav Birner,R16,6-7 6-1 6-2,Butch Walts,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
9,H2H 1-0,Jimmy Brown,R16,7-6 7-6,Jakob Hlasek,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
10,H2H 1-0,Vincent Van Patten,R16,6-4 1-6 6-4,Pavel Slozil,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
11,H2H 1-0,Mike Gandolfo,R16,6-3 7-6,Sean Brawley,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
12,H2H 1-0,Paolo Cane,R16,4-6 6-1 6-2,John Sadri,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
13,H2H 1-0,Jiri Granat,R16,6-3 6-2,Thomas Hogstedt,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
14,H2H 1-0,Hans-Dieter Beutel,R16,6-4 2-6 6-2,Libor Pimek,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
15,H2H 1-0,Jay Lapidus,R32,6-7 6-4 6-3,Hank Pfister,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
16,H2H 1-0,Christoph Zipf,R32,6-3 6-7 7-6,Bernie Mitton,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
17,H2H 1-0,Simone Colombo,R32,6-1 6-3,Butch Walts,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
18,H2H 1-1,Mario Martinez,R32,5-7 6-2 7-6,Stanislav Birner,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
19,H2H 2-0,Georges Goven,R32,6-2 6-3,Jimmy Brown,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
20,H2H 1-0,Gianluca Rinaldini,R32,6-2 5-7 6-1,Jakob Hlasek,1983-11-14,https://matchstat.com/tennis/tournaments/m/Ferrara/1983,Ferrara
