,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,Jimmy Arias,F,3-6 6-3 6-2,Sergio Casal,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
1,H2H 2-0,Eduardo Bengoechea,SF,7-5 7-5,Sergio Casal,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
2,H2H 1-0,Mike De Palmer,SF,6-2 6-3,Jimmy Arias,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
3,H2H 1-1,Mark Dickson,QF,6-2 6-4,Sergio Casal,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
4,H2H 1-1,Jimmy Brown,QF,6-1 7-6,Eduardo Bengoechea,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
5,H2H 1-0,Lawson Duncan,QF,5-7 6-4 6-4,Mike De Palmer,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
6,H2H 1-0,Marcelo Ingaramo,QF,6-1 6-4,Jimmy Arias,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
7,H2H 1-0,Aaron Krickstein,R16,3-6 6-4 6-4,Sergio Casal,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
8,H2H 3-0,Peter Elter,R16,6-3 6-3,Mark Dickson,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
9,H2H 2-1,Tarik Benhabiles,R16,6-1 6-3,Eduardo Bengoechea,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
10,H2H 1-0,Luca Bottazzi,R16,6-1 6-1,Jimmy Brown,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
11,H2H 2-0,Alejandro Ganzabal,R16,7-6 7-6,Lawson Duncan,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
12,H2H 1-0,Blaine Willenborg,R16,6-3 6-7 6-3,Mike De Palmer,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
13,H2H 1-0,Kelly Evernden,R16,7-5 6-4,Marcelo Ingaramo,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
14,H2H 1-0,Steve Meister,R16,7-5 6-2,Jimmy Arias,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
15,H2H 1-0,Guillermo Rivas,R32,6-2 5-7 6-3,Aaron Krickstein,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
16,H2H 1-0,Stefan Simonsson,R32,7-6 6-4,Sergio Casal,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
17,H2H 1-0,Carl Limberger,R32,6-4 6-1,Peter Elter,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
18,H2H 1-1,Alessandro De Minicis,R32,6-1 6-1,Mark Dickson,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
19,H2H 1-0,Vitas Gerulaitis,R32,6-3 7-6,Eduardo Bengoechea,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
20,H2H 1-0,Bruce Derlin,R32,7-5 6-2,Tarik Benhabiles,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
21,H2H 1-0,Stephen Shaw,R32,6-1 7-6,Luca Bottazzi,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
22,H2H 1-1,G. Vilas,R32,6-4 6-0,Jimmy Brown,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
23,H2H 1-0,Michiel Schapers,R32,6-2 3-6 6-3,Lawson Duncan,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
24,H2H 1-0,Ivan Kley,R32,6-3 6-2,Alejandro Ganzabal,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
25,H2H 1-0,Eddie Edwards,R32,2-6 7-6 6-0,Blaine Willenborg,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
26,H2H 1-0,Francesco Cancellotti,R32,7-6 6-3,Mike De Palmer,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
27,H2H 1-0,Dan Cassidy,R32,6-2 6-2,Kelly Evernden,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
28,H2H 1-0,Claudio Mezzadri,R32,6-2 4-6 6-2,Marcelo Ingaramo,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
29,H2H 2-0,Chris Lewis,R32,3-6 7-5 7-5,Steve Meister,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
30,H2H 2-0,Trevor Allan,R32,6-2 7-6,Jimmy Arias,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
31,,B Derlin / C Limberger,F,6-1 6-1,D Graham / L Warder,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
32,,M De Palmer / S Simonsson,SF,7-5 6-3,B Derlin / C Limberger,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
33,,V Gerulaitis / C Lewis,SF,6-3 6-1,D Graham / L Warder,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
34,,F Gonzalez / C Van Rensburg,QF,6-2 6-0,M De Palmer / S Simonsson,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
35,,G Barbosa / I Kley,QF,6-4 6-4,B Derlin / C Limberger,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
36,,S Casal / C Mezzadri,QF,6-2 0-6 6-4,V Gerulaitis / C Lewis,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
37,,S Meister / B Willenborg,QF,7-5 6-2,D Graham / L Warder,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
38,,L Bottazzi / A De Minicis,R16,6-4 6-4,F Gonzalez / C Van Rensburg,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
39,,J Arias / A Krickstein,R16,7-6 7-6,M De Palmer / S Simonsson,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
40,,E Adams / M Schapers,R16,3-6 7-6 6-2,G Barbosa / I Kley,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
41,,E Edwards / D Visser,R16,6-4 4-6 7-6,B Derlin / C Limberger,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
42,,K Evernden / M Robertson,R16,6-3 5-7 6-4,S Casal / C Mezzadri,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
43,,M Dickson / M Leach,R16,6-3 6-2,V Gerulaitis / C Lewis,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
44,,D Cassidy / S Shaw,R16,6-3 6-2,D Graham / L Warder,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
45,,F Cancellotti / G Vilas,R16,7-6 6-3,S Meister / B Willenborg,1985-05-20,https://matchstat.com/tennis/tournaments/m/Florence/1985,Florence
