,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 22-12,Jimmy Connors,F,6-2 6-0,Ivan Lendl,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
1,H2H 17-2,Andres Gomez,SF,6-3 6-3,Ivan Lendl,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
2,H2H 7-3,Tim Mayotte,SF,7-5 3-6 6-3,Jimmy Connors,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
3,H2H 4-1,David Pate,QF,6-4 6-2,Ivan Lendl,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
4,H2H 3-0,Johan Kriek,QF,6-3 6-3,Andres Gomez,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
5,H2H 4-1,Greg Holmes,QF,3-6 6-3 7-6,Tim Mayotte,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
6,H2H 4-1,Todd Witsken,QF,6-3 6-0,Jimmy Connors,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
7,H2H 6-1,Eliot Teltscher,R16,6-4 6-2,Ivan Lendl,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
8,H2H 1-2,Robert Seguso,R16,6-3 7-6,David Pate,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
9,H2H 1-1,Bud Schultz,R16,6-3 3-6 6-3,Johan Kriek,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
10,H2H 9-3,Aaron Krickstein,R16,6-7 6-3 6-4,Andres Gomez,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
11,H2H 1-1,Jaime Yzaga,R16,6-4 6-3,Tim Mayotte,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
12,H2H 1-1,Ken Flach,R16,6-3 6-2,Greg Holmes,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
13,H2H 4-0,Jimmy Arias,R16,5-7 6-2 6-4,Todd Witsken,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
14,H2H 5-0,John Lloyd,R16,7-5 6-2,Jimmy Connors,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
15,H2H 5-2,John Sadri,R32,6-4 6-4,Ivan Lendl,1986-03-17,https://matchstat.com/tennis/tournaments/m/Fort%20Myers/1986,Fort Myers
