,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-2,Johan Kriek,F,2-6 7-6 6-2,S. Smith,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
1,H2H 4-2,Tim Gullikson,SF,6-0 6-3,S. Smith,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
2,H2H 4-2,Brian Gottfried,SF,2-6 6-3 6-4,Johan Kriek,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
3,H2H 2-1,Tomas Smid,QF,6-3 7-5,Tim Gullikson,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
4,H2H 5-0,Raul Ramirez,QF,6-3 6-4,S. Smith,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
5,H2H 4-1,Heinz Gunthardt,QF,4-6 7-5 7-6,Brian Gottfried,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
6,H2H 1-0,Butch Walts,QF,4-6 6-2 6-3,Johan Kriek,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
7,H2H 1-1,Rolf Gehring,R16,6-7 7-6 6-2,Tim Gullikson,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
8,H2H 3-0,Vijay Amritraj,R16,7-5 0-6 7-6,Tomas Smid,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
9,H2H 2-0,Hans Gildemeister,R16,6-3 7-6,S. Smith,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
10,H2H 3-2,J. Alexander,R16,6-4 6-3,Raul Ramirez,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
11,H2H 2-4,Christopher Mottram,R16,6-2 2-6 6-2,Heinz Gunthardt,1980-03-17,https://matchstat.com/tennis/tournaments/m/Frankfurt/1980,Frankfurt
