,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-5,Horst Skoff,F,6-2 6-4,Thomas Muster,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
1,H2H 5-2,Andrei Medvedev,SF,7-6 7-6,Thomas Muster,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
2,H2H 2-4,Jordi Arrese,SF,7-6 6-2,Horst Skoff,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
3,H2H 12-3,Sergio Bruguera,QF,4-6 6-4 6-4,Thomas Muster,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
4,H2H 1-0,Cristian Miniussi,QF,6-4 5-7 7-5,Andrei Medvedev,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
5,H2H 4-1,Horacio De La Pena,QF,7-6 4-6 6-1,Horst Skoff,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
6,H2H 3-0,Jaime Oncins,QF,4-6 6-4 7-5,Jordi Arrese,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
7,H2H 1-0,Claudio Mezzadri,R16,7-6 1-6 6-1,Sergio Bruguera,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
8,H2H 11-3,Guillermo Perez-Roldan,R16,4-6 6-1 6-2,Thomas Muster,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
9,H2H 1-1,Goran Prpic,R16,6-7 6-0 7-5,Cristian Miniussi,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
10,H2H 1-0,Eduardo Masso,R16,5-7 7-6 6-1,Andrei Medvedev,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
11,H2H 1-1,Alberto Mancini,R16,6-1 3-6 6-4,Horacio De La Pena,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
12,H2H 1-0,Miguel Merz,R16,6-2 6-0,Horst Skoff,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
13,H2H 1-1,Carsten Arriens,R16,7-5 5-7 7-5,Jaime Oncins,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
14,H2H 1-0,Veli Paloheimo,R16,6-2 3-6 7-5,Jordi Arrese,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
15,H2H 2-0,Bart Wuyts,R32,6-3 6-2,Sergio Bruguera,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
16,H2H 2-1,Thierry Tulasne,R32,6-3 7-5,Claudio Mezzadri,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
17,H2H 3-2,Marian Vajda,R32,6-3 7-5,Thomas Muster,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
18,H2H 5-1,Marcelo Filippini,R32,7-6 6-3,Guillermo Perez-Roldan,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
19,H2H 1-0,Gilad Bloom,R32,4-6 6-4 6-4,Goran Prpic,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
20,H2H 1-1,Renzo Furlan,R32,6-4 7-5,Cristian Miniussi,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
21,H2H 1-2,Jan Gunnarsson,R32,6-3 6-3,Eduardo Masso,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
22,H2H 3-5,Marc Rosset,R32,6-2 6-1,Andrei Medvedev,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
23,H2H 3-3,Luiz Mattar,R32,6-3 7-6,Alberto Mancini,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
24,H2H 2-2,Franco Davin,R32,7-6 7-6,Horacio De La Pena,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
25,H2H 1-0,Patrick Baur,R32,3-6 7-6 7-5,Miguel Merz,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
26,H2H 1-0,German Lopez-Montoya,R32,6-2 6-0,Horst Skoff,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
27,H2H 1-1,Omar Camporese,R32,6-3 6-4,Carsten Arriens,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
28,H2H 2-0,Juan Gisbert-Schultze,R32,6-4 7-5,Jaime Oncins,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
29,H2H 1-0,Ronald Agenor,R32,7-6 4-6 6-4,Veli Paloheimo,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
30,H2H 5-1,Andrey Cherkasov,R32,6-4 4-6 6-1,Jordi Arrese,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
31,,P Henricsson / O Jonsson,F,3-6 6-3 6-2,S Bruguera / M Rosset,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
32,,M Bauer / J Gunnarsson,SF,6-1 7-5,P Henricsson / O Jonsson,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
33,,M Oosting / O Rahnasto,SF,3-6 6-1 6-4,S Bruguera / M Rosset,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
34,,M Gorriz-bonhora / L Pimek,QF,6-3 6-4,M Bauer / J Gunnarsson,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
35,,A Cherkasov / A Medvedev,QF,6-0 7-6,P Henricsson / O Jonsson,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
36,,J Donar / S Guy,QF,6-1 6-7 6-3,M Oosting / O Rahnasto,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
37,,L Mattar / J Oncins,QF,WO,S Bruguera / M Rosset,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
38,,J Clavet / M Jensen,R16,5-7 6-4 6-4,M Gorriz-bonhora / L Pimek,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
39,,G Garetto / M Ingaramo,R16,2-6 6-3 6-2,M Bauer / J Gunnarsson,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
40,,H De La Pena / D Nargiso,R16,6-3 6-4,A Cherkasov / A Medvedev,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
41,,E Masso / G Mirad,R16,6-1 4-6 6-2,P Henricsson / O Jonsson,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
42,,J Arrese / G Lopez-montoya,R16,6-4 7-6,M Oosting / O Rahnasto,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
43,,V Flegl / G Prpic,R16,6-4 6-4,J Donar / S Guy,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
44,,G Bloom / C Miniussi,R16,6-0 7-6,S Bruguera / M Rosset,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
45,,R Furlan / C Mezzadri,R16,6-2 6-2,L Mattar / J Oncins,1991-09-09,https://matchstat.com/tennis/tournaments/m/Geneva/1991,Geneva
