,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-0,Joao Sousa,3.0,0.0,7707193.0,2514540.0,,3.21,Joao Sousa,66.0,6.0,3.0,69.0,26.0,73.0,55.0,31.0,18.0,9.0,11.0,,,,,1.0,142.0,,,3.21,1.41,F,7-6(4) 6-4,Thomaz Bellucci,4.0,5.0,7707193.0,2514541.0,,1.412,Thomaz Bellucci,76.0,6.0,4.0,73.0,33.0,64.0,42.0,27.0,22.0,16.0,11.0,,,,,2.0,142.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Geneva/2015,Geneva
1,H2H 1-2,Federico Delbonis,0.0,2.0,7707191.0,2514536.0,,1.588,Federico Delbonis,89.0,4.0,2.0,89.0,33.0,87.0,60.0,41.0,27.0,15.0,14.0,,,,,1.0,178.0,,,1.59,2.56,SF,6-3 2-6 6-4,Joao Sousa,4.0,2.0,7707191.0,2514537.0,,2.56,Joao Sousa,89.0,7.0,3.0,89.0,33.0,87.0,56.0,41.0,31.0,15.0,13.0,,,,,2.0,178.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Geneva/2015,Geneva
2,H2H 4-3,Santiago Giraldo,1.0,2.0,7707192.0,2514539.0,,2.69,Santiago Giraldo,43.0,0.0,0.0,41.0,5.0,63.0,49.0,33.0,14.0,5.0,10.0,,,,,2.0,106.0,,,2.69,1.54,SF,6-3 6-4,Thomaz Bellucci,4.0,0.0,7707192.0,2514538.0,,1.543,Thomaz Bellucci,63.0,6.0,3.0,65.0,27.0,41.0,29.0,25.0,12.0,11.0,9.0,,,,,1.0,106.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Geneva/2015,Geneva
3,H2H 1-1,Stan Wawrinka,4.0,2.0,7707187.0,2514528.0,,1.235,Stan Wawrinka,92.0,4.0,2.0,96.0,30.0,92.0,59.0,37.0,33.0,25.0,16.0,,,,,1.0,190.0,,,1.24,4.76,QF,6-7(5) 6-4 6-4,Federico Delbonis,2.0,2.0,7707187.0,2514529.0,,4.76,Federico Delbonis,98.0,7.0,4.0,94.0,32.0,94.0,54.0,42.0,40.0,24.0,16.0,,,,,2.0,190.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Geneva/2015,Geneva
4,H2H 1-0,Pablo Andujar,1.0,2.0,7707188.0,2514530.0,,1.6,Pablo Andujar,111.0,12.0,4.0,104.0,42.0,115.0,81.0,51.0,34.0,18.0,15.0,,,,,1.0,221.0,,,1.60,2.56,QF,6-4 2-6 7-6(6),Joao Sousa,4.0,0.0,7707188.0,2514531.0,,2.56,Joao Sousa,110.0,12.0,3.0,117.0,48.0,104.0,70.0,45.0,34.0,17.0,15.0,,,,,2.0,221.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Geneva/2015,Geneva
5,H2H 1-0,Albert Ramos-Vinolas,0.0,2.0,7707189.0,2514533.0,,2.4,Albert Ramos-Vinolas,68.0,13.0,5.0,80.0,36.0,71.0,47.0,23.0,24.0,9.0,11.0,,,,,2.0,153.0,,,2.40,1.67,QF,6-0 1-6 6-3,Thomaz Bellucci,0.0,4.0,7707189.0,2514532.0,,1.67,Thomaz Bellucci,85.0,14.0,7.0,73.0,41.0,76.0,53.0,31.0,23.0,13.0,11.0,,,,,1.0,153.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Geneva/2015,Geneva
6,H2H 1-4,Marin Cilic,9.0,1.0,7707190.0,2514535.0,,1.45,Marin Cilic,60.0,0.0,0.0,58.0,15.0,74.0,48.0,30.0,26.0,15.0,11.0,,,,,2.0,133.0,,,1.45,3.08,QF,7-5 6-3,Santiago Giraldo,1.0,1.0,7707190.0,2514534.0,,3.08,Santiago Giraldo,73.0,11.0,3.0,75.0,30.0,57.0,38.0,32.0,19.0,11.0,10.0,,,,,1.0,133.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Geneva/2015,Geneva
7,H2H 5-0,Lukas Rosol,4.0,1.0,7707179.0,2514513.0,,6.02,Lukas Rosol,75.0,3.0,2.0,73.0,21.0,82.0,51.0,37.0,31.0,17.0,14.0,,,,,2.0,156.0,,,6.02,1.17,R16,6-4 3-6 6-3,Stan Wawrinka,6.0,1.0,7707179.0,2514512.0,,1.165,Stan Wawrinka,81.0,8.0,3.0,83.0,29.0,72.0,37.0,28.0,35.0,24.0,14.0,,,,,1.0,156.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Geneva/2015,Geneva
8,H2H 1-1,Andrey Kuznetsov,3.0,4.0,7707180.0,2514515.0,,2.76,Andrey Kuznetsov,51.0,1.0,1.0,52.0,14.0,64.0,43.0,29.0,21.0,8.0,9.0,,,,,2.0,120.0,,,2.76,1.52,R16,6-3 6-4,Federico Delbonis,1.0,2.0,7707180.0,2514514.0,,1.52,Federico Delbonis,69.0,8.0,3.0,68.0,31.0,50.0,37.0,28.0,13.0,10.0,10.0,,,,,1.0,120.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Geneva/2015,Geneva
9,H2H 1-1,Adrian Mannarino,6.0,2.0,7707181.0,2514517.0,,3.02,Adrian Mannarino,95.0,9.0,2.0,93.0,32.0,105.0,72.0,45.0,33.0,18.0,15.0,,,,,2.0,200.0,,,3.02,1.45,R16,3-6 7-6(2) 6-2,Pablo Andujar,1.0,3.0,7707181.0,2514516.0,,1.45,Pablo Andujar,105.0,10.0,3.0,107.0,44.0,90.0,58.0,44.0,32.0,17.0,14.0,,,,,1.0,200.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Geneva/2015,Geneva
