,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-3,Michael Chang,F,6-2 6-3 6-2,Michael Stich,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
1,H2H 3-3,Pete Sampras,SF,7-6(3) 7-6(5) 3-6 7-6(2),Michael Stich,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
2,H2H 6-4,Goran Ivanisevic,SF,6-7(3) 6-2 6-4 3-6 6-3,Michael Chang,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
3,H2H 8-6,Richard Krajicek,QF,7-6(4) 7-5,Michael Stich,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
4,H2H 2-2,Henri Leconte,QF,7-6(3) 6-4,Pete Sampras,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
5,H2H 4-2,John McEnroe,QF,3-6 6-4 6-2,Goran Ivanisevic,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
6,H2H 6-2,Petr Korda,QF,6-3 6-4,Michael Chang,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
7,H2H 9-6,Stefan Edberg,R16,7-6(4) 6-7(4) 8-6,Michael Stich,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
8,H2H 1-2,Emilio Sanchez,R16,6-3 6-2,Richard Krajicek,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
9,H2H 7-2,Alexander Volkov,R16,6-3 6-4,Pete Sampras,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
10,H2H 1-1,Wayne Ferreira,R16,3-6 6-3 6-0,Henri Leconte,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
11,H2H 2-1,Nicklas Kulti,R16,6-1 6-4,John McEnroe,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
12,H2H 7-3,Guy Forget,R16,7-5 6-4,Goran Ivanisevic,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
13,H2H 3-2,Wally Masur,R16,2-6 7-5 6-4,Petr Korda,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
14,H2H 7-15,Andre Agassi,R16,6-4 6-2,Michael Chang,1992-12-07,https://matchstat.com/tennis/tournaments/m/Grand%20Slam%20Cup/1992,Grand Slam Cup
