,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Adriano Panatta,F,7-5 9-8 6-4,A. Gimeno,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
1,H2H 1-0,Ion Tiriac,SF,8-9 7-5 6-0 6-1,Adriano Panatta,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
2,H2H 1-0,B. Phillips-Moore,SF,6-4 6-3 9-7,A. Gimeno,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
3,H2H 1-0,Roscoe Tanner,QF,6-2 6-2,Ion Tiriac,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
4,H2H 1-0,Jean-Loup Rouyer,QF,6-2 6-4,Adriano Panatta,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
5,H2H 2-0,Patrick Hombergen,QF,3-6 6-3 6-2,B. Phillips-Moore,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
6,H2H 1-0,Sandy Mayer,QF,6-2 6-2,A. Gimeno,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
7,H2H 3-0,Pierre Barthes,R16,6-4 6-4,Roscoe Tanner,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
8,H2H 1-0,Wilhelm Bungert,R16,6-2 Retired,Ion Tiriac,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
9,H2H 2-0,Antonio Munoz,R16,8-6 6-2,Adriano Panatta,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
10,H2H 2-0,Kukal,R16,6-4 6-2,Jean-Loup Rouyer,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
11,H2H 1-0,Onny Parun,R16,6-1 6-2,Patrick Hombergen,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
12,H2H 1-0,T. Koch,R16,7-5 6-3,B. Phillips-Moore,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
13,H2H 3-1,Ray Moore,R16,6-1 6-1,Sandy Mayer,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
14,H2H 2-0,N. Spear,R16,6-1 6-3,A. Gimeno,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
15,H2H 1-0,Derek Schroder,R32,6-3 6-3,Pierre Barthes,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
16,H2H 1-0,Theodor Stalder,R32,6-2 6-4,Roscoe Tanner,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
17,H2H 2-0,Terry Ryan,R32,6-1 6-2,Ion Tiriac,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
18,H2H 1-0,Dick Bohrnstedt,R32,7-5 6-3,Wilhelm Bungert,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
19,H2H 1-0,Tadeusz Nowicki,R32,6-1 6-2,Adriano Panatta,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
20,H2H 1-0,Ian Fletcher,R32,6-3 6-1,Antonio Munoz,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
21,H2H 1-0,Pat Cramer,R32,6-2 6-3,Jean-Loup Rouyer,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
22,H2H 1-0,Kenichi Hirai,R32,6-2 7-5,Kukal,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
23,H2H 1-1,Antonio Zugarelli,R32,6-2 6-1,Patrick Hombergen,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
24,H2H 4-0,Ivan Molina,R32,4-6 6-1 6-1,Onny Parun,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
25,H2H 1-0,Dimitri Sturdza,R32,6-4 6-2,T. Koch,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
26,H2H 1-5,G. Vilas,R32,6-3 6-0,B. Phillips-Moore,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
27,H2H 1-1,Milan Holecek,R32,6-4 6-4,Sandy Mayer,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
28,H2H 1-0,Wieslaw Gasiorek,R32,6-4 6-2,Ray Moore,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
29,H2H 1-0,Matthias Werren,R32,6-1 9-8,N. Spear,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
30,H2H 0-0,Boro Jovanovic,R32,WO,A. Gimeno,1972-07-10,https://matchstat.com/tennis/tournaments/m/Gstaad/1972,Gstaad
