,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Markus Zoecke,F,2-6 7-6 6-3,Javier Frana,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
1,H2H 2-0,Francisco Roig,SF,1-6 6-3 6-0,Javier Frana,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
2,H2H 1-0,Carlos Costa,SF,6-4 6-2,Markus Zoecke,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
3,H2H 1-0,Bart Wuyts,QF,4-6 6-1 6-4,Francisco Roig,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
4,H2H 2-0,Maurice Ruah,QF,4-6 6-4 7-6,Javier Frana,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
5,H2H 3-0,Andres Gomez,QF,4-6 6-1 6-3,Carlos Costa,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
6,H2H 1-0,German Lopez-Montoya,QF,6-3 4-6 7-5,Markus Zoecke,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
7,H2H 1-3,Luiz Mattar,R16,6-2 5-7 6-4,Francisco Roig,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
8,H2H 2-0,Frederic Fontang,R16,6-2 6-2,Bart Wuyts,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
9,H2H 1-0,Paul Haarhuis,R16,5-7 6-4 6-4,Maurice Ruah,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
10,H2H 1-3,Guillermo Perez-Roldan,R16,6-2 7-6,Javier Frana,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
11,H2H 4-3,Francisco Clavet,R16,7-6 3-6 6-3,Carlos Costa,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
12,H2H 2-0,Patrick Baur,R16,6-3 6-2,Andres Gomez,1991-10-21,https://matchstat.com/tennis/tournaments/m/Guaruja%20II/1991,Guaruja II
