,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,Alex Corretja,F,7-6 6-3,Carsten Arriens,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
1,H2H 1-0,Fernando Roese,SF,7-6 6-3,Carsten Arriens,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
2,H2H 2-0,Javier Frana,SF,6-3 3-6 7-6,Alex Corretja,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
3,H2H 1-1,Jordi Arrese,QF,6-4 2-6 6-1,Carsten Arriens,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
4,H2H 2-0,Alejo Mancisidor,QF,6-1 6-2,Fernando Roese,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
5,H2H 2-0,Lars Koslowski,QF,6-2 6-4,Javier Frana,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
6,H2H 1-0,Martin Jaite,QF,6-4 6-3,Alex Corretja,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
7,H2H 2-1,Cassio Motta,R16,4-6 6-3 6-4,Jordi Arrese,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
8,H2H 1-1,Jaime Oncins,R16,6-3 6-4,Carsten Arriens,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
9,H2H 1-2,Diego Perez,R16,6-2 7-5,Fernando Roese,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
10,H2H 1-0,Marc-Kevin Goellner,R16,2-6 7-5 6-3,Alejo Mancisidor,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
11,H2H 1-3,Alberto Berasategui,R16,6-2 6-2,Javier Frana,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
12,H2H 1-0,Roberto Jabali,R16,7-6 6-4,Lars Koslowski,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
13,H2H 5-4,Marcelo Filippini,R16,6-3 6-1,Alex Corretja,1992-10-26,https://matchstat.com/tennis/tournaments/m/Guaruja/1992,Guaruja
