,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 12-3,Nicolas Kiefer,F,6-1 6-3,Roger Federer,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
1,H2H 16-0,Mikhail Youzhny,SF,4-6 7-6(4) 6-2,Roger Federer,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
2,H2H 5-2,Arnaud Clement,SF,4-6 7-6(4) 6-4,Nicolas Kiefer,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
3,H2H 2-1,Younes El Aynaoui,QF,7-5 7-6(3),Roger Federer,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
4,H2H 6-4,Jiri Novak,QF,6-4 6-4,Mikhail Youzhny,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
5,H2H 3-2,Karol Kucera,QF,7-5 6-7(5) 7-6(6),Arnaud Clement,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
6,H2H 2-1,Radek Stepanek,QF,7-5 6-3,Nicolas Kiefer,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
7,H2H 1-0,Fernando Vicente,R16,4-6 6-2 6-1,Roger Federer,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
8,H2H 2-3,Lars Burgsmuller,R16,6-3 6-3,Younes El Aynaoui,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
9,H2H 5-0,Stefan Koubek,R16,6-4 6-3,Jiri Novak,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
10,H2H 7-1,Jonas Bjorkman,R16,6-4 7-5,Mikhail Youzhny,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
11,H2H 2-10,Ivan Ljubicic,R16,6-4 6-2,Arnaud Clement,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
12,H2H 9-2,Fabrice Santoro,R16,6-3 6-3,Karol Kucera,2003-06-09,https://matchstat.com/tennis/tournaments/m/Halle/2003,Halle
