,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 16-6,Tomas Berdych,,,5676545.0,248234.0,,6.0,Tomas Berdych,,,,,,,,,,,,,,,,2.0,,,,6.00,1.12,F,6-0 6-7(4) 6-2,Roger Federer,,,5676545.0,248233.0,,1.12,Roger Federer,,,,,,,,,,,,,,,,1.0,,,,2006-06-12,https://matchstat.com/tennis/tournaments/m/Halle/2006,Halle
1,H2H 13-3,Tommy Haas,,,5676543.0,248230.0,,6.5,Tommy Haas,,,,,,,,,,,,,,,,2.0,,,,6.50,1.10,SF,6-4 6-7(4) 6-3,Roger Federer,,,5676543.0,248229.0,,1.1,Roger Federer,,,,,,,,,,,,,,,,1.0,,,,2006-06-12,https://matchstat.com/tennis/tournaments/m/Halle/2006,Halle
2,H2H 5-0,Kristof Vliegen,,,5676544.0,248231.0,,2.8,Kristof Vliegen,,,,,,,,,,,,,,,,1.0,,,,2.80,1.40,SF,6-3 6-2,Tomas Berdych,,,5676544.0,248232.0,,1.4,Tomas Berdych,,,,,,,,,,,,,,,,2.0,,,,2006-06-12,https://matchstat.com/tennis/tournaments/m/Halle/2006,Halle
3,H2H 8-0,Olivier Rochus,,,5676539.0,248224.0,,12.0,Olivier Rochus,,,,,,,,,,,,,,,,2.0,,,,12.00,1.02,QF,6-7(2) 7-6(9) 7-6(5),Roger Federer,,,5676539.0,248223.0,,1.02,Roger Federer,,,,,,,,,,,,,,,,1.0,,,,2006-06-12,https://matchstat.com/tennis/tournaments/m/Halle/2006,Halle
4,H2H 3-1,Robin Soderling,,,5676540.0,248225.0,,2.8,Robin Soderling,,,,,,,,,,,,,,,,1.0,,,,2.80,1.40,QF,7-5 6-4,Tommy Haas,,,5676540.0,248226.0,,1.4,Tommy Haas,,,,,,,,,,,,,,,,2.0,,,,2006-06-12,https://matchstat.com/tennis/tournaments/m/Halle/2006,Halle
5,H2H 1-1,Florian Mayer,,,5676541.0,248228.0,,1.9,Florian Mayer,,,,,,,,,,,,,,,,2.0,,,,1.90,1.80,QF,6-3 6-7(5) 6-4,Kristof Vliegen,,,5676541.0,248227.0,,1.8,Kristof Vliegen,,,,,,,,,,,,,,,,1.0,,,,2006-06-12,https://matchstat.com/tennis/tournaments/m/Halle/2006,Halle
6,H2H 4-0,Fabrice Santoro,,,5676542.0,248222.0,,2.45,Fabrice Santoro,,,,,,,,,,,,,,,,2.0,,,,2.45,1.50,QF,7-5 7-6(3),Tomas Berdych,,,5676542.0,248221.0,,1.5,Tomas Berdych,,,,,,,,,,,,,,,,1.0,,,,2006-06-12,https://matchstat.com/tennis/tournaments/m/Halle/2006,Halle
7,H2H 15-2,Richard Gasquet,,,5676531.0,248216.0,,8.0,Richard Gasquet,,,,,,,,,,,,,,,,2.0,,,,8.00,1.05,R16,7-6(7) 6-7(7) 6-4,Roger Federer,,,5676531.0,248215.0,,1.05,Roger Federer,,,,,,,,,,,,,,,,1.0,,,,2006-06-12,https://matchstat.com/tennis/tournaments/m/Halle/2006,Halle
8,H2H 3-6,Marat Safin,,,5676532.0,248217.0,,1.55,Marat Safin,,,,,,,,,,,,,,,,1.0,,,,1.55,2.35,R16,4-6 6-4 6-1,Olivier Rochus,,,5676532.0,248218.0,,2.35,Olivier Rochus,,,,,,,,,,,,,,,,2.0,,,,2006-06-12,https://matchstat.com/tennis/tournaments/m/Halle/2006,Halle
9,H2H 2-0,Andrei Pavel,,,5676533.0,248211.0,,2.4,Andrei Pavel,,,,,,,,,,,,,,,,1.0,,,,2.40,1.50,R16,4-6 6-3 6-0,Robin Soderling,,,5676533.0,248212.0,,1.5,Robin Soderling,,,,,,,,,,,,,,,,2.0,,,,2006-06-12,https://matchstat.com/tennis/tournaments/m/Halle/2006,Halle
