,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-9,Michael Stich,F,5-7 6-4 6-1,Stefan Edberg,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
1,H2H 1-0,Carlos Costa,SF,7-5 7-6,Stefan Edberg,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
2,H2H 4-8,Boris Becker,SF,6-1 6-1,Michael Stich,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
3,H2H 3-1,Omar Camporese,QF,2-6 7-6 6-2,Stefan Edberg,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
4,H2H 3-1,Paul Haarhuis,QF,4-6 6-4 6-3,Carlos Costa,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
5,H2H 8-6,Richard Krajicek,QF,6-4 3-6 6-3,Michael Stich,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
6,H2H 8-1,Karel Novacek,QF,6-1 7-6,Boris Becker,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
7,H2H 1-0,Francisco Clavet,R16,6-3 6-1,Stefan Edberg,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
8,H2H 2-3,Stefano Pescosolido,R16,6-4 6-4,Omar Camporese,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
9,H2H 1-8,Michael Chang,R16,7-6 7-6,Paul Haarhuis,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
10,H2H 2-0,Olivier Delaitre,R16,6-2 6-3,Carlos Costa,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
11,H2H 3-8,Goran Ivanisevic,R16,7-5 6-2,Richard Krajicek,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
12,H2H 6-0,Horst Skoff,R16,6-3 7-5,Michael Stich,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
13,H2H 1-0,Cristiano Caratti,R16,6-3 6-2,Karel Novacek,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
14,H2H 1-1,Renzo Furlan,R16,4-6 6-4 6-3,Boris Becker,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
15,H2H 1-0,Jordi Arrese,R32,6-3 6-4,Stefan Edberg,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
16,H2H 4-6,Alberto Berasategui,R32,6-3 6-2,Francisco Clavet,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
17,H2H 1-0,John McEnroe,R32,7-6 1-6 6-4,Stefano Pescosolido,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
18,H2H 2-3,Ivan Lendl,R32,7-6 6-2,Omar Camporese,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
19,H2H 5-1,Andrey Cherkasov,R32,6-1 6-2,Michael Chang,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
20,H2H 2-6,Thomas Muster,R32,5-7 6-3 7-6,Paul Haarhuis,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
21,H2H 1-1,Andre Agassi,R32,3-6 6-1 6-2,Carlos Costa,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
22,H2H 1-1,Petr Korda,R32,5-7 7-6 6-1,Olivier Delaitre,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
23,H2H 4-1,Christian Bergstrom,R32,7-5 7-6,Goran Ivanisevic,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
24,H2H 1-1,Guillermo Perez-Roldan,R32,6-3 6-4,Richard Krajicek,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
25,H2H 1-0,David Prinosil,R32,6-2 6-7 7-6,Horst Skoff,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
26,H2H 2-1,Carl-Uwe Steeb,R32,6-3 6-2,Michael Stich,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
27,H2H 1-0,Felipe Rivera,R32,6-0 6-1,Karel Novacek,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
28,H2H 1-0,Alex Corretja,R32,7-5 4-6 7-5,Cristiano Caratti,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
29,H2H 3-4,Wayne Ferreira,R32,6-7 6-3 6-3,Renzo Furlan,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
30,H2H 1-0,Thierry Champion,R32,6-3 7-6,Boris Becker,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
31,H2H 3-1,German Lopez-Montoya,R64,6-3 6-3,Jordi Arrese,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
32,H2H 1-0,Arne Thoms,R64,6-3 7-5,Alberto Berasategui,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
33,H2H 1-0,Markus Zoecke,R64,6-2 3-6 6-2,Francisco Clavet,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
34,H2H 1-0,Alberto Mancini,R64,6-1 6-2,John McEnroe,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
35,H2H 1-2,Goran Prpic,R64,3-6 6-2 6-4,Stefano Pescosolido,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
36,H2H 1-0,Alexander Mronz,R64,6-4 6-2,Omar Camporese,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
37,H2H 1-0,Markus Naewie,R64,6-4 6-3,Andrey Cherkasov,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
38,H2H 3-2,Javier Sanchez,R64,6-3 7-6,Paul Haarhuis,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
39,H2H 2-0,Christo Van Rensburg,R64,6-1 6-1,Thomas Muster,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
40,H2H 3-2,Martin Jaite,R64,6-2 6-3,Andre Agassi,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
41,H2H 1-0,Patrik Kuhnen,R64,6-2 6-2,Carlos Costa,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
42,H2H 3-0,Frederik Fetterlein,R64,6-2 6-1,Olivier Delaitre,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
43,H2H 1-0,Jan Siemerink,R64,6-0 6-2,Christian Bergstrom,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
44,H2H 1-0,Michiel Schapers,R64,3-6 7-5 6-2,Guillermo Perez-Roldan,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
45,H2H 5-3,Sergio Bruguera,R64,6-3 3-6 6-2,Richard Krajicek,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
46,H2H 1-1,Alexander Volkov,R64,6-2 1-6 7-6,Horst Skoff,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
47,H2H 1-0,Sascha Nensel,R64,7-5 6-1,David Prinosil,1992-05-04,https://matchstat.com/tennis/tournaments/m/Hamburg/1992,Hamburg
