,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 5-2,Radek Stepanek,,,5670450.0,248120.0,,2.7,Radek Stepanek,,,,,,,,,,,,,,,,2.0,,,,2.70,1.42,F,6-1 6-3 6-3,Tommy Robredo,,,5670450.0,248119.0,,1.42,Tommy Robredo,,,,,,,,,,,,,,,,1.0,,,,2006-05-15,https://matchstat.com/tennis/tournaments/m/Hamburg/2006,Hamburg
1,H2H 2-3,Mario Ancic,,,5670448.0,248118.0,,3.0,Mario Ancic,,,,,,,,,,,,,,,,2.0,,,,3.00,1.35,SF,7-5 6-4,Tommy Robredo,,,5670448.0,248117.0,,1.35,Tommy Robredo,,,,,,,,,,,,,,,,1.0,,,,2006-05-15,https://matchstat.com/tennis/tournaments/m/Hamburg/2006,Hamburg
2,H2H 3-1,Jose Acasuso,,,5670449.0,248115.0,,1.5,Jose Acasuso,,,,,,,,,,,,,,,,1.0,,,,1.50,2.40,SF,6-4 7-6(5),Radek Stepanek,,,5670449.0,248116.0,,2.4,Radek Stepanek,,,,,,,,,,,,,,,,2.0,,,,2006-05-15,https://matchstat.com/tennis/tournaments/m/Hamburg/2006,Hamburg
3,H2H 2-8,David Ferrer,,,5670444.0,787058.0,,1.85,David Ferrer,,,,,,,,,,,,,,,,1.0,,,,1.85,1.85,QF,7-6(8) 6-4,Tommy Robredo,,,5670444.0,787059.0,,1.85,Tommy Robredo,,,,,,,,,,,,,,,,2.0,,,,2006-05-15,https://matchstat.com/tennis/tournaments/m/Hamburg/2006,Hamburg
4,H2H 4-5,Nikolay Davydenko,,,5670445.0,247991.0,,1.32,Nikolay Davydenko,,,,,,,,,,,,,,,,1.0,,,,1.32,3.10,QF,5-7 7-6(4) 6-3,Mario Ancic,,,5670445.0,247992.0,,3.1,Mario Ancic,,,,,,,,,,,,,,,,2.0,,,,2006-05-15,https://matchstat.com/tennis/tournaments/m/Hamburg/2006,Hamburg
5,H2H 1-1,Fernando Verdasco,,,5670446.0,247989.0,,2.6,Fernando Verdasco,,,,,,,,,,,,,,,,1.0,,,,2.60,1.45,QF,6-1 6-7(6) 6-3,Jose Acasuso,,,5670446.0,247990.0,,1.45,Jose Acasuso,,,,,,,,,,,,,,,,2.0,,,,2006-05-15,https://matchstat.com/tennis/tournaments/m/Hamburg/2006,Hamburg
6,H2H 3-0,Max Mirnyi,,,5670447.0,247987.0,,2.6,Max Mirnyi,,,,,,,,,,,,,,,,1.0,,,,2.60,1.45,QF,7-6(5) 6-1,Radek Stepanek,,,5670447.0,247988.0,,1.45,Radek Stepanek,,,,,,,,,,,,,,,,2.0,,,,2006-05-15,https://matchstat.com/tennis/tournaments/m/Hamburg/2006,Hamburg
7,H2H 7-2,Juan Carlos Ferrero,,,5670436.0,787048.0,,2.2,Juan Carlos Ferrero,,,,,,,,,,,,,,,,1.0,,,,2.20,1.60,R16,6-2 6-4,David Ferrer,,,5670436.0,787049.0,,1.6,David Ferrer,,,,,,,,,,,,,,,,2.0,,,,2006-05-15,https://matchstat.com/tennis/tournaments/m/Hamburg/2006,Hamburg
8,H2H 5-2,Paul-Henri Mathieu,,,5670437.0,247981.0,,2.4,Paul-Henri Mathieu,,,,,,,,,,,,,,,,1.0,,,,2.40,1.50,R16,6-3 6-3,Tommy Robredo,,,5670437.0,247982.0,,1.5,Tommy Robredo,,,,,,,,,,,,,,,,2.0,,,,2006-05-15,https://matchstat.com/tennis/tournaments/m/Hamburg/2006,Hamburg
9,H2H 4-3,Jarkko Nieminen,,,5670438.0,247986.0,,2.2,Jarkko Nieminen,,,,,,,,,,,,,,,,2.0,,,,2.20,1.60,R16,6-1 6-3,Nikolay Davydenko,,,5670438.0,247985.0,,1.6,Nikolay Davydenko,,,,,,,,,,,,,,,,1.0,,,,2006-05-15,https://matchstat.com/tennis/tournaments/m/Hamburg/2006,Hamburg
