,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,David Pate,F,6-1 6-2,Marty Davis,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
1,H2H 3-0,Greg Holmes,SF,7-6 6-2,Marty Davis,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
2,H2H 1-0,John Sadri,SF,7-5 7-6,David Pate,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
3,H2H 2-3,Paul Annacone,QF,6-3 7-5,Marty Davis,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
4,H2H 1-0,Sammy Giammalva,QF,6-3 6-4,Greg Holmes,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
5,H2H 5-5,Brad Gilbert,QF,6-3 6-4,David Pate,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
6,H2H 1-0,Mark Dickson,QF,6-1 7-5,John Sadri,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
7,H2H 2-1,Dan Cassidy,R16,7-6 7-6,Paul Annacone,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
8,H2H 1-1,J. Alexander,R16,6-2 5-7 6-4,Marty Davis,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
9,H2H 1-0,Van Winitsky,R16,7-6 6-3,Greg Holmes,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
10,H2H 1-0,Cary Stansbury,R16,6-2 6-4,Sammy Giammalva,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
11,H2H 2-0,Francisco Gonzalez,R16,6-4 6-3,David Pate,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
12,H2H 1-1,Eric Korita,R16,6-1 6-1,Brad Gilbert,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
13,H2H 1-0,Chip Hooper,R16,7-6 4-6 7-6,Mark Dickson,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
14,H2H 2-0,Tony Giammalva,R16,6-3 3-6 6-3,John Sadri,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
15,H2H 1-0,Barry Moir,R32,7-6 6-7 7-6,Dan Cassidy,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
16,H2H 1-0,Mike Leach,R32,6-2 6-7 7-6,Paul Annacone,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
17,H2H 3-0,David Dowlen,R32,6-3 6-4,Marty Davis,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
18,H2H 1-0,Nduka Odizor,R32,7-6 6-1,J. Alexander,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
19,H2H 1-0,Leif Shiras,R32,3-6 6-3 6-4,Van Winitsky,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
20,H2H 1-0,Steve Guy,R32,6-3 6-4,Greg Holmes,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
21,H2H 1-0,Glenn Michibata,R32,6-4 6-7 6-3,Cary Stansbury,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
22,H2H 2-1,Matt Mitchell,R32,6-2 6-2,Sammy Giammalva,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
23,H2H 1-1,Danie Visser,R32,7-6 6-4,David Pate,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
24,H2H 1-1,Jun Kamiwazumi,R32,6-3 6-2,Francisco Gonzalez,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
25,H2H 1-0,Randy Nixon,R32,7-6 6-4,Eric Korita,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
26,H2H 2-0,Lloyd Bourne,R32,7-6 6-4,Brad Gilbert,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
27,H2H 1-0,Kelvin Belcher,R32,6-4 6-7 7-5,Mark Dickson,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
28,H2H 1-0,Steve Meister,R32,6-3 6-4,Chip Hooper,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
29,H2H 1-0,Larry Stefanki,R32,6-4 4-6 6-4,Tony Giammalva,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
30,H2H 2-0,Bruce Manson,R32,6-2 6-4,John Sadri,1984-09-24,https://matchstat.com/tennis/tournaments/m/Hawaii/1984,Hawaii
