,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-1,Eduardo Masso,F,3-6 6-4 6-2 6-0,Francisco Clavet,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
1,H2H 1-0,Emilio Sanchez,SF,6-4 7-5,Eduardo Masso,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
2,H2H 3-1,Omar Camporese,SF,4-6 7-6 7-6,Francisco Clavet,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
3,H2H 3-0,Olivier Delaitre,QF,6-2 7-6,Emilio Sanchez,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
4,H2H 1-0,Sergio Bruguera,QF,4-6 7-5 6-0,Eduardo Masso,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
5,H2H 5-2,Ronald Agenor,QF,7-5 7-6,Omar Camporese,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
6,H2H 1-1,Martin Jaite,QF,5-7 6-1 6-2,Francisco Clavet,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
7,H2H 4-1,Wally Masur,R16,4-6 7-6 6-4,Emilio Sanchez,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
8,H2H 1-2,Javier Sanchez,R16,3-6 6-4 6-4,Olivier Delaitre,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
9,H2H 1-0,Juan Aguilera,R16,6-3 3-6 6-2,Eduardo Masso,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
10,H2H 1-0,Sergio Casal,R16,6-1 6-3,Sergio Bruguera,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
11,H2H 1-0,Carlos Costa,R16,7-6 3-6 6-1,Ronald Agenor,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
12,H2H 1-1,Marcelo Filippini,R16,6-7 6-1 7-6,Omar Camporese,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
13,H2H 2-0,Paul Haarhuis,R16,7-5 6-2,Francisco Clavet,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
14,H2H 5-0,Tomas Carbonell,R16,4-6 7-5 6-4,Martin Jaite,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
15,H2H 3-0,Tom Nijssen,R32,6-3 5-7 6-4,Emilio Sanchez,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
16,H2H 1-1,Jaime Yzaga,R32,7-6 4-6 6-2,Wally Masur,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
17,H2H 1-1,Jordi Arrese,R32,6-1 6-0,Olivier Delaitre,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
18,H2H 3-1,Horst Skoff,R32,7-6 4-6 7-6,Javier Sanchez,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
19,H2H 2-2,Marian Vajda,R32,6-4 7-5,Juan Aguilera,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
20,H2H 1-1,Goran Prpic,R32,7-5 6-3,Eduardo Masso,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
21,H2H 1-1,Diego Perez,R32,6-1 5-7 6-2,Sergio Casal,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
22,H2H 4-1,Carl-Uwe Steeb,R32,6-3 6-1,Sergio Bruguera,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
23,H2H 1-0,Marc Rosset,R32,6-2 3-1 Retired,Carlos Costa,1990-07-23,https://matchstat.com/tennis/tournaments/m/Hilversum/1990,Hilversum
