,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-1,Mark Edmondson,F,6-4 6-4,G. Vilas,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
1,H2H 7-2,P. Dent,SF,6-0 6-2,G. Vilas,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
2,H2H 2-1,Stone,SF,6-4 6-3,Mark Edmondson,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
3,H2H 3-0,Terry Rocavert,QF,6-0 6-2,G. Vilas,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
4,H2H 4-0,Chris Kachel,QF,6-3 7-6,P. Dent,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
5,H2H 3-0,Bob Giltinan,QF,6-2 7-6,Mark Edmondson,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
6,H2H 3-2,Bob Carmichael,QF,1-6 7-6 14-12,Stone,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
7,H2H 1-0,Peter Campbell,R16,6-4 6-2,G. Vilas,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
8,H2H 1-1,Peter McNamara,R16,6-3 7-6,Terry Rocavert,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
9,H2H 1-0,Ion Tiriac,R16,6-7 6-4 6-3,P. Dent,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
10,H2H 1-1,Syd Ball,R16,6-3 6-1,Chris Kachel,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
11,H2H 1-0,John Trickey,R16,6-3 6-3,Mark Edmondson,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
12,H2H 1-0,Brad Drewett,R16,7-6 7-6,Bob Giltinan,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
13,H2H 1-0,Cliff Letcher,R16,6-4 6-4,Bob Carmichael,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
14,H2H 1-0,Victor Eke,R16,6-3 6-3,Stone,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
15,H2H 1-0,Noel Phillips,R32,6-2 6-4,G. Vilas,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
16,H2H 1-0,B. Phillips-Moore,R32,6-4 6-3,Peter Campbell,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
17,H2H 1-0,Ian Bersan,R32,6-3 7-6,Terry Rocavert,1979-01-01,https://matchstat.com/tennis/tournaments/m/Hobart/1979,Hobart
