,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-3,Byron Black,F,6-2 6-0,Kenneth Carlsen,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
1,H2H 1-2,Sebastien Lareau,SF,6-7 7-5 7-6,Byron Black,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
2,H2H 2-1,Thomas Johansson,SF,6-2 6-2,Kenneth Carlsen,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
3,H2H 7-2,Gianluca Pozzi,QF,6-4 6-0,Byron Black,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
4,H2H 1-0,Oscar Burrieza-Lopez,QF,6-1 7-6,Sebastien Lareau,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
5,H2H 1-0,Sandon Stolle,QF,7-6 7-5,Thomas Johansson,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
6,H2H 2-1,Neville Godwin,QF,7-5 6-1,Kenneth Carlsen,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
7,H2H 3-0,Christian Vinck,R16,6-1 6-2,Byron Black,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
8,H2H 2-4,David Prinosil,R16,6-4 7-6,Gianluca Pozzi,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
9,H2H 4-2,Daniel Nestor,R16,7-6 6-3,Sebastien Lareau,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
10,H2H 1-0,Martin Damm,R16,6-4 6-4,Oscar Burrieza-Lopez,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
11,H2H 1-0,Ben Ellwood,R16,7-6 6-4,Sandon Stolle,1998-04-06,https://matchstat.com/tennis/tournaments/m/Hong%20Kong/1998,Hong Kong
