,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-1,Andy Roddick,F,3-6 6-3 6-4,Andre Agassi,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
1,H2H 1-2,Jurgen Melzer,SF,6-4 6-1,Andre Agassi,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
2,H2H 1-1,Olivier Mutis,SF,4-6 6-1 6-2,Andy Roddick,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
3,H2H 2-0,Ricardo Mello,QF,6-0 6-1,Andre Agassi,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
4,H2H 5-1,Mardy Fish,QF,7-5 2-6 7-5,Jurgen Melzer,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
5,H2H 1-0,James Blake,QF,6-4 6-7(3) 6-1,Olivier Mutis,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
6,H2H 2-1,Fernando Meligeni,QF,6-3 4-6 6-4,Andy Roddick,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
7,H2H 2-1,Irakli Labadze,R16,6-0 6-2,Andre Agassi,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
8,H2H 1-1,Todd Martin,R16,7-6(6) 6-1,Ricardo Mello,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
9,H2H 1-2,Kenneth Carlsen,R16,5-7 6-3 6-4,Jurgen Melzer,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
10,H2H 1-0,Luis Horna,R16,6-2 6-4,Mardy Fish,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
11,H2H 1-0,Flavio Saretta,R16,6-2 6-0,Olivier Mutis,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
12,H2H 2-0,Attila Savolt,R16,6-2 7-6(2),James Blake,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
13,H2H 4-1,Vince Spadea,R16,4-6 7-6(6) 6-3,Fernando Meligeni,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
14,H2H 3-0,Paul Goldstein,R16,7-5 6-4,Andy Roddick,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
15,H2H 1-0,Zeljko Krajan,R32,6-2 6-0,Andre Agassi,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
16,H2H 1-2,Brian Vahaly,R32,6-3 6-7(2) 6-3,Irakli Labadze,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
17,H2H 4-3,Andre Sa,R32,7-6(2) 6-0,Ricardo Mello,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
18,H2H 1-0,Hyung-Taik Lee,R32,6-3 6-4,Todd Martin,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
19,H2H 2-0,Taylor Dent,R32,4-6 7-6(4) 6-3,Jurgen Melzer,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
20,H2H 1-0,Thomas Blake,R32,7-6(5) 6-1,Kenneth Carlsen,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
21,H2H 2-0,Sergio Roitman,R32,6-3 6-3,Mardy Fish,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
22,H2H 1-0,Jan-Michael Gambill,R32,6-2 6-4,Luis Horna,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
23,H2H 1-1,Cecil Mamiit,R32,6-3 6-1,Flavio Saretta,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
24,H2H 3-0,Hugo Armando,R32,6-7(1) 6-4 6-1,Olivier Mutis,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
25,H2H 2-0,Nicolas Kiefer,R32,6-3 6-2,Attila Savolt,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
26,H2H 1-0,Alexander Waske,R32,6-4 6-4,James Blake,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
27,H2H 1-0,Jack Brasington,R32,6-3 6-3,Vince Spadea,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
28,H2H 2-0,Justin Gimelstob,R32,6-2 6-4,Fernando Meligeni,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
29,H2H 2-1,Thomas Enqvist,R32,6-1 7-6(7),Paul Goldstein,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
30,H2H 3-0,Jeff Morrison,R32,6-3 6-1,Andy Roddick,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
31,,J Gambill / G Oliver,F,6-4 6-3,M Knowles / D Nestor,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
32,,M Fish / A Roddick,SF,3-6 6-3 6-2,M Knowles / D Nestor,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
33,,D Bowen / A Fisher,SF,7-6(6) 7-5,J Gambill / G Oliver,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
34,,M Merklein / J Morrison,QF,6-3 6-1,M Knowles / D Nestor,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
35,,J Thomas / B Vahaly,QF,7-5 6-3,M Fish / A Roddick,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
36,,S Aspelin / N Kiefer,QF,WO,D Bowen / A Fisher,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
37,,J Gimelstob / S Humphries,QF,7-5 4-6 7-6(6),J Gambill / G Oliver,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
38,,P Goldstein / R Kendrick,R16,3-6 6-1 7-6(1),M Knowles / D Nestor,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
39,,J Blake / T Blake,R16,6-4 6-4,M Merklein / J Morrison,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
40,,S Prieto / A Sa,R16,6-1 6-2,M Fish / A Roddick,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
41,,T Dent / C Mamiit,R16,6-4 6-2,J Thomas / B Vahaly,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
42,,B MacPhie / T Martin,R16,7-5 6-4,S Aspelin / N Kiefer,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
43,,T Shimada / M Wakefield,R16,6-4 7-5,D Bowen / A Fisher,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
44,,K Carlsen / J Melzer,R16,3-6 6-3 6-3,J Gimelstob / S Humphries,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
45,,L Horna / S Roitman,R16,6-4 1-0 Retired,J Gambill / G Oliver,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
46,H2H 1-3,Cecil Mamiit,FQ,1-6 6-2 6-3,Jack Brasington,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
47,H2H 1-0,Emin Agaev,FQ,6-4 6-3,Ricardo Mello,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
48,H2H 1-2,Sebastian Prieto,FQ,7-5 6-3,Sergio Roitman,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
49,H2H 2-0,Frank Dancevic,FQ,6-4 6-2,Paul Goldstein,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
50,H2H 1-0,Pavel Snobel,SFQ,6-2 6-0,Cecil Mamiit,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
51,H2H 1-0,Devin Bowen,SFQ,6-2 6-2,Jack Brasington,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
52,H2H 2-0,Levar Harper-Griffith,SFQ,6-3 6-2,Ricardo Mello,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
53,H2H 1-0,Eric Prodon,SFQ,7-6(2) 3-6 6-2,Emin Agaev,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
54,H2H 1-0,Maxime Boye,SFQ,7-5 6-4,Sergio Roitman,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
55,H2H 3-0,Sebastien De Chaunac,SFQ,6-7(2) 6-3 6-3,Sebastian Prieto,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
56,H2H 2-3,Dmitry Tursunov,SFQ,2-6 6-3 6-4,Frank Dancevic,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
57,H2H 2-0,Wayne Odesnik,SFQ,6-3 6-4,Paul Goldstein,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
58,H2H 1-0,Ignacio Hirigoyen,QFQ,6-3 6-2,Pavel Snobel,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
59,H2H 1-0,Chad Camper,QFQ,6-2 6-2,Devin Bowen,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
60,H2H 3-0,Juan-Pablo Guzman,QFQ,6-3 6-7(4) 7-6(4),Jack Brasington,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
61,H2H 1-0,Leonardo Silva,QFQ,6-0 6-0,Levar Harper-Griffith,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
62,H2H 1-1,Jeff Salzenstein,QFQ,6-3 7-6(3),Emin Agaev,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
63,H2H 1-1,Michael Russell,QFQ,6-2 3-1 Retired,Eric Prodon,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
64,H2H 1-0,Michael Magnone,QFQ,6-0 6-0,Maxime Boye,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
65,H2H 1-0,Daniel Homedes-Carballo,QFQ,7-5 6-0,Sebastian Prieto,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
66,H2H 1-0,Graydon Oliver,QFQ,6-4 6-4,Sebastien De Chaunac,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
67,H2H 2-0,Tomas Zib,QFQ,6-3 7-6(3),Frank Dancevic,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
68,H2H 3-0,Jose De Armas,QFQ,6-4 7-5,Dmitry Tursunov,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
69,H2H 1-0,Scott Humphries,QFQ,7-6(2) 7-5,Wayne Odesnik,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
70,H2H 1-0,Kiantki Thomas,QFQ,6-0 6-3,Paul Goldstein,2003-04-21,https://matchstat.com/tennis/tournaments/m/Houston/2003,Houston
