,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-5,Jurgen Melzer,,,5664338.0,247884.0,,1.65,Jurgen Melzer,,,,,,,,,,,,,,,,2.0,,,,1.65,2.10,F,3-6 6-4 6-3,Mardy Fish,,,5664338.0,247883.0,,2.1,Mardy Fish,,,,,,,,,,,,,,,,1.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
1,H2H 1-4,Tommy Haas,,,5664336.0,247881.0,,1.28,Tommy Haas,,,,,,,,,,,,,,,,1.0,,,,1.28,3.40,SF,4-1 Retired,Mardy Fish,,,5664336.0,247882.0,,3.4,Mardy Fish,,,,,,,,,,,,,,,,2.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
2,H2H 2-0,Paul Goldstein,,,5664337.0,247879.0,,2.2,Paul Goldstein,,,,,,,,,,,,,,,,1.0,,,,2.20,1.60,SF,6-3 6-4,Jurgen Melzer,,,5664337.0,247880.0,,1.6,Jurgen Melzer,,,,,,,,,,,,,,,,2.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
3,H2H 7-6,Andy Roddick,,,5664332.0,247877.0,,1.9,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,1.90,1.85,QF,6-7(1) 6-4 6-4,Tommy Haas,,,5664332.0,247878.0,,1.85,Tommy Haas,,,,,,,,,,,,,,,,2.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
4,H2H 4-4,Vince Spadea,,,5664333.0,247875.0,,1.6,Vince Spadea,,,,,,,,,,,,,,,,1.0,,,,1.60,2.25,QF,4-6 7-6(1) 6-2,Mardy Fish,,,5664333.0,247876.0,,2.25,Mardy Fish,,,,,,,,,,,,,,,,2.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
5,H2H 1-0,Albert Montanes,,,5664334.0,247874.0,,1.55,Albert Montanes,,,,,,,,,,,,,,,,2.0,,,,1.55,2.40,QF,6-3 6-4,Paul Goldstein,,,5664334.0,247873.0,,2.4,Paul Goldstein,,,,,,,,,,,,,,,,1.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
6,H2H 1-0,Fernando Vicente,,,5664335.0,247872.0,,1.95,Fernando Vicente,,,,,,,,,,,,,,,,2.0,,,,1.95,1.80,QF,7-5 6-4,Jurgen Melzer,,,5664335.0,247871.0,,1.8,Jurgen Melzer,,,,,,,,,,,,,,,,1.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
7,H2H 1-0,Oliver Marach,,,5664324.0,247858.0,,5.5,Oliver Marach,,,,,,,,,,,,,,,,2.0,,,,5.50,1.12,R16,6-3 6-4,Andy Roddick,,,5664324.0,247857.0,,1.12,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
8,H2H 3-0,Alexander Waske,,,5664325.0,247855.0,,5.0,Alexander Waske,,,,,,,,,,,,,,,,1.0,,,,5.00,1.15,R16,6-1 7-6(7),Tommy Haas,,,5664325.0,247856.0,,1.15,Tommy Haas,,,,,,,,,,,,,,,,2.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
9,H2H 1-2,Marcos Baghdatis,,,5664326.0,247867.0,,1.35,Marcos Baghdatis,,,,,,,,,,,,,,,,1.0,,,,1.35,2.90,R16,6-2 3-1 Retired,Vince Spadea,,,5664326.0,247868.0,,2.9,Vince Spadea,,,,,,,,,,,,,,,,2.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
10,H2H 3-1,Rainer Schuettler,,,5664327.0,247859.0,,1.75,Rainer Schuettler,,,,,,,,,,,,,,,,1.0,,,,1.75,1.95,R16,WO,Mardy Fish,,,5664327.0,247860.0,,1.95,Mardy Fish,,,,,,,,,,,,,,,,2.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
11,H2H 2-0,Scoville Jenkins,,,5664328.0,247864.0,,2.6,Scoville Jenkins,,,,,,,,,,,,,,,,2.0,,,,2.60,1.45,R16,6-4 6-1,Paul Goldstein,,,5664328.0,247863.0,,1.45,Paul Goldstein,,,,,,,,,,,,,,,,1.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
12,H2H 2-2,Tomas Behrend,,,5664329.0,247861.0,,2.35,Tomas Behrend,,,,,,,,,,,,,,,,1.0,,,,2.35,1.55,R16,6-2 6-3,Albert Montanes,,,5664329.0,247862.0,,1.55,Albert Montanes,,,,,,,,,,,,,,,,2.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
13,H2H 4-0,Marcos Daniel,,,5664330.0,247865.0,,2.2,Marcos Daniel,,,,,,,,,,,,,,,,1.0,,,,2.20,1.60,R16,7-6(2) 6-4,Jurgen Melzer,,,5664330.0,247866.0,,1.6,Jurgen Melzer,,,,,,,,,,,,,,,,2.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
14,H2H 5-0,Antony Dupuis,,,5664331.0,247870.0,,2.35,Antony Dupuis,,,,,,,,,,,,,,,,2.0,,,,2.35,1.55,R16,6-2 7-5,Fernando Vicente,,,5664331.0,247869.0,,1.55,Fernando Vicente,,,,,,,,,,,,,,,,1.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
15,H2H 2-0,Paul Capdeville,,,5664308.0,247846.0,,3.8,Paul Capdeville,,,,,,,,,,,,,,,,2.0,,,,3.80,1.22,R32,6-3 6-2,Andy Roddick,,,5664308.0,247845.0,,1.22,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
16,H2H 1-1,Juan-Antonio Marin,,,5664309.0,247828.0,,1.9,Juan-Antonio Marin,,,,,,,,,,,,,,,,2.0,,,,1.90,1.80,R32,6-4 6-1,Oliver Marach,,,5664309.0,247827.0,,1.8,Oliver Marach,,,,,,,,,,,,,,,,1.0,,,,2006-04-10,https://matchstat.com/tennis/tournaments/m/Houston/2006,Houston
