,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-2,Emilio Sanchez,F,7-5 6-4 2-6 6-4,Boris Becker,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
1,H2H 5-9,Andre Agassi,SF,4-6 6-3 7-5,Boris Becker,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
2,H2H 2-0,Pat Cash,SF,6-4 6-4,Emilio Sanchez,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
3,H2H 4-1,Mikael Pernfors,QF,0-6 6-2 6-2,Andre Agassi,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
4,H2H 3-0,Johan Kriek,QF,6-3 6-4,Boris Becker,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
5,H2H 3-0,Amos Mansdorf,QF,6-1 3-6 7-5,Pat Cash,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
6,H2H 3-3,Miloslav Mecir,QF,2-6 6-0 6-3,Emilio Sanchez,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
7,H2H 3-1,Stefan Edberg,R16,3-6 6-3 6-2,Mikael Pernfors,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
8,H2H 3-1,David Pate,R16,6-3 6-3,Andre Agassi,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
9,H2H 3-0,John Fitzgerald,R16,6-0 6-2,Boris Becker,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
10,H2H 1-0,Eduardo Bengoechea,R16,6-2 6-4,Johan Kriek,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
11,H2H 3-0,Dan Goldie,R16,4-6 6-3 7-6,Amos Mansdorf,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
12,H2H 2-0,Mark Woodforde,R16,6-3 6-2,Pat Cash,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
13,H2H 1-2,Pete Sampras,R16,7-5 6-2,Emilio Sanchez,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
14,H2H 3-0,Darren Cahill,R16,2-6 6-0 6-4,Miloslav Mecir,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
15,H2H 1-0,Jimmy Brown,R32,6-0 6-3,Stefan Edberg,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
16,H2H 2-2,Tomas Smid,R32,7-5 6-3,Mikael Pernfors,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
17,H2H 2-0,Jorge Lozano,R32,7-5 6-2,David Pate,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
18,H2H 1-0,Bruno Oresar,R32,6-1 6-1,Andre Agassi,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
19,H2H 3-1,Tim Wilkison,R32,6-3 6-4,Boris Becker,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
20,H2H 2-2,Christo Van Rensburg,R32,4-6 6-3 6-3,John Fitzgerald,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
21,H2H 2-4,Horacio De La Pena,R32,4-6 6-1 6-2,Eduardo Bengoechea,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
22,H2H 4-3,Tim Mayotte,R32,6-4 6-4,Johan Kriek,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
23,H2H 1-0,Martin Jaite,R32,7-6 7-5,Dan Goldie,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
24,H2H 3-2,Derrick Rostagno,R32,7-6 7-6,Amos Mansdorf,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
25,H2H 1-0,John Frawley,R32,7-5 6-4,Mark Woodforde,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
26,H2H 1-2,Thierry Tulasne,R32,6-3 6-4,Pat Cash,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
27,H2H 4-3,Diego Perez,R32,6-4 6-4,Emilio Sanchez,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
28,H2H 1-0,Eliot Teltscher,R32,7-5 6-3,Pete Sampras,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
29,H2H 2-2,Aaron Krickstein,R32,6-4 6-4,Darren Cahill,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
30,H2H 2-1,Richey Reneberg,R32,6-1 6-3,Miloslav Mecir,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
31,H2H 1-2,Jim Grabb,R64,6-2 6-3,Jimmy Brown,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
32,H2H 3-1,Guy Forget,R64,6-3 6-4,Tomas Smid,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
33,H2H 1-0,Horst Skoff,R64,7-5 6-1,Mikael Pernfors,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
34,H2H 1-1,Luiz Mattar,R64,6-2 6-7 6-3,David Pate,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
35,H2H 1-0,Gary Muller,R64,7-6 7-6,Jorge Lozano,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
36,H2H 2-0,Danie Visser,R64,6-7 6-4 7-6,Bruno Oresar,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
37,H2H 3-0,Eddie Edwards,R64,4-6 7-6 6-3,Tim Wilkison,1988-02-29,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/1988,Indian Wells Masters
