,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 23-22,Roger Federer,6.0,4.0,6206402.0,206865.0,,2.43,Roger Federer,98.0,3.0,2.0,96.0,32.0,101.0,64.0,45.0,37.0,21.0,,,,,,1.0,197.0,,,2.43,1.65,F,3-6 6-3 7-6(3),Novak Djokovic,6.0,5.0,6206402.0,206866.0,,1.645,Novak Djokovic,99.0,6.0,2.0,101.0,35.0,96.0,62.0,47.0,34.0,17.0,,,,,,2.0,197.0,,,2014-03-03,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/2014,Indian Wells Masters
1,H2H 3-0,Alexandr Dolgopolov,2.0,3.0,6204544.0,204765.0,,3.45,Alexandr Dolgopolov,40.0,0.0,0.0,43.0,10.0,61.0,24.0,16.0,37.0,14.0,,,,,,1.0,104.0,,,3.45,1.38,SF,6-3 6-1,Roger Federer,7.0,1.0,6204544.0,204766.0,,1.38,Roger Federer,64.0,9.0,4.0,61.0,31.0,43.0,31.0,23.0,12.0,10.0,,,,,,2.0,104.0,,,2014-03-03,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/2014,Indian Wells Masters
2,H2H 8-2,John Isner,8.0,2.0,6206414.0,204767.0,,6.7,John Isner,95.0,6.0,2.0,92.0,30.0,114.0,78.0,49.0,36.0,16.0,,,,,,1.0,206.0,,,6.70,1.15,SF,7-5 6-7(2) 6-1,Novak Djokovic,7.0,2.0,6206414.0,204768.0,,1.153,Novak Djokovic,111.0,12.0,5.0,114.0,49.0,92.0,63.0,47.0,29.0,15.0,,,,,,2.0,206.0,,,2014-03-03,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/2014,Indian Wells Masters
3,H2H 1-2,Milos Raonic,4.0,3.0,6203742.0,206852.0,,1.86,Milos Raonic,53.0,1.0,1.0,54.0,15.0,62.0,38.0,27.0,24.0,11.0,,,,,,2.0,116.0,,,1.86,2.10,QF,6-3 6-4,Alexandr Dolgopolov,6.0,5.0,6203742.0,206851.0,,2.1,Alexandr Dolgopolov,63.0,9.0,3.0,62.0,24.0,54.0,29.0,26.0,25.0,13.0,,,,,,1.0,116.0,,,2014-03-03,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/2014,Indian Wells Masters
4,H2H 4-0,Kevin Anderson,3.0,1.0,6203741.0,206857.0,,4.65,Kevin Anderson,39.0,1.0,0.0,51.0,9.0,54.0,32.0,23.0,22.0,7.0,,,,,,1.0,105.0,,,4.65,1.25,QF,7-5 6-1,Roger Federer,3.0,0.0,6203741.0,206858.0,,1.25,Roger Federer,66.0,7.0,3.0,54.0,24.0,51.0,33.0,26.0,18.0,16.0,,,,,,2.0,105.0,,,2014-03-03,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/2014,Indian Wells Masters
5,H2H 3-3,Ernests Gulbis,7.0,7.0,6204738.0,204758.0,,1.7,Ernests Gulbis,82.0,4.0,1.0,80.0,23.0,90.0,49.0,37.0,41.0,22.0,,,,,,2.0,170.0,,,1.70,2.34,QF,7-6(4) 7-6(3),John Isner,13.0,3.0,6204738.0,204757.0,,2.34,John Isner,88.0,6.0,1.0,90.0,31.0,80.0,59.0,48.0,21.0,9.0,,,,,,1.0,170.0,,,2014-03-03,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/2014,Indian Wells Masters
6,H2H 6-1,Julien Benneteau,2.0,2.0,6204188.0,204751.0,,10.25,Julien Benneteau,39.0,0.0,0.0,41.0,8.0,64.0,34.0,22.0,30.0,9.0,,,,,,1.0,105.0,,,10.25,1.08,QF,6-1 6-3,Novak Djokovic,7.0,3.0,6204188.0,204752.0,,1.083,Novak Djokovic,66.0,15.0,4.0,64.0,33.0,41.0,27.0,25.0,14.0,8.0,,,,,,2.0,105.0,,,2014-03-03,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/2014,Indian Wells Masters
7,H2H 5-1,Fabio Fognini,4.0,6.0,6203654.0,206806.0,,2.0,Fabio Fognini,53.0,3.0,0.0,56.0,16.0,65.0,36.0,26.0,29.0,11.0,,,,,,2.0,121.0,,,2.00,1.93,R16,6-2 6-4,Alexandr Dolgopolov,6.0,1.0,6203654.0,206805.0,,1.926,Alexandr Dolgopolov,68.0,6.0,3.0,65.0,28.0,56.0,28.0,23.0,28.0,17.0,,,,,,1.0,121.0,,,2014-03-03,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/2014,Indian Wells Masters
8,H2H 3-6,Andy Murray,4.0,3.0,6203653.0,206808.0,,1.5,Andy Murray,78.0,2.0,2.0,80.0,22.0,90.0,60.0,43.0,30.0,13.0,,,,,,2.0,170.0,,,1.50,2.82,R16,4-6 7-5 6-3,Milos Raonic,15.0,3.0,6203653.0,206807.0,,2.82,Milos Raonic,92.0,7.0,3.0,90.0,34.0,80.0,53.0,44.0,27.0,14.0,,,,,,1.0,170.0,,,2014-03-03,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/2014,Indian Wells Masters
9,H2H 4-4,Stan Wawrinka,5.0,2.0,6203652.0,402095.0,,1.24,Stan Wawrinka,92.0,13.0,3.0,105.0,41.0,89.0,38.0,28.0,51.0,23.0,,,,,,1.0,194.0,,,1.24,4.70,R16,7-6(1) 4-6 6-1,Kevin Anderson,12.0,8.0,6203652.0,402096.0,,4.7,Kevin Anderson,102.0,10.0,5.0,89.0,38.0,105.0,67.0,48.0,38.0,16.0,,,,,,2.0,194.0,,,2014-03-03,https://matchstat.com/tennis/tournaments/m/Indian%20Wells%20Masters/2014,Indian Wells Masters
