,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Olivier Delaitre,F,6-2 6-1,Wayne Ferreira,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
1,H2H 4-4,Alex Corretja,SF,6-1 6-2,Wayne Ferreira,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
2,H2H 1-1,Bernd Karbacher,SF,7-5 6-4,Olivier Delaitre,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
3,H2H 6-1,Thomas Enqvist,QF,6-2 6-2,Wayne Ferreira,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
4,H2H 1-3,Stefan Edberg,QF,1-6 6-2 6-4,Alex Corretja,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
5,H2H 2-4,Jonathan Stark,QF,6-4 7-6,Olivier Delaitre,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
6,H2H 3-1,Richey Reneberg,QF,7-5 6-4,Bernd Karbacher,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
7,H2H 4-4,Mark Woodforde,R16,6-3 7-6,Thomas Enqvist,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
8,H2H 5-3,Carlos Costa,R16,7-6 6-7 6-2,Wayne Ferreira,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
9,H2H 3-4,Richard Krajicek,R16,6-1 5-7 6-4,Stefan Edberg,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
10,H2H 6-2,Andrea Gaudenzi,R16,6-3 6-1,Alex Corretja,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
11,H2H 1-1,Greg Rusedski,R16,6-3 6-3,Olivier Delaitre,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
12,H2H 1-0,Mats Wilander,R16,6-3 6-3,Jonathan Stark,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
13,H2H 2-0,Kent Kinnear,R16,6-1 6-0,Richey Reneberg,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
14,H2H 1-3,Sergio Bruguera,R16,7-6 7-6,Bernd Karbacher,1994-08-15,https://matchstat.com/tennis/tournaments/m/Indianapolis/1994,Indianapolis
