,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 2-3,Taylor Dent,,,5619324.0,245310.0,,1.613,Taylor Dent,,,,,,,,,,,,,,,,2.0,,,,1.61,2.53,F,4-6 6-0 3-0 Retired,Robby Ginepri,,,5619324.0,245309.0,,2.53,Robby Ginepri,,,,,,,,,,,,,,,,1.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
1,H2H 2-2,Karol Beck,,,5619322.0,245306.0,,2.35,Karol Beck,,,,,,,,,,,,,,,,2.0,,,,2.35,1.69,SF,5-7 6-2 6-3,Robby Ginepri,,,5619322.0,245305.0,,1.69,Robby Ginepri,,,,,,,,,,,,,,,,1.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
2,H2H 1-2,Greg Rusedski,,,5619323.0,245308.0,,2.21,Greg Rusedski,,,,,,,,,,,,,,,,2.0,,,,2.21,1.76,SF,6-4 6-4,Taylor Dent,,,5619323.0,245307.0,,1.763,Taylor Dent,,,,,,,,,,,,,,,,1.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
3,H2H 1-10,Andy Roddick,,,5619318.0,245301.0,,1.103,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,1.10,9.25,QF,4-6 7-6(2) 7-5,Robby Ginepri,,,5619318.0,245302.0,,9.25,Robby Ginepri,,,,,,,,,,,,,,,,2.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
4,H2H 3-0,George Bastl,,,5619319.0,245297.0,,3.83,George Bastl,,,,,,,,,,,,,,,,1.0,,,,3.83,1.32,QF,6-4 7-5,Karol Beck,,,5619319.0,245298.0,,1.319,Karol Beck,,,,,,,,,,,,,,,,2.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
5,H2H 2-1,Paul Goldstein,,,5619320.0,245299.0,,3.67,Paul Goldstein,,,,,,,,,,,,,,,,1.0,,,,3.67,1.34,QF,6-3 6-2,Taylor Dent,,,5619320.0,245300.0,,1.337,Taylor Dent,,,,,,,,,,,,,,,,2.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
6,H2H 5-4,Nicolas Kiefer,,,5619321.0,245304.0,,1.541,Nicolas Kiefer,,,,,,,,,,,,,,,,2.0,,,,1.54,2.75,QF,3-6 7-6(4) 6-4,Greg Rusedski,,,5619321.0,245303.0,,2.75,Greg Rusedski,,,,,,,,,,,,,,,,1.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
7,H2H 2-0,Noam Okun,,,5619310.0,245296.0,,23.75,Noam Okun,,,,,,,,,,,,,,,,2.0,,,,23.75,1.04,R16,6-3 6-3,Andy Roddick,,,5619310.0,245295.0,,1.037,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
8,H2H 5-1,Paradorn Srichaphan,,,5619311.0,245281.0,,2.3,Paradorn Srichaphan,,,,,,,,,,,,,,,,1.0,,,,2.30,1.71,R16,6-0 6-4,Robby Ginepri,,,5619311.0,245282.0,,1.714,Robby Ginepri,,,,,,,,,,,,,,,,2.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
9,H2H 1-0,Mardy Fish,,,5619312.0,245288.0,,1.417,Mardy Fish,,,,,,,,,,,,,,,,2.0,,,,1.42,3.20,R16,1-2 Retired,George Bastl,,,5619312.0,245287.0,,3.2,George Bastl,,,,,,,,,,,,,,,,1.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
10,H2H 1-4,Rajeev Ram,,,5619313.0,245290.0,,3.01,Rajeev Ram,,,,,,,,,,,,,,,,2.0,,,,3.01,1.45,R16,6-2 6-4,Karol Beck,,,5619313.0,245289.0,,1.452,Karol Beck,,,,,,,,,,,,,,,,1.0,,,,2005-07-18,https://matchstat.com/tennis/tournaments/m/Indianapolis/2005,Indianapolis
