,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-1,Javier Frana,F,7-6 6-2,Jaime Yzaga,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
1,H2H 2-1,Javier Sanchez,SF,7-6 7-5,Javier Frana,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
2,H2H 1-2,Martin Jaite,SF,6-3 6-4,Jaime Yzaga,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
3,H2H 2-0,Diego Perez,QF,4-6 7-5 3-5 Retired,Javier Frana,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
4,H2H 2-1,Alberto Mancini,QF,4-6 6-3 6-2,Javier Sanchez,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
5,H2H 1-0,Sergio Casal,QF,6-4 6-4,Martin Jaite,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
6,H2H 2-5,Andrei Chesnokov,QF,7-5 7-6,Jaime Yzaga,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
7,H2H 2-0,Marcelo Hennemann,R16,4-6 6-2 7-6,Javier Frana,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
8,H2H 3-4,Horacio De La Pena,R16,6-7 6-2 6-0,Diego Perez,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
9,H2H 2-2,Aaron Krickstein,R16,6-1 7-6,Javier Sanchez,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
10,H2H 2-0,Cassio Motta,R16,3-6 6-1 7-6,Alberto Mancini,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
11,H2H 7-1,Pablo Arraya,R16,7-6 6-2,Martin Jaite,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
12,H2H 1-0,Danilo Marcelino,R16,6-2 6-7 6-4,Sergio Casal,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
13,H2H 2-2,Marcelo Filippini,R16,1-6 7-5 6-0,Jaime Yzaga,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
14,H2H 6-4,Jim Courier,R16,1-6 6-0 6-1,Andrei Chesnokov,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
15,H2H 4-1,Emilio Sanchez,R32,6-4 6-4,Javier Frana,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
16,H2H 1-0,Francisco Clavet,R32,6-3 6-0,Marcelo Hennemann,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
17,H2H 2-0,Raul Viver,R32,6-1 5-7 7-6,Diego Perez,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
18,H2H 1-2,Francisco Roig,R32,3-6 7-6 6-4,Horacio De La Pena,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
19,H2H 2-0,Eduardo Bengoechea,R32,6-1 3-6 6-0,Aaron Krickstein,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
20,H2H 2-0,Mauro Menezes,R32,6-2 6-2,Javier Sanchez,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
21,H2H 5-0,Fernando Roese,R32,7-5 6-1,Cassio Motta,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
22,H2H 1-2,Jaime Oncins,R32,6-1 6-7 6-0,Alberto Mancini,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
23,H2H 2-0,Roberto Azar,R32,6-0 6-4,Martin Jaite,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
24,H2H 1-1,Christer Allgardh,R32,7-6 6-3,Pablo Arraya,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
25,H2H 1-0,Cesar Kist,R32,3-6 6-3 6-2,Sergio Casal,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
26,H2H 3-4,Luiz Mattar,R32,7-6 1-0 Retired,Danilo Marcelino,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
27,H2H 2-0,Marcelo Ingaramo,R32,6-7 6-0 6-4,Marcelo Filippini,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
28,H2H 1-0,Roberto Jabali,R32,6-4 6-1,Jaime Yzaga,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
29,H2H 1-0,Ivan Kley,R32,6-4 6-2,Jim Courier,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
30,H2H 1-0,Pedro Rebolledo,R32,4-6 7-5 7-6,Andrei Chesnokov,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
31,,J Lozano / T Witsken,F,7-6 7-6,S Casal / E Sanchez,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
32,,D Marcelino / M Menezes,SF,6-4 6-3,S Casal / E Sanchez,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
33,,R Acioly / D Campos,SF,3-6 6-2 6-4,J Lozano / T Witsken,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
34,,P Arraya / J Yzaga,QF,4-6 6-0 6-3,S Casal / E Sanchez,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
35,,P Albano / C Araya,QF,7-5 6-3,D Marcelino / M Menezes,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
36,,M Filippini / C Motta,QF,4-6 6-3 6-1,R Acioly / D Campos,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
37,,I Kley / F Roese,QF,7-6 6-0,J Lozano / T Witsken,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
38,,A Hocevar / C Kist,R16,6-3 6-2,S Casal / E Sanchez,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
39,,M Barbosa / R Camargo,R16,7-5 6-4,P Arraya / J Yzaga,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
40,,H De La Pena / R Saad,R16,7-5 7-6,P Albano / C Araya,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
41,,J Frana / A Mancini,R16,6-4 6-4,D Marcelino / M Menezes,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
42,,N Aerts / E Bengoechea,R16,2-6 6-4 6-1,M Filippini / C Motta,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
43,,D Perez / J Sanchez,R16,6-3 6-2,R Acioly / D Campos,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
44,,C Allgardh / P Rebolledo,R16,6-2 6-1,I Kley / F Roese,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
45,,M Ingaramo / M Jaite,R16,6-2 6-4,J Lozano / T Witsken,1988-11-21,https://matchstat.com/tennis/tournaments/m/Itaparica/1988,Itaparica
