,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-2,Carl-Uwe Steeb,F,2-6 6-2 6-1,Michael Chang,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
1,H2H 2-2,Jacco Eltingh,SF,6-4 6-4,Michael Chang,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
2,H2H 2-3,Paul Haarhuis,SF,6-2 6-2,Carl-Uwe Steeb,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
3,H2H 4-0,Rodolphe Gilbert,QF,6-2 2-1 Retired,Michael Chang,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
4,H2H 2-0,Fabrice Santoro,QF,7-6 6-4,Jacco Eltingh,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
5,H2H 3-0,Richey Reneberg,QF,6-4 6-3,Paul Haarhuis,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
6,H2H 2-0,David Prinosil,QF,6-2 6-4,Carl-Uwe Steeb,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
7,H2H 7-0,Gianluca Pozzi,R16,6-1 6-1,Michael Chang,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
8,H2H 1-0,Jan Siemerink,R16,5-7 6-3 6-3,Rodolphe Gilbert,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
9,H2H 5-0,Guillaume Raoux,R16,6-1 6-1,Fabrice Santoro,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
10,H2H 1-2,Horst Skoff,R16,7-6 7-6,Jacco Eltingh,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
11,H2H 2-2,Jeff Tarango,R16,6-2 7-6,Richey Reneberg,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
12,H2H 1-1,Patrik Kuhnen,R16,7-6 3-6 6-3,Paul Haarhuis,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
13,H2H 1-0,Luis-Enrique Herrera,R16,6-3 3-6 6-1,David Prinosil,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
14,H2H 2-2,Andrei Olhovskiy,R16,6-1 3-6 6-3,Carl-Uwe Steeb,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
15,H2H 4-0,Ronald Agenor,R32,6-2 6-4,Michael Chang,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
16,H2H 1-1,Lars Jonsson,R32,4-6 7-5 Retired,Gianluca Pozzi,1993-01-11,https://matchstat.com/tennis/tournaments/m/Jakarta/1993,Jakarta
