,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-0,Colin Dibley,SF,6-2 6-0,Bjorn Borg,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
1,H2H 13-2,Christopher Mottram,SF,6-3 6-4,G. Vilas,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
2,H2H 4-1,Andrew Pattison,QF,6-4 6-4,Bjorn Borg,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
3,H2H 2-1,R. Taylor,QF,6-3 7-6,Colin Dibley,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
4,H2H 1-0,Robbie Venter,QF,6-0 7-6,Christopher Mottram,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
5,H2H 3-0,Jurgen Fassbender,QF,6-0 6-2,G. Vilas,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
6,H2H 1-0,Frew McMillan,R16,6-3 6-2,Bjorn Borg,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
7,H2H 3-0,Schneider,R16,6-4 6-4,Andrew Pattison,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
8,H2H 1-1,Colin Dowdeswell,R16,6-4 6-2,R. Taylor,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
9,H2H 2-0,John Yuill,R16,6-3 2-6 7-6,Colin Dibley,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
10,H2H 1-0,William Lofgren,R16,7-5 6-1,Christopher Mottram,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
11,H2H 1-0,Bob Hewitt,R16,6-4 1-6 6-3,Robbie Venter,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
12,H2H 2-1,Geoff Masters,R16,6-2 6-0,Jurgen Fassbender,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
13,H2H 2-0,Richard Lewis,R16,6-1 6-2,G. Vilas,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
14,H2H 1-0,Johnny Muller,R32,6-1 6-0,Bjorn Borg,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
15,H2H 1-0,Charles Fancutt,R32,6-3 7-6,Frew McMillan,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
16,H2H 2-0,Ricardo Cano,R32,6-1 6-2,Andrew Pattison,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
17,H2H 1-0,Jose Luis Clerc,R32,2-6 6-1 6-4,Schneider,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
18,H2H 2-3,Ray Moore,R32,6-4 6-4,R. Taylor,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
19,H2H 1-0,Bob Carmichael,R32,6-4 6-3,Colin Dowdeswell,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
20,H2H 1-0,C. Pasarell,R32,6-4 6-4,John Yuill,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
21,H2H 1-0,John Bartlett,R32,6-3 6-2,Colin Dibley,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
22,H2H 1-0,Julian Ganzabal,R32,6-1 7-6,William Lofgren,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
23,H2H 3-0,Brad Drewett,R32,6-2 6-1,Christopher Mottram,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
24,H2H 1-0,John Marks,R32,7-5 7-5,Robbie Venter,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
25,H2H 3-0,Onny Parun,R32,7-5 6-4,Bob Hewitt,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
26,H2H 1-0,Erik Van Dillen,R32,6-1 6-3,Jurgen Fassbender,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
27,H2H 1-0,T. Koch,R32,4-6 6-2 6-3,Geoff Masters,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
28,H2H 1-0,Mike Machette,R32,7-6 7-6,Richard Lewis,1977-03-07,https://matchstat.com/tennis/tournaments/m/Johannesburg%20%28O%29/1977,Johannesburg (O)
