,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Guillaume Raoux,F,6-1 6-4,Martin Sinner,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
1,H2H 3-1,Byron Black,SF,7-6 6-4,Guillaume Raoux,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
2,H2H 1-1,Jeremy Bates,SF,6-1 7-6,Martin Sinner,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
3,H2H 4-0,Lionel Roux,QF,4-6 7-5 7-6,Guillaume Raoux,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
4,H2H 1-0,Patrick Baur,QF,6-2 6-3,Byron Black,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
5,H2H 1-0,Joern Renzenbrink,QF,4-1 Retired,Martin Sinner,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
6,H2H 1-0,Neville Godwin,QF,6-3 6-2,Jeremy Bates,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
7,H2H 1-1,Alexandru Radulescu,R16,6-4 6-3,Lionel Roux,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
8,H2H 1-1,Dimitri Poliakov,R16,7-6 7-5,Guillaume Raoux,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
9,H2H 1-1,Jakob Hlasek,R16,7-6 6-7 6-3,Patrick Baur,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
10,H2H 1-0,Paul Wekesa,R16,7-6 6-3,Byron Black,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
11,H2H 1-0,Howard Joffe,R16,6-4 7-6,Joern Renzenbrink,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
12,H2H 1-2,Filip De Wulf,R16,4-6 7-6 6-2,Martin Sinner,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
13,H2H 1-0,Mark Petchey,R16,4-6 6-4 7-5,Neville Godwin,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
14,H2H 2-0,Kevin Ullyett,R16,7-6 2-6 6-4,Jeremy Bates,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
15,H2H 3-0,Christo Van Rensburg,R32,6-2 6-3,Lionel Roux,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
16,H2H 3-0,Adrian Voinea,R32,6-2 6-2,Alexandru Radulescu,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
17,H2H 2-0,Laurence Tieleman,R32,6-4 6-2,Dimitri Poliakov,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
18,H2H 1-0,Tomas Nydahl,R32,6-3 6-2,Guillaume Raoux,1995-04-03,https://matchstat.com/tennis/tournaments/m/Johannesburg/1995,Johannesburg
