,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Marcelo Lara,SF,6-2 6-1 6-0,Raul Ramirez,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
1,H2H 2-0,Ion Tiriac,SF,3-6 6-4 6-4 1-6 6-4,Orantes,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
2,H2H 2-0,Vladimir Zednik,QF,6-3 6-3 5-7 6-2,Marcelo Lara,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
3,H2H 1-0,Mandarino,QF,6-0 6-4 7-6,Raul Ramirez,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
4,H2H 4-0,B. Phillips-Moore,QF,5-7 6-4 6-2 6-3,Ion Tiriac,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
5,H2H 1-0,Vladimir Korotkov,QF,6-3 6-4 6-2,Orantes,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
6,H2H 1-1,R. Emerson,R16,6-4 6-3,Marcelo Lara,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
7,H2H 1-0,Anatoli Volkov,R16,6-1 6-4,Vladimir Zednik,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
8,H2H 3-0,Patricio Cornejo Seckel,R16,5-7 6-1 6-1,Raul Ramirez,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
9,H2H 1-0,Sandy Mayer,R16,6-2 6-3,Mandarino,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
10,H2H 1-0,Rudolf Hoskowetz,R16,6-2 6-1,Ion Tiriac,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
11,H2H 1-1,Hans Kary,R16,6-3 4-6 6-3,B. Phillips-Moore,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
12,H2H 1-0,M. Mulligan,R16,6-3 1-6 6-2,Vladimir Korotkov,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
13,H2H 4-1,Christopher Mottram,R16,7-6 7-5,Orantes,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
14,H2H 1-0,Norman Holmes,R32,7-6 6-3,R. Emerson,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
15,H2H 1-0,Robert McKinley,R32,3-6 6-4 6-2,Marcelo Lara,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
16,H2H 1-0,Mcmanus,R32,7-5 6-4,Vladimir Zednik,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
17,H2H 1-0,Peter Szoke,R32,7-5 6-7 6-3,Anatoli Volkov,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
18,H2H 3-6,Bjorn Borg,R32,7-5 7-6,Raul Ramirez,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
19,H2H 1-0,Rolf Norberg,R32,6-4 6-2,Patricio Cornejo Seckel,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
20,H2H 1-0,Milan Holecek,R32,4-6 6-1 6-4,Mandarino,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
21,H2H 4-3,Kim Warwick,R32,6-3 6-2,Sandy Mayer,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
22,H2H 1-0,Colin Dibley,R32,6-4 1-6 6-3,Rudolf Hoskowetz,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
23,H2H 1-0,John Bartlett,R32,6-4 6-4,Ion Tiriac,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
24,H2H 1-0,Tito Vazquez,R32,6-7 6-4 7-5,Hans Kary,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
25,H2H 1-0,Toshiro Sakai,R32,7-5 6-4,B. Phillips-Moore,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
26,H2H 1-1,Joaquin Loyo-Mayo,R32,6-3 5-7 6-2,M. Mulligan,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
27,H2H 1-0,Sever Muresan,R32,5-7 6-3 6-3,Vladimir Korotkov,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
28,H2H 1-0,Peter Pokorny,R32,6-2 7-6,Christopher Mottram,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
29,H2H 1-0,Shamil Tarpischev,R32,6-2 7-5,Orantes,1973-07-16,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/1973,Kitzbuhel
