,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 2-1,Albert Montanes,3.0,3.0,6020657.0,161517.0,,1.541,Albert Montanes,79.0,10.0,3.0,93.0,37.0,73.0,34.0,24.0,39.0,18.0,,,,,,1.0,166.0,,,1.54,2.70,F,6-4 4-6 6-1,Robin Haase,4.0,4.0,6020657.0,161518.0,,2.7,Robin Haase,87.0,10.0,5.0,73.0,31.0,93.0,43.0,30.0,50.0,26.0,,,,,,2.0,166.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
1,H2H 2-4,Juan Ignacio Chela,1.0,2.0,6020655.0,161489.0,,1.676,Juan Ignacio Chela,56.0,5.0,3.0,56.0,20.0,75.0,58.0,28.0,17.0,8.0,,,,,,1.0,131.0,,,1.68,2.36,SF,6-2 7-5,Albert Montanes,1.0,4.0,6020655.0,161490.0,,2.36,Albert Montanes,75.0,14.0,6.0,75.0,39.0,56.0,34.0,27.0,22.0,9.0,,,,,,2.0,131.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
2,H2H 2-1,Joao Souza,7.0,3.0,6020656.0,782374.0,,3.21,Joao Souza,76.0,2.0,1.0,74.0,17.0,99.0,59.0,41.0,40.0,18.0,,,,,,1.0,173.0,,,3.21,1.41,SF,6-1 6-7(3) 6-4,Robin Haase,14.0,0.0,6020656.0,782375.0,,1.412,Robin Haase,97.0,10.0,5.0,99.0,40.0,74.0,40.0,34.0,34.0,23.0,,,,,,2.0,173.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
3,H2H 1-0,Marcel Granollers,3.0,2.0,6020651.0,161436.0,,2.0,Marcel Granollers,52.0,2.0,1.0,50.0,14.0,69.0,46.0,30.0,23.0,8.0,,,,,,2.0,119.0,,,2.00,1.88,QF,6-3 6-4,Juan Ignacio Chela,0.0,1.0,6020651.0,161435.0,,1.88,Juan Ignacio Chela,67.0,10.0,4.0,69.0,31.0,50.0,35.0,28.0,15.0,8.0,,,,,,1.0,119.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
4,H2H 2-4,Santiago Giraldo,7.0,0.0,6020652.0,161411.0,,1.752,Santiago Giraldo,52.0,3.0,2.0,65.0,22.0,58.0,35.0,24.0,23.0,6.0,,,,,,1.0,123.0,,,1.75,2.23,QF,6-1 7-6(0),Albert Montanes,6.0,3.0,6020652.0,161412.0,,2.23,Albert Montanes,71.0,11.0,4.0,58.0,28.0,65.0,40.0,31.0,25.0,12.0,,,,,,2.0,123.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
5,H2H 1-1,Pablo Andujar,1.0,0.0,6020653.0,782370.0,,1.4,Pablo Andujar,45.0,2.0,2.0,55.0,17.0,52.0,25.0,17.0,27.0,11.0,,,,,,1.0,107.0,,,1.40,3.15,QF,6-3 6-4,Joao Souza,8.0,5.0,6020653.0,782371.0,,3.15,Joao Souza,62.0,7.0,4.0,52.0,24.0,55.0,31.0,27.0,24.0,11.0,,,,,,2.0,107.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
6,H2H 2-5,Andreas Seppi,2.0,6.0,6020654.0,161413.0,,1.75,Andreas Seppi,58.0,7.0,4.0,78.0,36.0,57.0,27.0,14.0,30.0,8.0,,,,,,1.0,135.0,,,1.75,2.18,QF,6-4 6-2,Robin Haase,6.0,1.0,6020654.0,161414.0,,2.18,Robin Haase,77.0,11.0,7.0,57.0,35.0,78.0,42.0,27.0,36.0,15.0,,,,,,2.0,135.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
7,H2H 2-0,Daniel Gimeno-Traver,8.0,1.0,6020643.0,161352.0,,3.15,Daniel Gimeno-Traver,84.0,7.0,3.0,84.0,32.0,91.0,44.0,31.0,47.0,21.0,,,,,,2.0,175.0,,,3.15,1.43,R16,6-4 3-6 6-3,Juan Ignacio Chela,2.0,5.0,6020643.0,161351.0,,1.426,Juan Ignacio Chela,91.0,9.0,4.0,91.0,39.0,84.0,49.0,33.0,35.0,19.0,,,,,,1.0,175.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
8,H2H 1-0,Antonio Veic,3.0,1.0,6020644.0,161399.0,,5.42,Antonio Veic,64.0,3.0,3.0,65.0,24.0,78.0,45.0,26.0,33.0,14.0,,,,,,1.0,143.0,,,5.42,1.19,R16,6-0 3-6 6-4,Marcel Granollers,3.0,1.0,6020644.0,161400.0,,1.19,Marcel Granollers,79.0,11.0,6.0,78.0,38.0,65.0,37.0,24.0,28.0,17.0,,,,,,2.0,143.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
9,H2H 3-5,Fabio Fognini,3.0,3.0,6020645.0,161353.0,,1.877,Fabio Fognini,59.0,4.0,3.0,58.0,25.0,72.0,40.0,23.0,32.0,11.0,,,,,,1.0,130.0,,,1.88,2.03,R16,6-3 6-4,Santiago Giraldo,3.0,1.0,6020645.0,161354.0,,2.03,Santiago Giraldo,71.0,9.0,5.0,72.0,38.0,58.0,37.0,23.0,21.0,10.0,,,,,,2.0,130.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
10,H2H 1-2,Philipp Kohlschreiber,3.0,3.0,6020646.0,161402.0,,1.588,Philipp Kohlschreiber,60.0,5.0,2.0,65.0,25.0,61.0,28.0,19.0,33.0,16.0,,,,,,2.0,126.0,,,1.59,2.60,R16,6-4 7-5,Albert Montanes,8.0,6.0,6020646.0,161401.0,,2.6,Albert Montanes,66.0,6.0,4.0,61.0,26.0,65.0,45.0,35.0,20.0,5.0,,,,,,1.0,126.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
11,H2H 10-2,Albert Ramos-Vinolas,4.0,0.0,6020647.0,161404.0,,2.47,Albert Ramos-Vinolas,40.0,3.0,1.0,48.0,16.0,53.0,27.0,15.0,26.0,9.0,,,,,,2.0,101.0,,,2.47,1.64,R16,6-2 6-1,Pablo Andujar,0.0,2.0,6020647.0,161403.0,,1.637,Pablo Andujar,61.0,9.0,5.0,53.0,29.0,48.0,31.0,20.0,17.0,12.0,,,,,,1.0,101.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
12,H2H 4-5,Diego Junqueira,2.0,2.0,6020648.0,782365.0,,1.94,Diego Junqueira,37.0,1.0,0.0,44.0,11.0,49.0,30.0,19.0,19.0,7.0,,,,,,2.0,93.0,,,1.94,1.94,R16,6-2 6-2,Joao Souza,4.0,2.0,6020648.0,782364.0,,1.94,Joao Souza,56.0,6.0,4.0,49.0,23.0,44.0,30.0,23.0,14.0,10.0,,,,,,1.0,93.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
13,H2H 1-0,Pere Riba,2.0,3.0,6020649.0,161356.0,,2.75,Pere Riba,61.0,5.0,3.0,69.0,29.0,61.0,28.0,19.0,33.0,13.0,,,,,,2.0,130.0,,,2.75,1.50,R16,7-5 6-4,Andreas Seppi,5.0,5.0,6020649.0,161355.0,,1.5,Andreas Seppi,69.0,8.0,5.0,61.0,29.0,69.0,39.0,27.0,30.0,13.0,,,,,,1.0,130.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
14,H2H 3-2,Feliciano Lopez,9.0,3.0,6020650.0,161396.0,,1.571,Feliciano Lopez,75.0,3.0,3.0,73.0,26.0,71.0,45.0,35.0,26.0,14.0,,,,,,2.0,144.0,,,1.57,2.65,R16,1-6 6-4 6-3,Robin Haase,5.0,3.0,6020650.0,161395.0,,2.65,Robin Haase,69.0,6.0,3.0,71.0,22.0,73.0,34.0,21.0,39.0,26.0,,,,,,1.0,144.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
15,H2H 1-2,Dominic Thiem,2.0,5.0,6020628.0,161168.0,,7.6,Dominic Thiem,37.0,1.0,1.0,43.0,10.0,53.0,19.0,15.0,34.0,12.0,,,,,,2.0,96.0,,,7.60,1.11,R32,6-4 6-2,Daniel Gimeno-Traver,2.0,2.0,6020628.0,161167.0,,1.11,Daniel Gimeno-Traver,59.0,7.0,4.0,53.0,26.0,43.0,24.0,22.0,19.0,11.0,,,,,,1.0,96.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
16,H2H 4-3,Andreas Haider-Maurer,7.0,8.0,6020629.0,161288.0,,1.6,Andreas Haider-Maurer,89.0,9.0,4.0,89.0,32.0,104.0,57.0,36.0,47.0,21.0,,,,,,2.0,193.0,,,1.60,2.46,R32,6-7(3) 6-4 6-2,Antonio Veic,5.0,1.0,6020629.0,161287.0,,2.46,Antonio Veic,104.0,15.0,7.0,104.0,47.0,89.0,51.0,34.0,38.0,23.0,,,,,,1.0,193.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
17,H2H 2-2,Filippo Volandri,0.0,1.0,6020630.0,161265.0,,2.42,Filippo Volandri,45.0,2.0,1.0,53.0,16.0,54.0,33.0,17.0,21.0,12.0,,,,,,1.0,107.0,,,2.42,1.63,R32,6-4 6-2,Marcel Granollers,3.0,1.0,6020630.0,161266.0,,1.625,Marcel Granollers,62.0,5.0,4.0,54.0,25.0,53.0,28.0,25.0,25.0,12.0,,,,,,2.0,107.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
18,H2H 2-0,Daniel Brands,1.0,3.0,6020632.0,161304.0,,3.8,Daniel Brands,50.0,6.0,0.0,62.0,17.0,54.0,36.0,26.0,18.0,7.0,,,,,,2.0,116.0,,,3.80,1.30,R32,6-3 6-3,Santiago Giraldo,4.0,0.0,6020632.0,161303.0,,1.3,Santiago Giraldo,66.0,6.0,3.0,54.0,21.0,62.0,40.0,33.0,22.0,12.0,,,,,,1.0,116.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
19,H2H 2-0,Javier Marti,2.0,4.0,6020633.0,161178.0,,6.1,Javier Marti,41.0,4.0,2.0,49.0,16.0,55.0,32.0,14.0,23.0,11.0,,,,,,2.0,104.0,,,6.10,1.15,R32,6-3 6-2,Albert Montanes,1.0,4.0,6020633.0,161177.0,,1.15,Albert Montanes,63.0,7.0,5.0,55.0,30.0,49.0,34.0,27.0,15.0,6.0,,,,,,1.0,104.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
20,H2H 1-0,Thomas Muster,1.0,2.0,6020634.0,161179.0,,17.0,Thomas Muster,41.0,4.0,1.0,52.0,18.0,57.0,29.0,15.0,28.0,8.0,,,,,,1.0,109.0,,,17.00,1.03,R32,6-3 6-0,Philipp Kohlschreiber,8.0,4.0,6020634.0,161180.0,,1.03,Philipp Kohlschreiber,68.0,13.0,6.0,57.0,34.0,52.0,32.0,23.0,20.0,11.0,,,,,,2.0,109.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
21,H2H 3-2,Lukas Rosol,9.0,4.0,6020635.0,161170.0,,2.6,Lukas Rosol,90.0,12.0,3.0,96.0,38.0,90.0,54.0,36.0,36.0,16.0,,,,,,2.0,186.0,,,2.60,1.55,R32,3-6 6-3 6-3,Pablo Andujar,6.0,6.0,6020635.0,161169.0,,1.55,Pablo Andujar,96.0,12.0,5.0,90.0,38.0,96.0,59.0,39.0,37.0,19.0,,,,,,1.0,186.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
22,H2H 3-0,Igor Andreev,1.0,4.0,6020636.0,161171.0,,2.26,Igor Andreev,88.0,11.0,2.0,101.0,39.0,91.0,52.0,32.0,39.0,17.0,,,,,,1.0,192.0,,,2.26,1.70,R32,6-0 6-7(2) 6-4,Albert Ramos-Vinolas,6.0,8.0,6020636.0,161172.0,,1.7,Albert Ramos-Vinolas,104.0,13.0,6.0,91.0,42.0,101.0,59.0,44.0,42.0,18.0,,,,,,2.0,192.0,,,2011-08-01,https://matchstat.com/tennis/tournaments/m/Kitzbuhel/2011,Kitzbuhel
