,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-0,Julien Benneteau,4.0,0.0,6175803.0,201306.0,,1.45,Julien Benneteau,101.0,8.0,2.0,112.0,44.0,84.0,55.0,40.0,29.0,17.0,,,,,,2.0,196.0,,,1.45,3.10,F,2-6 7-5 6-4,Joao Sousa,4.0,1.0,6175803.0,201305.0,,3.1,Joao Sousa,95.0,6.0,2.0,84.0,27.0,112.0,66.0,42.0,46.0,26.0,,,,,,1.0,196.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
1,H2H 3-1,Jurgen Melzer,6.0,3.0,6175094.0,201192.0,,1.65,Jurgen Melzer,91.0,7.0,3.0,92.0,35.0,95.0,61.0,44.0,34.0,12.0,,,,,,2.0,187.0,,,1.65,2.44,SF,6-4 3-6 6-4,Joao Sousa,2.0,2.0,6175094.0,201191.0,,2.44,Joao Sousa,96.0,10.0,4.0,95.0,39.0,92.0,58.0,37.0,34.0,20.0,,,,,,1.0,187.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
2,H2H 5-2,Stan Wawrinka,0.0,1.0,6175100.0,401982.0,,1.37,Stan Wawrinka,53.0,4.0,2.0,59.0,23.0,59.0,37.0,20.0,22.0,10.0,,,,,,2.0,118.0,,,1.37,3.45,SF,6-4 6-3,Julien Benneteau,3.0,1.0,6175100.0,401981.0,,3.45,Julien Benneteau,65.0,6.0,5.0,59.0,29.0,59.0,41.0,28.0,18.0,8.0,,,,,,1.0,118.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
3,H2H 1-0,David Ferrer,1.0,2.0,6176123.0,784570.0,,1.1,David Ferrer,63.0,6.0,1.0,75.0,26.0,58.0,31.0,22.0,27.0,15.0,,,,,,1.0,133.0,,,1.10,9.00,QF,6-2 7-6(6),Joao Sousa,1.0,0.0,6176123.0,784571.0,,9.0,Joao Sousa,70.0,3.0,3.0,58.0,21.0,75.0,44.0,35.0,31.0,14.0,,,,,,2.0,133.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
4,H2H 1-0,Federico Delbonis,3.0,2.0,6177969.0,201140.0,,2.82,Federico Delbonis,47.0,3.0,0.0,57.0,16.0,61.0,43.0,24.0,18.0,7.0,,,,,,2.0,118.0,,,2.82,1.50,QF,6-3 6-2,Jurgen Melzer,3.0,4.0,6177969.0,201139.0,,1.5,Jurgen Melzer,71.0,7.0,3.0,61.0,30.0,57.0,36.0,29.0,21.0,12.0,,,,,,1.0,118.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
5,H2H 3-0,Adrian Mannarino,2.0,2.0,6175097.0,201144.0,,2.66,Adrian Mannarino,55.0,2.0,2.0,55.0,22.0,68.0,41.0,22.0,27.0,11.0,,,,,,2.0,123.0,,,2.66,1.55,QF,6-3 6-3,Julien Benneteau,2.0,4.0,6175097.0,201143.0,,1.55,Julien Benneteau,68.0,14.0,5.0,68.0,35.0,55.0,34.0,23.0,21.0,10.0,,,,,,1.0,123.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
6,H2H 2-1,Dmitry Tursunov,7.0,7.0,6175818.0,401979.0,,3.6,Dmitry Tursunov,98.0,7.0,2.0,103.0,36.0,94.0,56.0,40.0,38.0,22.0,,,,,,1.0,197.0,,,3.60,1.35,QF,2-6 6-3 7-6(3),Stan Wawrinka,12.0,3.0,6175818.0,401980.0,,1.35,Stan Wawrinka,99.0,3.0,1.0,94.0,32.0,103.0,63.0,45.0,40.0,22.0,,,,,,2.0,197.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
7,H2H 1-0,Matteo Viola,0.0,10.0,6178760.0,784561.0,,13.0,Matteo Viola,45.0,6.0,2.0,45.0,16.0,67.0,42.0,24.0,25.0,5.0,,,,,,2.0,112.0,,,13.00,1.05,R16,6-2 6-3,David Ferrer,0.0,2.0,6178760.0,784560.0,,1.05,David Ferrer,67.0,13.0,6.0,67.0,38.0,45.0,27.0,21.0,18.0,8.0,,,,,,1.0,112.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
8,H2H 2-1,Pablo Cuevas,6.0,4.0,6175806.0,201094.0,,2.35,Pablo Cuevas,85.0,4.0,2.0,85.0,28.0,103.0,68.0,43.0,35.0,14.0,,,,,,2.0,188.0,,,2.35,1.65,R16,4-6 7-5 6-0,Joao Sousa,6.0,3.0,6175806.0,201093.0,,1.65,Joao Sousa,103.0,14.0,5.0,103.0,46.0,85.0,58.0,44.0,27.0,13.0,,,,,,1.0,188.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
9,H2H 2-2,Mischa Zverev,1.0,4.0,6175807.0,201086.0,,2.18,Mischa Zverev,63.0,4.0,3.0,56.0,20.0,83.0,53.0,35.0,30.0,8.0,,,,,,2.0,139.0,,,2.18,1.75,R16,7-5 6-4,Jurgen Melzer,1.0,3.0,6175807.0,201085.0,,1.75,Jurgen Melzer,76.0,9.0,5.0,83.0,40.0,56.0,35.0,25.0,21.0,11.0,,,,,,1.0,139.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
10,H2H 2-0,Vasek Pospisil,9.0,3.0,6178914.0,201028.0,,1.4,Vasek Pospisil,81.0,6.0,0.0,96.0,30.0,69.0,43.0,36.0,26.0,15.0,,,,,,2.0,165.0,,,1.40,3.15,R16,7-6(2) 7-6(1),Federico Delbonis,5.0,4.0,6178914.0,201027.0,,3.15,Federico Delbonis,84.0,1.0,0.0,69.0,18.0,96.0,61.0,48.0,35.0,18.0,,,,,,1.0,165.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
11,H2H 2-3,Pablo Andujar,2.0,3.0,6175819.0,201100.0,,4.7,Pablo Andujar,75.0,9.0,2.0,76.0,29.0,85.0,47.0,29.0,38.0,17.0,,,,,,2.0,161.0,,,4.70,1.22,R16,7-6(8) 6-2,Julien Benneteau,6.0,4.0,6175819.0,201099.0,,1.222,Julien Benneteau,86.0,15.0,4.0,85.0,39.0,76.0,50.0,37.0,26.0,10.0,,,,,,1.0,161.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
12,H2H 1-1,Nicolas Almagro,6.0,5.0,6175799.0,201044.0,,1.47,Nicolas Almagro,57.0,2.0,1.0,57.0,20.0,68.0,39.0,28.0,29.0,9.0,,,,,,2.0,125.0,,,1.47,2.85,R16,6-4 6-3,Adrian Mannarino,5.0,1.0,6175799.0,201043.0,,2.85,Adrian Mannarino,68.0,7.0,4.0,68.0,31.0,57.0,33.0,25.0,24.0,12.0,,,,,,1.0,125.0,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
13,H2H 1-0,Pablo Carreno Busta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-2 6-4,Dmitry Tursunov,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-23,https://matchstat.com/tennis/tournaments/m/Kuala%20Lumpur/2013,Kuala Lumpur
