,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-2,Pat Du Pre,F,6-4 5-7 6-2,M. Riessen,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
1,H2H 1-0,Brad Drewett,SF,6-1 6-3,M. Riessen,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
2,H2H 3-1,Vincent Van Patten,SF,6-1 4-6 6-1,Pat Du Pre,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
3,H2H 1-2,Kevin Curren,QF,7-5 2-6 6-3,Brad Drewett,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
4,H2H 2-1,Victor Amaya,QF,6-4 7-6,M. Riessen,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
5,H2H 2-0,Rick Fisher,QF,3-6 6-1 6-1,Vincent Van Patten,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
6,H2H 1-0,Tom Gorman,QF,6-4 6-4,Pat Du Pre,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
7,H2H 1-0,John Hayes,R16,6-4 6-3,Brad Drewett,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
8,H2H 2-0,Ray Moore,R16,6-3 6-4,Kevin Curren,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
9,H2H 4-0,Matt Mitchell,R16,6-3 6-2,Victor Amaya,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
10,H2H 2-0,Jim Delaney,R16,6-3 7-5,M. Riessen,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
11,H2H 1-0,Byron Bertram,R16,6-4 6-4,Vincent Van Patten,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
12,H2H 1-0,Tom Leonard,R16,7-6 6-3,Rick Fisher,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
13,H2H 1-0,Steve Denton,R16,7-6 3-6 6-1,Tom Gorman,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
14,H2H 1-0,Randy Crawford,R16,6-0 4-6 7-5,Pat Du Pre,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
15,H2H 1-0,Chris Gunning,R32,4-6 7-6 6-4,John Hayes,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
16,H2H 2-0,Sashi Menon,R32,4-6 6-3 6-4,Brad Drewett,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
17,H2H 1-0,Mike Shore,R32,5-7 7-5 6-4,Ray Moore,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
18,H2H 1-0,Noel Phillips,R32,7-5 6-3,Kevin Curren,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
19,H2H 5-2,Sherwood Stewart,R32,6-2 6-4,Victor Amaya,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
20,H2H 1-0,Mike Greenberg,R32,6-4 6-2,Matt Mitchell,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
21,H2H 1-0,Cary Stansbury,R32,6-3 6-4,Jim Delaney,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
22,H2H 2-1,C. Pasarell,R32,7-5 6-2,M. Riessen,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
23,H2H 1-0,Schneider,R32,6-2 6-4,Vincent Van Patten,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
24,H2H 1-0,Jeff Turpin,R32,2-6 6-4 6-3,Byron Bertram,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
25,H2H 1-0,Eric Friedler,R32,6-4 6-4,Tom Leonard,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
26,H2H 1-0,Nial Brash,R32,6-1 6-4,Rick Fisher,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
27,H2H 1-0,Bruce Kleege,R32,7-6 6-3,Tom Gorman,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
28,H2H 1-0,William McGehee,R32,6-4 6-4,Steve Denton,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
29,H2H 1-0,Mike Machette,R32,5-7 6-2 7-6,Randy Crawford,1979-07-30,https://matchstat.com/tennis/tournaments/m/Lafayette/1979,Lafayette
