,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-1,Harold Solomon,F,6-4 6-2,Ivan Lendl,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
1,H2H 9-1,Brian Teacher,SF,6-1 6-1,Ivan Lendl,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
2,H2H 3-1,Roscoe Tanner,SF,6-4 6-2,Harold Solomon,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
3,H2H 2-1,S. Smith,QF,6-2 6-2,Ivan Lendl,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
4,H2H 3-0,Vitas Gerulaitis,QF,6-4 7-5,Brian Teacher,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
5,H2H 4-4,Brian Gottfried,QF,6-1 6-4,Roscoe Tanner,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
6,H2H 3-0,John Austin,QF,6-4 6-2,Harold Solomon,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
7,H2H 4-0,Terry Moor,R16,7-5 3-6 6-3,Ivan Lendl,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
8,H2H 1-1,J. Alexander,R16,6-4 6-7 7-6,S. Smith,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
9,H2H 5-2,Fritz Buehning,R16,7-6 7-5,Vitas Gerulaitis,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
10,H2H 1-2,Mel Purcell,R16,6-4 6-1,Brian Teacher,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
11,H2H 10-3,B. Lutz,R16,3-6 6-2 7-6,Brian Gottfried,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
12,H2H 4-3,Raul Ramirez,R16,7-6 7-5,Roscoe Tanner,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
13,H2H 1-0,Tom Gullikson,R16,6-4 6-3,John Austin,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
14,H2H 2-0,Rolf Gehring,R16,6-2 6-2,Harold Solomon,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
15,H2H 7-1,Sandy Mayer,R32,6-3 6-1,Ivan Lendl,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
16,H2H 5-5,Tim Gullikson,R32,6-3 2-6 6-1,Terry Moor,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
17,H2H 3-6,I. Nastase,R32,7-6 6-1,S. Smith,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
18,H2H 1-3,Johan Kriek,R32,6-3 6-1,J. Alexander,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
19,H2H 3-0,J. Newcombe,R32,6-3 6-2,Vitas Gerulaitis,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
20,H2H 2-0,Dick Stockton,R32,6-1 6-2,Fritz Buehning,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
21,H2H 1-0,John Sadri,R32,4-6 6-3 6-3,Mel Purcell,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
22,H2H 5-0,Bill Scanlon,R32,6-1 6-3,Brian Teacher,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
23,H2H 5-2,Hank Pfister,R32,6-1 6-4,Brian Gottfried,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
24,H2H 3-1,Peter Fleming,R32,3-6 7-5 6-1,B. Lutz,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
25,H2H 1-0,Trey Waltke,R32,6-2 6-2,Raul Ramirez,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
26,H2H 4-0,Vijay Amritraj,R32,6-4 6-3,Roscoe Tanner,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
27,H2H 1-1,Wojtek Fibak,R32,6-2 2-6 6-1,John Austin,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
28,H2H 1-1,Marty Davis,R32,7-6 6-3,Tom Gullikson,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
29,H2H 2-1,Rick Meyer,R32,7-6 6-7 6-2,Rolf Gehring,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
30,H2H 4-0,Vincent Van Patten,R32,6-3 6-2,Harold Solomon,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
31,,T Delatte / T Waltke,F,6-3 7-6,P Fleming / J McEnroe,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
32,,T Gullikson / B Mitton,SF,7-5 6-3,P Fleming / J McEnroe,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
33,,V Amaya / H Pfister,SF,3-6 6-4 7-6,T Delatte / T Waltke,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
34,,M Edmondson / D Stockton,QF,3-6 6-4 6-2,P Fleming / J McEnroe,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
35,,W Fibak / I Lendl,QF,6-2 6-4,T Gullikson / B Mitton,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
36,,M Riessen / S Stewart,QF,6-4 7-5,V Amaya / H Pfister,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
37,,V Gerulaitis / J Kriek,QF,7-6 6-3,T Delatte / T Waltke,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
38,,A Amritraj / J Fillol,R16,6-2 7-6,P Fleming / J McEnroe,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
39,,F Buehning / F Taygan,R16,6-1 7-6,M Edmondson / D Stockton,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
40,,B Manson / B Teacher,R16,6-4 6-4,T Gullikson / B Mitton,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
41,,R Meyer / J Newcombe,R16,7-6 7-6,W Fibak / I Lendl,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
42,,T Moor / E Teltscher,R16,6-1 7-6,M Riessen / S Stewart,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
43,,B Gottfried / R Ramirez,R16,6-2 6-3,V Amaya / H Pfister,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
44,,A Pattison / B Walts,R16,2-6 7-5 6-4,T Delatte / T Waltke,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
45,,B Lutz / S Smith,R16,0-6 6-4 6-4,V Gerulaitis / J Kriek,1981-04-20,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/1981,Las Vegas
