,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 7-0,Jurgen Melzer,10.0,2.0,5719981.0,116905.0,,3.7,Jurgen Melzer,65.0,3.0,2.0,71.0,24.0,67.0,43.0,27.0,24.0,14.0,,,,,,1.0,138.0,,,3.70,1.33,F,6-4 7-6(10),Lleyton Hewitt,7.0,3.0,5719981.0,116906.0,,1.333,Lleyton Hewitt,73.0,4.0,3.0,67.0,26.0,71.0,36.0,28.0,35.0,19.0,,,,,,2.0,138.0,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
1,H2H 1-2,Evgeny Korolev,7.0,1.0,5719979.0,116901.0,,1.84,Evgeny Korolev,98.0,7.0,4.0,100.0,36.0,108.0,66.0,41.0,42.0,21.0,,,,,,1.0,208.0,,,1.84,2.09,SF,6-7(4) 6-2 7-6(4),Jurgen Melzer,10.0,5.0,5719979.0,116902.0,,2.09,Jurgen Melzer,110.0,7.0,6.0,108.0,46.0,100.0,63.0,42.0,37.0,22.0,,,,,,2.0,208.0,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
2,H2H 6-7,Marat Safin,7.0,3.0,5719980.0,116903.0,,1.763,Marat Safin,55.0,2.0,1.0,70.0,26.0,52.0,30.0,19.0,22.0,10.0,,,,,,1.0,122.0,,,1.76,2.21,SF,7-5 6-1,Lleyton Hewitt,5.0,3.0,5719980.0,116904.0,,2.21,Lleyton Hewitt,67.0,6.0,4.0,52.0,23.0,70.0,37.0,26.0,33.0,18.0,,,,,,2.0,122.0,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
3,H2H 2-1,Sam Querrey,9.0,5.0,5719975.0,116894.0,,,Sam Querrey,58.0,11.0,1.0,75.0,28.0,51.0,23.0,19.0,28.0,11.0,,,,,,2.0,126.0,,,,,QF,6-4 6-4,Evgeny Korolev,3.0,3.0,5719975.0,116893.0,,,Evgeny Korolev,68.0,4.0,3.0,51.0,21.0,75.0,42.0,28.0,33.0,19.0,,,,,,1.0,126.0,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
4,H2H 2-0,Jan Hernych,4.0,1.0,5719976.0,116896.0,,2.43,Jan Hernych,96.0,12.0,5.0,100.0,45.0,92.0,62.0,37.0,30.0,14.0,,,,,,2.0,192.0,,,2.43,1.65,QF,6-3 3-6 6-3,Jurgen Melzer,8.0,6.0,5719976.0,116895.0,,1.654,Jurgen Melzer,96.0,17.0,6.0,92.0,41.0,100.0,60.0,37.0,40.0,18.0,,,,,,1.0,192.0,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
5,H2H 1-0,Fernando Verdasco,6.0,3.0,5719977.0,116897.0,,3.15,Fernando Verdasco,46.0,3.0,0.0,57.0,15.0,56.0,30.0,19.0,26.0,12.0,,,,,,1.0,113.0,,,3.15,1.43,QF,6-1 6-4,Marat Safin,7.0,3.0,5719977.0,116898.0,,1.426,Marat Safin,67.0,9.0,3.0,56.0,25.0,57.0,31.0,23.0,26.0,19.0,,,,,,2.0,113.0,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
6,H2H 4-2,Feliciano Lopez,4.0,2.0,5719978.0,116899.0,,3.3,Feliciano Lopez,32.0,4.0,0.0,49.0,10.0,40.0,29.0,18.0,11.0,4.0,,,,,,1.0,89.0,,,3.30,1.40,QF,6-3 6-2,Lleyton Hewitt,10.0,3.0,5719978.0,116900.0,,1.4,Lleyton Hewitt,57.0,3.0,3.0,40.0,18.0,49.0,27.0,24.0,22.0,15.0,,,,,,2.0,89.0,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
7,,J Erlich / A Ram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,7-6(6) 6-2,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
8,,R Delgado / G Kuerten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,6-4 6-1,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
9,,J Auckland / A Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,7-6(3) 6-2,J Erlich / A Ram,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
10,,C Haggard / B Phau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-1 6-4,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
11,,F Cermak / J Levinsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-2 6-2,R Delgado / G Kuerten,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-26,https://matchstat.com/tennis/tournaments/m/Las%20Vegas/2007,Las Vegas
