,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,Mark Edmondson,F,7-5 6-1,Gianni Ocleppo,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
1,H2H 2-1,Nick Saviano,SF,6-1 7-6,Mark Edmondson,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
2,H2H 1-1,Russell Simpson,SF,6-4 6-4,Gianni Ocleppo,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
3,H2H 2-0,Louk Sanders,QF,6-4 6-3,Nick Saviano,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
4,H2H 4-3,Chris Lewis,QF,7-5 6-3,Mark Edmondson,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
5,H2H 1-0,Bernard Boileau,QF,6-2 7-5,Russell Simpson,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
6,H2H 1-0,Robert Reininger,QF,6-2 6-3,Gianni Ocleppo,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
7,H2H 2-1,Carlos Kirmayr,R16,6-4 2-6 6-4,Louk Sanders,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
8,H2H 1-0,Claudio Panatta,R16,6-3 6-2,Nick Saviano,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
9,H2H 2-0,Chris Johnstone,R16,4-6 6-3 6-3,Chris Lewis,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
10,H2H 1-1,Z. Franulovic,R16,6-2 6-2,Mark Edmondson,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
11,H2H 1-0,Peter Feigl,R16,5-7 6-1 6-2,Bernard Boileau,1981-03-30,https://matchstat.com/tennis/tournaments/m/Linz/1981,Linz
