,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-1,Scott Davis,F,4-6 4-6 6-3 6-2 6-4,Tim Mayotte,1985-02-04,https://matchstat.com/tennis/tournaments/m/Lipton-Delray%20Beach/1985,Lipton-Delray Beach
1,H2H 2-0,Tomas Smid,SF,7-6 6-4 4-6 6-3,Scott Davis,1985-02-04,https://matchstat.com/tennis/tournaments/m/Lipton-Delray%20Beach/1985,Lipton-Delray Beach
2,H2H 1-0,Jan Gunnarsson,SF,7-6 6-2 4-6 6-1,Tim Mayotte,1985-02-04,https://matchstat.com/tennis/tournaments/m/Lipton-Delray%20Beach/1985,Lipton-Delray Beach
3,H2H 1-5,Stefan Edberg,QF,6-1 6-4 7-5,Scott Davis,1985-02-04,https://matchstat.com/tennis/tournaments/m/Lipton-Delray%20Beach/1985,Lipton-Delray Beach
4,H2H 3-8,Yannick Noah,QF,6-3 6-3 7-5,Tomas Smid,1985-02-04,https://matchstat.com/tennis/tournaments/m/Lipton-Delray%20Beach/1985,Lipton-Delray Beach
5,H2H 2-1,Vitas Gerulaitis,QF,2-6 6-3 6-4 6-2,Jan Gunnarsson,1985-02-04,https://matchstat.com/tennis/tournaments/m/Lipton-Delray%20Beach/1985,Lipton-Delray Beach
6,H2H 1-1,Mike Leach,QF,6-2 6-3 6-2,Tim Mayotte,1985-02-04,https://matchstat.com/tennis/tournaments/m/Lipton-Delray%20Beach/1985,Lipton-Delray Beach
7,H2H 13-14,Ivan Lendl,R16,6-4 7-6,Stefan Edberg,1985-02-04,https://matchstat.com/tennis/tournaments/m/Lipton-Delray%20Beach/1985,Lipton-Delray Beach
8,H2H 2-1,Marc Flur,R16,6-4 6-2,Scott Davis,1985-02-04,https://matchstat.com/tennis/tournaments/m/Lipton-Delray%20Beach/1985,Lipton-Delray Beach
9,H2H 4-4,Anders Jarryd,R16,6-1 6-4,Tomas Smid,1985-02-04,https://matchstat.com/tennis/tournaments/m/Lipton-Delray%20Beach/1985,Lipton-Delray Beach
