,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-0,Jimmy Connors,F,6-4 4-6 6-4 6-4,Mats Wilander,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
1,H2H 7-5,Yannick Noah,SF,6-4 6-4 6-3,Mats Wilander,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
2,H2H 1-2,Miloslav Mecir,SF,6-3 3-6 7-5 6-3,Jimmy Connors,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
3,H2H 6-2,Aaron Krickstein,QF,6-1 6-2 6-0,Mats Wilander,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
4,H2H 1-0,Andrei Chesnokov,QF,6-1 6-4 6-4,Yannick Noah,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
5,H2H 1-0,Jay Berger,QF,6-1 2-6 6-3 7-6,Miloslav Mecir,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
6,H2H 4-0,Anders Jarryd,QF,7-5 6-3 6-1,Jimmy Connors,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
7,H2H 4-0,Mark Woodforde,R16,7-6 6-2 6-1,Mats Wilander,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
8,H2H 2-1,Ramesh Krishnan,R16,6-2 2-6 6-3 3-6 7-5,Aaron Krickstein,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
9,H2H 1-1,Tim Mayotte,R16,6-0 6-7 6-2 4-6 6-3,Andrei Chesnokov,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
10,H2H 2-0,Joey Rive,R16,6-2 6-3 6-2,Yannick Noah,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
11,H2H 1-0,Emilio Sanchez,R16,6-4 7-5 6-4,Jay Berger,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
12,H2H 3-0,Mikael Pernfors,R16,7-5 6-0 6-1,Miloslav Mecir,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
13,H2H 4-3,Guy Forget,R16,6-2 1-6 6-4 7-6,Anders Jarryd,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
14,H2H 4-1,Amos Mansdorf,R16,6-3 6-4 6-3,Jimmy Connors,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
15,H2H 1-0,Alexander Volkov,R32,6-3 6-7 6-4 6-2,Mats Wilander,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
16,H2H 3-5,Thomas Muster,R32,6-2 7-6 3-6 7-5,Mark Woodforde,1988-03-14,https://matchstat.com/tennis/tournaments/m/Lipton-Key%20Biscayne/1988,Lipton-Key Biscayne
