,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 7-5,Yannick Noah,F,2-6 7-6 6-4,Mats Wilander,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
1,H2H 4-1,Jose Higueras,SF,6-4 6-2,Yannick Noah,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
2,H2H 5-0,Libor Pimek,SF,6-2 6-4,Mats Wilander,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
3,H2H 1-0,Shlomo Glickstein,QF,7-5 6-0,Jose Higueras,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
4,H2H 2-1,Corrado Barazzutti,QF,6-2 6-4,Yannick Noah,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
5,H2H 1-1,Anders Jarryd,QF,6-2 6-2,Libor Pimek,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
6,H2H 4-0,Victor Pecci,QF,6-4 6-2,Mats Wilander,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
7,H2H 2-0,Diego Perez,R16,2-6 6-1 6-3,Jose Higueras,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
8,H2H 1-0,Damir Keretic,R16,6-0 6-3,Shlomo Glickstein,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
9,H2H 1-0,J. Velasco,R16,7-5 7-5,Yannick Noah,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
10,H2H 1-0,Henrik Sundstrom,R16,6-7 6-1 6-1,Corrado Barazzutti,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
11,H2H 5-1,Pavel Slozil,R16,6-2 6-3,Libor Pimek,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
12,H2H 1-3,Andres Gomez,R16,6-1 4-6 6-2,Anders Jarryd,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
13,H2H 2-0,Jimmy Arias,R16,7-6 6-2,Victor Pecci,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
14,H2H 5-0,Cassio Motta,R16,7-6 3-6 6-0,Mats Wilander,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
15,H2H 1-0,Pedro Cordeiro,R32,6-1 6-0,Jose Higueras,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
16,H2H 3-1,Fernando Luna,R32,6-3 4-6 6-0,Diego Perez,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
17,H2H 1-0,Magnus Tideman,R32,6-4 6-4,Damir Keretic,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
18,H2H 1-0,Balazs Taroczy,R32,2-6 6-4 6-3,Shlomo Glickstein,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
19,H2H 2-1,Juan Aguilera,R32,6-3 7-5,Yannick Noah,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
20,H2H 1-1,Stefan Simonsson,R32,7-5 1-6 6-3,J. Velasco,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
21,H2H 1-1,Marcos Hocevar,R32,6-4 4-6 6-3,Corrado Barazzutti,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
22,H2H 3-0,Hans Simonsson,R32,6-3 6-1,Henrik Sundstrom,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
23,H2H 1-0,Orantes,R32,2-6 6-3 6-2,Libor Pimek,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
24,H2H 1-0,Wolfgang Popp,R32,6-2 6-2,Pavel Slozil,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
25,H2H 5-0,Pat Cash,R32,6-3 6-3,Anders Jarryd,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
26,H2H 2-0,Carlos Kirmayr,R32,6-1 6-7 7-6,Andres Gomez,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
27,H2H 1-1,Mario Martinez,R32,3-6 7-5 6-3,Jimmy Arias,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
28,H2H 2-0,Guy Forget,R32,7-5 6-1,Victor Pecci,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
29,H2H 2-1,Heinz Gunthardt,R32,6-3 2-6 7-5,Cassio Motta,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
30,H2H 2-0,Harold Solomon,R32,7-6 6-2,Mats Wilander,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
31,,P Slozil / F Taygan,F,7-5 6-4,C Kirmayr / C Motta,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
32,,J Nystrom / M Tideman,SF,6-4 6-1,P Slozil / F Taygan,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
33,,H Gunthardt / B Taroczy,SF,6-2 4-6 6-3,C Kirmayr / C Motta,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
34,,J Higueras / M Wilander,QF,6-3 6-1,P Slozil / F Taygan,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
35,,A Jarryd / H Simonsson,QF,6-4 7-6,J Nystrom / M Tideman,1983-04-04,https://matchstat.com/tennis/tournaments/m/Lisbon/1983,Lisbon
