,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-4,Hank Pfister,F,6-4 3-5 Retired,Dick Stockton,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
1,H2H 3-1,Victor Amaya,SF,6-1 7-6,Dick Stockton,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
2,H2H 2-0,Byron Bertram,SF,6-4 6-4,Hank Pfister,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
3,H2H 2-2,Nick Saviano,QF,3-6 6-3 6-1,Dick Stockton,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
4,H2H 1-0,Jiri Hrebec,QF,7-6 6-3,Victor Amaya,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
5,H2H 1-0,C. Pasarell,QF,7-6 6-4,Byron Bertram,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
6,H2H 5-4,Tim Gullikson,QF,7-6 2-6 6-2,Hank Pfister,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
7,H2H 1-0,Jiri Granat,R16,6-4 5-7 7-6,Dick Stockton,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
8,H2H 1-0,John Yuill,R16,6-2 Retired,Nick Saviano,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
9,H2H 4-2,Colin Dibley,R16,7-6 6-3,Victor Amaya,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
10,H2H 1-0,Terry Moor,R16,2-6 6-4 6-4,Jiri Hrebec,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
11,H2H 1-2,M. Riessen,R16,7-6 4-6 6-3,C. Pasarell,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
12,H2H 1-1,Bernie Mitton,R16,6-2 6-4,Byron Bertram,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
13,H2H 1-0,Mike Cahill,R16,3-6 6-3 6-1,Hank Pfister,1978-01-30,https://matchstat.com/tennis/tournaments/m/Little%20Rock/1978,Little Rock
