,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 7-0,Jeff Tarango,F,6-2 6-4,Andre Agassi,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
1,H2H 1-0,Yahiya Doumbia,SF,6-4 6-4,Andre Agassi,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
2,H2H 1-1,Simon Youl,SF,7-6 0-6 7-6,Jeff Tarango,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
3,H2H 2-0,Matt Anger,QF,6-4 6-1,Andre Agassi,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
4,H2H 1-0,Marc Flur,QF,6-4 6-2,Yahiya Doumbia,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
5,H2H 1-1,Sammy Giammalva,QF,6-4 6-4,Simon Youl,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
6,H2H 1-0,Slobodan Zivojinovic,QF,4-6 7-6 6-1,Jeff Tarango,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
7,H2H 1-0,Libor Pimek,R16,6-4 6-3,Andre Agassi,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
8,H2H 1-0,Scott Melville,R16,6-4 4-6 6-1,Matt Anger,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
9,H2H 1-1,Derrick Rostagno,R16,7-6 6-1,Marc Flur,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
10,H2H 1-0,Bill Scanlon,R16,6-1 6-2,Yahiya Doumbia,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
11,H2H 1-0,Tobias Svantesson,R16,2-6 6-4 6-2,Sammy Giammalva,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
12,H2H 1-0,Hugo Nunez,R16,1-6 6-3 6-1,Simon Youl,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
13,H2H 1-0,John Ross,R16,6-3 6-4,Jeff Tarango,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
14,H2H 1-1,Leif Shiras,R16,6-4 6-4,Slobodan Zivojinovic,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
15,H2H 1-0,Eduardo Velez,R32,6-4 6-4,Andre Agassi,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
16,H2H 1-0,Charles Honey,R32,6-2 3-6 6-4,Libor Pimek,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
17,H2H 1-0,Diego Nargiso,R32,6-7 6-2 6-3,Scott Melville,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
18,H2H 1-0,Martin Blackman,R32,6-3 4-6 6-4,Matt Anger,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
19,H2H 1-0,Tommy Ho,R32,6-4 6-4,Derrick Rostagno,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
20,H2H 1-0,Shuzo Matsuoka,R32,2-6 6-0 6-3,Marc Flur,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
21,H2H 1-1,Jimmy Brown,R32,6-2 4-6 6-3,Bill Scanlon,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
22,H2H 1-0,Peter Lindgren,R32,6-0 6-2,Yahiya Doumbia,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
23,H2H 1-0,Thomas Hogstedt,R32,4-6 6-4 7-6,Sammy Giammalva,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
24,H2H 1-0,Grant Connell,R32,6-3 4-6 7-6,Tobias Svantesson,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
25,H2H 1-0,David Lewis,R32,6-2 6-2,Hugo Nunez,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
26,H2H 1-2,Paul Annacone,R32,6-3 6-3,Simon Youl,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
27,H2H 1-0,Barry Moir,R32,7-6 6-3,John Ross,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
28,H2H 1-0,Philip Johnson,R32,6-1 4-6 6-4,Jeff Tarango,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
29,H2H 1-0,Rikard Bergh,R32,6-3 6-4,Leif Shiras,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
30,H2H 1-1,Glenn Michibata,R32,7-6 6-3,Slobodan Zivojinovic,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
31,,M Flur / S Giammalva,F,2-6 6-4 7-5,G Connell / G Michibata,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
32,,D Lewis / S Youl,SF,4-6 6-3 6-4,G Connell / G Michibata,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
33,,L Pimek / T Svantesson,SF,6-2 6-3,M Flur / S Giammalva,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
34,,J De Foor / B Man-son-hing,QF,7-5 6-1,G Connell / G Michibata,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
35,,P Annacone / J Ross,QF,6-7 6-3 6-4,D Lewis / S Youl,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
36,,M Anger / L Shiras,QF,6-3 6-4,L Pimek / T Svantesson,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
37,,C Honey / C Kennedy,QF,6-7 6-4 6-4,M Flur / S Giammalva,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
38,,F Perez-Pascal / E Velez,R16,6-1 6-3,G Connell / G Michibata,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
39,,S Matsuoka / D Rostagno,R16,1-6 6-3 7-6,J De Foor / B Man-son-hing,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
40,,J Barham / R Bergh,R16,6-3 6-2,P Annacone / J Ross,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
41,,H Endelman / J Gurfein,R16,7-6 7-6,D Lewis / S Youl,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
42,,J Brown / Y Doumbia,R16,4-6 6-4 6-3,L Pimek / T Svantesson,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
43,,N Aerts / J Tarango,R16,7-6 6-1,M Anger / L Shiras,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
44,,P Fleming / D Nargiso,R16,5-7 7-5 6-1,C Honey / C Kennedy,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
45,,M Knowles / A Parker,R16,6-4 6-2,M Flur / S Giammalva,1988-08-15,https://matchstat.com/tennis/tournaments/m/Livingston/1988,Livingston
