,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-1,Martin Damm,F,7-5 6-3,Andrei Medvedev,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
1,H2H 2-2,Karol Kucera,SF,7-6 6-3,Andrei Medvedev,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
2,H2H 2-0,Adrian Voinea,SF,5-7 7-5 7-5,Martin Damm,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
3,H2H 2-1,Michael Chang,QF,6-4 6-4,Karol Kucera,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
4,H2H 2-1,Jonathan Stark,QF,7-6 4-6 6-3,Andrei Medvedev,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
5,H2H 1-0,Michael Joyce,QF,5-7 6-2 6-3,Martin Damm,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
6,H2H 1-2,Thomas Johansson,QF,7-6 6-2,Adrian Voinea,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
7,H2H 5-3,Sergio Bruguera,R16,6-3 6-2,Michael Chang,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
8,H2H 3-0,Hicham Arazi,R16,7-6 7-5,Karol Kucera,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
9,H2H 1-1,Vince Spadea,R16,6-2 6-7 7-6,Jonathan Stark,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
10,H2H 2-1,Jan Kroslak,R16,6-3 6-2,Andrei Medvedev,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
11,H2H 1-0,Younes El Aynaoui,R16,5-7 6-3 3-0 Retired,Martin Damm,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
12,H2H 1-1,Richey Reneberg,R16,3-6 6-4 6-3,Michael Joyce,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
13,H2H 1-1,Nir Welgreen,R16,5-7 6-0 6-2,Adrian Voinea,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
14,H2H 1-0,Fernon Wibier,R16,6-3 6-3,Thomas Johansson,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
15,H2H 5-1,David Prinosil,R32,6-1 6-3,Michael Chang,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
16,H2H 4-0,Andrey Cherkasov,R32,3-6 6-3 7-6,Sergio Bruguera,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
17,H2H 2-2,Guillermo Canas,R32,2-6 6-3 6-4,Karol Kucera,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
18,H2H 3-3,Magnus Larsson,R32,6-3 2-6 6-4,Hicham Arazi,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
19,H2H 2-1,Jan Siemerink,R32,6-4 6-4,Jonathan Stark,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
20,H2H 1-0,Andrei Chesnokov,R32,7-6 6-4,Vince Spadea,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
21,H2H 1-0,Nicolas Pereira,R32,7-6 3-6 6-3,Jan Kroslak,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
22,H2H 4-2,Alexander Volkov,R32,4-6 6-2 6-2,Andrei Medvedev,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
23,H2H 5-1,Nicolas Lapentti,R32,6-4 6-3,Younes El Aynaoui,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
24,H2H 1-0,Max Mirnyi,R32,6-2 7-6,Martin Damm,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
25,H2H 1-0,Javier Frana,R32,6-3 6-7 7-6,Michael Joyce,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
26,H2H 1-0,Shuzo Matsuoka,R32,6-4 6-2,Richey Reneberg,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
27,H2H 2-1,Hendrik Dreekmann,R32,6-3 6-4,Adrian Voinea,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
28,H2H 1-0,Albert Chang,R32,5-7 6-3 7-5,Nir Welgreen,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
29,H2H 1-0,Stefano Pescosolido,R32,6-3 6-4,Thomas Johansson,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
30,H2H 1-2,Stephane Simian,R32,6-3 7-6,Fernon Wibier,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
31,,H Dreekmann / A Volkov,F,6-3 7-6,L Jensen / M Jensen,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
32,,J Palmer / J Stark,SF,6-3 6-4,L Jensen / M Jensen,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
33,,C Clark / K Ullyett,SF,7-6 6-3,H Dreekmann / A Volkov,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
34,,N Lapentti / S Pescosolido,QF,6-4 6-4,J Palmer / J Stark,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
35,,K Thorne / J Waite,QF,7-6 6-4,L Jensen / M Jensen,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
36,,C Mamiit / E Taino,QF,6-4 6-4,H Dreekmann / A Volkov,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
37,,M Damm / N Pereira,QF,6-3 6-4,C Clark / K Ullyett,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
38,,M Joyce / G Rusedski,R16,7-5 3-6 6-2,J Palmer / J Stark,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
39,,T Johansson / M Larsson,R16,6-3 6-2,N Lapentti / S Pescosolido,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
40,,V Spadea / J Tarango,R16,6-2 7-5,L Jensen / M Jensen,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
41,,J Kroslak / K Kucera,R16,6-4 6-7 7-5,K Thorne / J Waite,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
42,,O Kristiansson / M Renstrom,R16,7-6 6-2,C Mamiit / E Taino,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
43,,S Noteboom / F Wibier,R16,7-5 1-6 6-2,H Dreekmann / A Volkov,1996-08-19,https://matchstat.com/tennis/tournaments/m/Long%20Island/1996,Long Island
