,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Slobodan Zivojinovic,F,4-6 7-6 9-7,Tim Wilkison,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
1,H2H 2-1,Pascal Portes,SF,6-1 6-1,Tim Wilkison,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
2,H2H 1-0,Chip Hooper,SF,7-6 3-6 6-4,Slobodan Zivojinovic,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
3,H2H 2-0,John Frawley,QF,6-4 4-6 8-6,Tim Wilkison,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
4,H2H 2-1,Henri Leconte,QF,6-4 1-6 6-2,Pascal Portes,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
5,H2H 1-0,Rolf Gehring,QF,7-5 6-3,Chip Hooper,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
6,H2H 1-0,Bernhard Pils,QF,6-2 7-6,Slobodan Zivojinovic,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
7,H2H 3-2,Mike De Palmer,R16,6-2 6-3,Tim Wilkison,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
8,H2H 1-0,Mansour Bahrami,R16,6-4 6-2,John Frawley,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
9,H2H 1-0,Bruce Derlin,R16,6-3 6-2,Henri Leconte,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
10,H2H 1-0,Stephen Shaw,R16,6-3 6-2,Pascal Portes,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
11,H2H 2-0,Jerome Vanier,R16,6-3 6-3,Rolf Gehring,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
12,H2H 1-0,Rodney Harmon,R16,6-3 6-4,Chip Hooper,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
13,H2H 1-0,Thomas Hogstedt,R16,6-3 6-2,Bernhard Pils,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
14,H2H 1-0,Hans-Peter Kandler,R16,7-6 6-1,Slobodan Zivojinovic,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
15,H2H 1-1,Jaroslav Navratil,R32,6-3 6-4,Tim Wilkison,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
16,H2H 1-0,Eric Winogradsky,R32,3-6 7-6 6-4,Mike De Palmer,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
17,H2H 1-0,Danie Visser,R32,6-7 6-2 6-3,Mansour Bahrami,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
18,H2H 1-0,Jerome Potier,R32,7-5 6-4,John Frawley,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
19,H2H 3-1,Shlomo Glickstein,R32,6-3 6-1,Henri Leconte,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
20,H2H 1-0,Guillermo Rivas,R32,6-1 6-1,Bruce Derlin,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
21,H2H 1-0,Carl Limberger,R32,6-3 6-4,Pascal Portes,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
22,H2H 1-1,Wally Masur,R32,3-6 6-2 6-4,Stephen Shaw,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
23,H2H 1-0,Chris Lewis,R32,5-7 6-3 6-3,Jerome Vanier,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
24,H2H 1-0,Marcel Freeman,R32,3-6 6-0 6-2,Rolf Gehring,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
25,H2H 1-0,Lloyd Bourne,R32,6-0 6-2,Rodney Harmon,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
26,H2H 2-1,Shahar Perkiss,R32,6-3 7-6,Chip Hooper,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
27,H2H 1-0,Brad Drewett,R32,6-0 6-2,Thomas Hogstedt,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
28,H2H 1-0,Loic Courteau,R32,6-0 6-1,Bernhard Pils,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
29,H2H 1-0,Joao Soares,R32,6-3 3-6 6-3,Slobodan Zivojinovic,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
30,H2H 1-0,Sammy Giammalva,R32,6-1 6-2,Hans-Peter Kandler,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
31,,J Navratil / J B. Svensson,F,6-4 7-6,M Freeman / R Harmon,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
32,,C Honey / C Steyn,SF,6-1 3-6 6-3,M Freeman / R Harmon,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
33,,C Hooper / D Visser,SF,3-6 6-4 6-1,J Navratil / J B. Svensson,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
34,,C Lewis / W Masur,QF,6-4 6-2,C Honey / C Steyn,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
35,,F Errard / E Winogradsky,QF,6-1 3-6 6-3,M Freeman / R Harmon,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
36,,H Leconte / P Portes,QF,6-7 6-3 8-6,C Hooper / D Visser,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
37,,M De Palmer / S Giammalva,QF,6-2 6-3,J Navratil / J B. Svensson,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
38,,R Barlow / C Limberger,R16,6-1 6-1,C Lewis / W Masur,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
39,,J Cihak / S Zivojinovic,R16,4-6 6-3 6-4,C Honey / C Steyn,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
40,,L Bourne / T Wilkison,R16,7-5 3-6 6-4,M Freeman / R Harmon,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
41,,T Pham / J Vanier,R16,6-3 6-1,F Errard / E Winogradsky,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
42,,B Frances / C Lesage,R16,7-5 6-3,C Hooper / D Visser,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
43,,S Glickstein / S Perkiss,R16,6-4 6-4,H Leconte / P Portes,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
44,,J Frawley / R Gehring,R16,6-3 6-3,J Navratil / J B. Svensson,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
45,,B Derlin / S Shaw,R16,6-4 5-7 7-5,M De Palmer / S Giammalva,1985-03-18,https://matchstat.com/tennis/tournaments/m/Lorraine%20Open/1985,Lorraine Open
