,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-3,Lleyton Hewitt,F,6-3 4-6 7-5,Wayne Ferreira,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
1,H2H 3-0,Nicolas Kiefer,SF,6-2 6-4,Lleyton Hewitt,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
2,H2H 6-2,Mark Philippoussis,SF,6-4 7-5,Wayne Ferreira,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
3,H2H 3-0,Kenneth Carlsen,QF,6-7(3) 6-4 6-3,Lleyton Hewitt,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
4,H2H 2-3,Vince Spadea,QF,1-6 7-5 6-3,Nicolas Kiefer,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
5,H2H 2-2,Gustavo Kuerten,QF,6-3 3-6 7-6(5),Mark Philippoussis,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
6,H2H 3-1,Sebastien Grosjean,QF,7-6(4) 6-7(4) 6-2,Wayne Ferreira,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
7,H2H 1-0,Michael Joyce,R16,6-3 6-0,Lleyton Hewitt,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
8,H2H 2-0,Prakash Amritraj,R16,6-4 6-2,Kenneth Carlsen,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
9,H2H 4-1,Sjeng Schalken,R16,6-4 6-4,Nicolas Kiefer,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
10,H2H 2-1,Jan Vacek,R16,7-5 2-6 6-2,Vince Spadea,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
11,H2H 5-4,Michael Chang,R16,6-2 6-4,Mark Philippoussis,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
12,H2H 2-0,Eric Taino,R16,6-3 7-6(5),Gustavo Kuerten,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
13,H2H 1-0,Alex Bogomolov Jr.,R16,7-6(1) 6-3,Wayne Ferreira,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
14,H2H 4-2,Robby Ginepri,R16,6-2 6-3,Sebastien Grosjean,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
15,H2H 3-0,Cecil Mamiit,R32,6-0 7-5,Lleyton Hewitt,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
16,H2H 2-1,Jan-Michael Gambill,R32,7-6(5) 2-6 7-6(4),Michael Joyce,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
17,H2H 1-0,Bobby Reynolds,R32,6-2 4-6 7-6(3),Kenneth Carlsen,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
18,H2H 1-0,Marat Safin,R32,5-3 Retired,Prakash Amritraj,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
19,H2H 1-0,Denis Golovanov,R32,6-4 6-4,Sjeng Schalken,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
20,H2H 1-1,Nicolas Thomann,R32,6-1 6-4,Nicolas Kiefer,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
21,H2H 1-0,Kevin Kim,R32,2-6 6-1 6-4,Jan Vacek,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
22,H2H 5-2,Justin Gimelstob,R32,6-4 6-3,Vince Spadea,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
23,H2H 1-0,Adam Kennedy,R32,6-3 6-2,Mark Philippoussis,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
24,H2H 2-0,Zack Fleishman,R32,6-1 6-1,Michael Chang,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
25,H2H 3-0,Hyung-Taik Lee,R32,3-6 7-6(5) 6-2,Eric Taino,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
26,H2H 1-0,Frederic Niemeyer,R32,3-6 7-6(2) 6-4,Gustavo Kuerten,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
27,H2H 1-0,Robert Yim,R32,6-4 6-4,Wayne Ferreira,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
28,H2H 1-0,Ricardo Mello,R32,6-3 6-2,Alex Bogomolov Jr.,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
29,H2H 1-0,Andrew Ilie,R32,6-1 6-1,Robby Ginepri,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
30,H2H 9-0,Xavier Malisse,R32,4-6 7-5 6-3,Sebastien Grosjean,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
31,,J Eagle / S Schalken,F,6-4 3-6 7-5,J Gambill / T Parrott,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
32,,S Humphries / M Merklein,SF,6-2 6-7(3) 7-6(2),J Gambill / T Parrott,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
33,,K Carlsen / X Malisse,SF,7-6(1) 3-6 7-5,J Eagle / S Schalken,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
34,,R Leach / B MacPhie,QF,6-3 6-4,J Gambill / T Parrott,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
35,,L Hewitt / M Philippoussis,QF,6-3 5-7 6-4,S Humphries / M Merklein,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
36,,G Kuerten / E Taino,QF,6-3 6-2,J Eagle / S Schalken,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
37,,S Grosjean / N Kiefer,QF,6-4 6-7(1) 6-3,K Carlsen / X Malisse,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
38,,P Amritraj / S Amritraj,R16,7-6(5) 6-4,R Leach / B MacPhie,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
39,,S Huss / M Wakefield,R16,6-4 6-2,J Gambill / T Parrott,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
40,,H Lee / C Mamiit,R16,2-6 7-5 6-3,S Humphries / M Merklein,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
41,,W Ferreira / J Gimelstob,R16,4-6 6-2 7-5,L Hewitt / M Philippoussis,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
42,,J de Jager / J Tarango,R16,6-2 Retired,G Kuerten / E Taino,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
43,,D Golovanov / M Safin,R16,7-6(3) 6-2,J Eagle / S Schalken,2003-07-28,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2003,Los Angeles
