,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-1,Andy Roddick,4.0,2.0,5823884.0,127607.0,,1.488,Andy Roddick,52.0,0.0,0.0,58.0,14.0,64.0,40.0,28.0,24.0,10.0,,,,,,1.0,122.0,,,1.49,2.85,F,6-1 7-6(2),Juan Martin Del Potro,1.0,1.0,5823884.0,127608.0,,2.85,Juan Martin Del Potro,70.0,4.0,3.0,64.0,26.0,58.0,43.0,36.0,15.0,8.0,,,,,,2.0,122.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
1,H2H 1-0,Denis Gremelmayr,4.0,2.0,5823882.0,127604.0,,5.6,Denis Gremelmayr,37.0,4.0,0.0,46.0,11.0,47.0,32.0,19.0,15.0,7.0,,,,,,2.0,93.0,,,5.60,1.20,SF,6-2 6-2,Andy Roddick,6.0,0.0,5823882.0,127603.0,,1.196,Andy Roddick,56.0,11.0,4.0,47.0,21.0,46.0,32.0,24.0,14.0,11.0,,,,,,1.0,93.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
2,H2H 2-3,Mardy Fish,4.0,1.0,5823883.0,127606.0,,2.41,Mardy Fish,46.0,2.0,0.0,48.0,15.0,64.0,30.0,19.0,34.0,12.0,,,,,,2.0,112.0,,,2.41,1.66,SF,6-2 6-1,Juan Martin Del Potro,1.0,2.0,5823883.0,127605.0,,1.662,Juan Martin Del Potro,66.0,13.0,5.0,64.0,33.0,48.0,32.0,24.0,16.0,9.0,,,,,,1.0,112.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
3,H2H 4-0,Marc Gicquel,6.0,3.0,5823878.0,127596.0,,5.5,Marc Gicquel,41.0,1.0,0.0,47.0,13.0,53.0,28.0,17.0,25.0,11.0,,,,,,2.0,100.0,,,5.50,1.20,QF,6-3 6-1,Andy Roddick,6.0,0.0,5823878.0,127595.0,,1.2,Andy Roddick,59.0,9.0,4.0,53.0,25.0,47.0,33.0,26.0,14.0,8.0,,,,,,1.0,100.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
4,H2H 1-0,Marat Safin,5.0,5.0,5823879.0,127598.0,,1.3,Marat Safin,72.0,4.0,2.0,74.0,25.0,82.0,42.0,31.0,40.0,16.0,,,,,,2.0,156.0,,,1.30,3.30,QF,3-6 6-3 6-2,Denis Gremelmayr,3.0,2.0,5823879.0,127597.0,,3.3,Denis Gremelmayr,84.0,8.0,4.0,82.0,35.0,74.0,46.0,32.0,28.0,17.0,,,,,,1.0,156.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
5,H2H 2-1,Amer Delic,3.0,1.0,5823880.0,127599.0,,3.6,Amer Delic,55.0,5.0,1.0,60.0,15.0,70.0,40.0,26.0,30.0,14.0,,,,,,1.0,130.0,,,3.60,1.36,QF,7-6(6) 6-2,Juan Martin Del Potro,7.0,2.0,5823880.0,127600.0,,1.357,Juan Martin Del Potro,75.0,6.0,3.0,70.0,30.0,60.0,44.0,34.0,16.0,11.0,,,,,,2.0,130.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
6,H2H 2-0,Florent Serra,3.0,1.0,5823881.0,127602.0,,2.8,Florent Serra,58.0,2.0,1.0,64.0,21.0,61.0,49.0,29.0,12.0,8.0,,,,,,2.0,125.0,,,2.80,1.40,QF,6-4 6-4,Mardy Fish,8.0,3.0,5823881.0,127601.0,,1.4,Mardy Fish,67.0,5.0,3.0,61.0,24.0,64.0,35.0,26.0,29.0,17.0,,,,,,1.0,125.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
7,H2H 1-0,Dusan Vemic,4.0,2.0,5823870.0,127588.0,,8.75,Dusan Vemic,45.0,4.0,0.0,47.0,13.0,61.0,43.0,25.0,18.0,7.0,,,,,,2.0,108.0,,,8.75,1.11,R16,6-2 6-2,Andy Roddick,8.0,4.0,5823870.0,127587.0,,1.111,Andy Roddick,63.0,8.0,4.0,61.0,29.0,47.0,31.0,27.0,16.0,7.0,,,,,,1.0,108.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
8,H2H 1-1,Donald Young,4.0,2.0,5823871.0,127590.0,,2.5,Donald Young,52.0,2.0,0.0,60.0,19.0,53.0,32.0,23.0,21.0,10.0,,,,,,2.0,113.0,,,2.50,1.63,R16,6-3 6-3,Marc Gicquel,5.0,2.0,5823871.0,127589.0,,1.625,Marc Gicquel,61.0,7.0,3.0,53.0,20.0,60.0,35.0,26.0,25.0,15.0,,,,,,1.0,113.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
9,H2H 1-1,Feliciano Lopez,11.0,4.0,5823872.0,125395.0,,1.351,Feliciano Lopez,76.0,8.0,1.0,81.0,29.0,79.0,43.0,28.0,36.0,19.0,,,,,,1.0,160.0,,,1.35,3.65,R16,7-5 7-5,Denis Gremelmayr,5.0,1.0,5823872.0,125396.0,,3.65,Denis Gremelmayr,84.0,8.0,3.0,79.0,32.0,81.0,41.0,29.0,40.0,23.0,,,,,,2.0,160.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
10,H2H 1-0,Wayne Odesnik,0.0,4.0,5823873.0,127581.0,,4.3,Wayne Odesnik,47.0,5.0,2.0,61.0,25.0,48.0,23.0,12.0,25.0,10.0,,,,,,1.0,109.0,,,4.30,1.28,R16,6-3 6-2,Marat Safin,11.0,3.0,5823873.0,127582.0,,1.278,Marat Safin,62.0,6.0,5.0,48.0,26.0,61.0,32.0,25.0,29.0,11.0,,,,,,2.0,109.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
11,H2H 1-1,Carlos Moya,6.0,5.0,5823874.0,127591.0,,1.351,Carlos Moya,104.0,8.0,2.0,116.0,39.0,97.0,59.0,45.0,38.0,20.0,,,,,,1.0,213.0,,,1.35,3.65,R16,6-2 6-7(5) 7-6(5),Amer Delic,14.0,3.0,5823874.0,127592.0,,3.65,Amer Delic,109.0,4.0,4.0,97.0,32.0,116.0,76.0,57.0,40.0,20.0,,,,,,2.0,213.0,,,2008-08-04,https://matchstat.com/tennis/tournaments/m/Los%20Angeles/2008,Los Angeles
