,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 8-5,J. Alexander,F,6-2 6-2,Harold Solomon,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
1,H2H 6-2,Wojtek Fibak,SF,6-2 6-4,Harold Solomon,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
2,H2H 2-8,Eddie Dibbs,SF,4-6 7-6 6-0,J. Alexander,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
3,H2H 7-4,Brian Gottfried,QF,7-6 6-1,Wojtek Fibak,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
4,H2H 3-5,Orantes,QF,2-6 6-4 6-4,Harold Solomon,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
5,H2H 1-1,Patricio Cornejo Seckel,QF,6-1 6-1,J. Alexander,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
6,H2H 7-0,Nick Saviano,QF,6-2 7-5,Eddie Dibbs,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
7,H2H 7-1,Terry Moor,R16,6-3 6-4,Brian Gottfried,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
8,H2H 5-0,Victor Amaya,R16,2-6 7-5 6-3,Wojtek Fibak,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
9,H2H 8-5,J. Fillol,R16,6-2 6-2,Orantes,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
10,H2H 6-0,P. Dent,R16,6-3 6-2,Harold Solomon,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
11,H2H 4-1,Rod Frawley,R16,6-7 6-2 6-4,J. Alexander,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
12,H2H 1-0,John Austin,R16,6-3 6-7 6-2,Patricio Cornejo Seckel,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
13,H2H 2-2,Dick Stockton,R16,6-7 7-6 6-4,Nick Saviano,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
14,H2H 5-4,Jose Higueras,R16,6-3 6-4,Eddie Dibbs,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
15,H2H 3-0,Mike Cahill,R32,6-4 6-3,Brian Gottfried,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
16,H2H 4-2,S. Smith,R32,6-4 7-6,Terry Moor,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
17,H2H 1-1,Victor Pecci,R32,1-6 6-3 6-4,Victor Amaya,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
18,H2H 2-0,Ismail El Shafei,R32,6-3 2-6 6-0,Wojtek Fibak,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
19,H2H 9-1,Ivan Molina,R32,6-1 6-2,Orantes,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
20,H2H 1-0,Keith Richardson,R32,4-6 6-3 6-1,J. Fillol,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
21,H2H 1-1,Peter McNamara,R32,6-2 6-1,P. Dent,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
22,H2H 3-0,Bernard Fritz,R32,7-6 6-7 6-1,Harold Solomon,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
23,H2H 1-1,Pat Du Pre,R32,6-1 6-1,J. Alexander,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
24,H2H 1-0,Hans Gildemeister,R32,5-7 6-1 6-4,Rod Frawley,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
25,H2H 1-0,Colin Dowdeswell,R32,5-7 6-4 6-1,John Austin,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
26,H2H 2-1,Roscoe Tanner,R32,6-4 6-3,Patricio Cornejo Seckel,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
27,H2H 1-0,Rick Fagel,R32,7-6 6-0,Dick Stockton,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
28,H2H 1-0,Deon Joubert,R32,6-2 6-2,Nick Saviano,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
29,H2H 4-0,Billy Martin,R32,6-1 6-3,Jose Higueras,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
30,H2H 4-1,Bruce Manson,R32,6-2 6-0,Eddie Dibbs,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
31,H2H 8-0,Trey Waltke,R64,2-6 6-3 6-1,Brian Gottfried,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
32,H2H 1-0,Tony Graham,R64,7-5 6-3,Mike Cahill,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
33,H2H 1-0,Mike Machette,R64,6-3 4-6 6-2,Terry Moor,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
34,H2H 2-0,Sashi Menon,R64,6-2 6-3,S. Smith,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
35,H2H 2-0,Christophe Freyss,R64,4-6 6-4 6-0,Victor Amaya,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
36,H2H 2-2,Bill Scanlon,R64,6-0 6-3,Victor Pecci,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
37,H2H 1-0,Tim Wilkison,R64,4-6 6-1 6-4,Ismail El Shafei,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
38,H2H 3-1,B. Fairlie,R64,6-1 2-6 6-1,Wojtek Fibak,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
39,H2H 2-0,John Yuill,R64,6-3 6-3,Orantes,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
40,H2H 2-0,Steve Krulevitz,R64,7-6 6-2,Ivan Molina,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
41,H2H 1-0,Bob Hewitt,R64,6-2 6-1,Keith Richardson,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
42,H2H 1-0,Joe Meyers,R64,6-2 6-4,J. Fillol,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
43,H2H 2-0,George Hardie,R64,6-1 7-6,P. Dent,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
44,H2H 1-0,Robin Drysdale,R64,6-1 6-3,Peter McNamara,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
45,H2H 1-0,Crealy,R64,6-2 7-5,Bernard Fritz,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
46,H2H 1-0,Ricardo Cano,R64,3-6 6-0 6-3,Harold Solomon,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
47,H2H 1-0,Ramiro Gonzalo Benavides Saravia,R64,6-4 4-6 6-1,J. Alexander,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
48,H2H 1-0,Greg Halder,R64,6-3 6-0,Pat Du Pre,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
49,H2H 1-0,Butch Seewagen,R64,1-6 6-4 7-6,Rod Frawley,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
50,H2H 1-1,Heinz Gunthardt,R64,3-6 6-4 6-3,Hans Gildemeister,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
51,H2H 1-0,Francisco Gonzalez,R64,6-2 6-1,Colin Dowdeswell,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
52,H2H 1-0,Mel Purcell,R64,7-6 4-6 7-5,John Austin,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
53,H2H 1-0,Cliff Letcher,R64,5-7 6-0 6-2,Patricio Cornejo Seckel,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
54,H2H 1-0,Peter Pearson,R64,7-6 6-2,Roscoe Tanner,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
55,H2H 1-0,Alvaro Betancur,R64,6-1 6-4,Dick Stockton,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
56,H2H 2-0,Paul Kronk,R64,6-4 6-2,Rick Fagel,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
57,H2H 1-0,John James,R64,6-2 6-0,Deon Joubert,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
58,H2H 1-0,Bob Giltinan,R64,4-6 6-4 6-4,Nick Saviano,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
59,H2H 1-0,Eric Friedler,R64,6-1 6-2,Jose Higueras,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
60,H2H 1-0,John Marks,R64,7-6 6-4,Billy Martin,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
61,H2H 1-0,Terry Rocavert,R64,7-6 6-3,Bruce Manson,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
62,H2H 6-0,Paul McNamee,R64,6-2 6-2,Eddie Dibbs,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
63,,V Amaya / J James,F,6-4 6-7 6-4,W Fibak / V Pecci,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
64,,B Hewitt / D Stockton,SF,6-0 4-6 6-3,V Amaya / J James,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
65,,M Cahill / T Moor,SF,6-2 3-6 6-3,W Fibak / V Pecci,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
66,,C Dowdeswell / H Gildemeister,QF,6-3 7-5,B Hewitt / D Stockton,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
67,,R Cano / J Fillol,QF,6-1 6-2,V Amaya / J James,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
68,,J Higueras / O Orantes,QF,7-6 7-6,M Cahill / T Moor,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
69,,I El Shafei / B Fairlie,QF,6-4 6-4,W Fibak / V Pecci,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
70,,R Frawley / J Marks,R16,6-2 6-2,B Hewitt / D Stockton,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
71,,J Austin / T Wilkison,R16,6-2 1-6 6-4,C Dowdeswell / H Gildemeister,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
72,,T Graham / P Pearson,R16,6-3 6-4,R Cano / J Fillol,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
73,,D Ralston / R Tanner,R16,6-3 3-6 6-3,V Amaya / J James,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
74,,S Krulevitz / B Manson,R16,6-1 3-6 7-6,M Cahill / T Moor,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
75,,M Machette / S Menon,R16,6-4 4-6 6-1,J Higueras / O Orantes,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
76,,A Betancur / K Richardson,R16,6-3 6-1,I El Shafei / B Fairlie,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
77,,R Drysdale / H Gunthardt,R16,6-3 7-5,W Fibak / V Pecci,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
78,,R Benavides Saravia / F Gonzalez,R32,6-3 7-6,B Hewitt / D Stockton,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
79,,C Crealy / B Giltinan,R32,6-4 6-4,R Frawley / J Marks,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
80,,J Bartlett / T Garcia,R32,6-3 4-6 7-6,J Austin / T Wilkison,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
81,,R Fagel / B Seewagen,R32,6-2 6-3,C Dowdeswell / H Gildemeister,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
82,,G Hardie / D Joubert,R32,6-4 6-4,R Cano / J Fillol,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
83,,B Mcnamee / K Walsh,R32,6-2 6-4,T Graham / P Pearson,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
84,,P McNamara / P McNamee,R32,4-6 6-4 6-2,D Ralston / R Tanner,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
85,,M Meyers / T Waltke,R32,7-6 6-2,V Amaya / J James,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
86,,E Friedler / T Rocavert,R32,6-3 4-6 6-1,M Cahill / T Moor,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
87,,P Cornejo Seckel / I Molina,R32,6-4 3-6 6-1,S Krulevitz / B Manson,1978-07-24,https://matchstat.com/tennis/tournaments/m/Louisville/1978,Louisville
