,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-7,Jim Courier,F,6-4 7-6,Marc Rosset,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
1,H2H 5-3,Andrei Medvedev,SF,6-2 6-2,Marc Rosset,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
2,H2H 4-6,Andrei Chesnokov,SF,6-3 6-4,Jim Courier,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
3,H2H 3-4,Patrick Rafter,QF,6-2 6-1,Andrei Medvedev,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
4,H2H 6-4,Wayne Ferreira,QF,7-6 7-6,Marc Rosset,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
5,H2H 3-0,Lionel Roux,QF,6-4 2-6 7-6,Jim Courier,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
6,H2H 1-1,Yevgeny Kafelnikov,QF,5-7 7-6 6-1,Andrei Chesnokov,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
7,H2H 1-1,Hendrik Dreekmann,R16,6-3 6-2,Andrei Medvedev,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
8,H2H 2-1,Jakob Hlasek,R16,6-3 6-4,Patrick Rafter,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
9,H2H 1-0,Lars Rehmann,R16,7-6 7-6,Wayne Ferreira,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
10,H2H 3-3,Daniel Vacek,R16,3-6 6-2 7-5,Marc Rosset,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
11,H2H 3-1,Olivier Delaitre,R16,6-1 6-4,Lionel Roux,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
12,H2H 3-3,Arnaud Boetsch,R16,6-3 7-6,Jim Courier,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
13,H2H 2-2,MaliVai Washington,R16,6-4 7-6,Andrei Chesnokov,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
14,H2H 11-2,Cedric Pioline,R16,6-4 6-4,Yevgeny Kafelnikov,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
15,H2H 1-0,Diego Nargiso,R32,6-3 4-6 6-4,Andrei Medvedev,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
16,H2H 2-2,Javier Sanchez,R32,6-2 6-3,Hendrik Dreekmann,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
17,H2H 2-2,Henri Leconte,R32,6-3 6-1,Jakob Hlasek,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
18,H2H 6-5,Jonas Bjorkman,R32,6-3 6-3,Patrick Rafter,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
19,H2H 4-0,Markus Zoecke,R32,6-7 7-6 6-3,Wayne Ferreira,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
20,H2H 1-1,Tomas Carbonell,R32,6-3 6-3,Lars Rehmann,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
21,H2H 3-3,Martin Damm,R32,7-6 5-7 7-6,Daniel Vacek,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
22,H2H 7-7,Fabrice Santoro,R32,7-6 6-1,Marc Rosset,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
23,H2H 2-2,Jason Stoltenberg,R32,5-7 6-3 6-1,Olivier Delaitre,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
24,H2H 1-0,Herve Grenier,R32,6-1 6-2,Lionel Roux,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
25,H2H 1-0,Juan-Luis Rascon-Lope,R32,6-1 3-6 6-2,Arnaud Boetsch,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
26,H2H 7-1,Guy Forget,R32,7-6 6-2,Jim Courier,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
27,H2H 3-0,Jeremy Bates,R32,6-7 6-2 6-4,MaliVai Washington,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
28,H2H 1-0,Rodolphe Gilbert,R32,7-6 6-3,Andrei Chesnokov,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
29,H2H 2-1,Stephane Simian,R32,6-1 7-6,Cedric Pioline,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
30,H2H 5-1,Richard Fromberg,R32,6-4 6-4,Yevgeny Kafelnikov,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
31,,M Damm / P Rafter,F,6-7 7-6 7-6,J Hlasek / Y Kafelnikov,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
32,,T Nijssen / C Suk,SF,6-3 6-3,M Damm / P Rafter,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
33,,O Delaitre / D Nargiso,SF,6-7 7-6 6-3,J Hlasek / Y Kafelnikov,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
34,,A Boetsch / M Rosset,QF,6-3 2-6 7-6,T Nijssen / C Suk,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
35,,G Muller / D Visser,QF,6-4 7-6,M Damm / P Rafter,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
36,,L Bale / J de Jager,QF,7-5 6-3,O Delaitre / D Nargiso,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
37,,R Gilbert / S Simian,QF,7-5 6-3,J Hlasek / Y Kafelnikov,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
38,,B Shelton / F Wibier,R16,7-6 6-7 6-1,T Nijssen / C Suk,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
39,,B Pearce / D Randall,R16,6-2 6-7 6-3,A Boetsch / M Rosset,1994-10-17,https://matchstat.com/tennis/tournaments/m/Lyon/1994,Lyon
