,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-5,Gael Monfils,,,5641543.0,246864.0,,4.01,Gael Monfils,,,,,,,,,,,,,,,,2.0,,,,4.01,1.30,F,6-3 6-2,Andy Roddick,,,5641543.0,246863.0,,1.302,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2005-10-24,https://matchstat.com/tennis/tournaments/m/Lyon/2005,Lyon
1,H2H 4-1,Fabrice Santoro,,,5641541.0,246862.0,,4.8,Fabrice Santoro,,,,,,,,,,,,,,,,2.0,,,,4.80,1.24,SF,6-4 7-6(5),Andy Roddick,,,5641541.0,246861.0,,1.238,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2005-10-24,https://matchstat.com/tennis/tournaments/m/Lyon/2005,Lyon
2,H2H 2-1,Sebastien Grosjean,,,5641542.0,246860.0,,1.637,Sebastien Grosjean,,,,,,,,,,,,,,,,2.0,,,,1.64,2.47,SF,6-4 7-5,Gael Monfils,,,5641542.0,246859.0,,2.47,Gael Monfils,,,,,,,,,,,,,,,,1.0,,,,2005-10-24,https://matchstat.com/tennis/tournaments/m/Lyon/2005,Lyon
3,H2H 5-0,Mario Ancic,,,5641537.0,246858.0,,3.04,Mario Ancic,,,,,,,,,,,,,,,,2.0,,,,3.04,1.45,QF,6-4 6-4,Andy Roddick,,,5641537.0,246857.0,,1.446,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2005-10-24,https://matchstat.com/tennis/tournaments/m/Lyon/2005,Lyon
4,H2H 4-1,Vince Spadea,,,5641538.0,246855.0,,2.14,Vince Spadea,,,,,,,,,,,,,,,,1.0,,,,2.14,1.81,QF,6-2 6-2,Fabrice Santoro,,,5641538.0,246856.0,,1.806,Fabrice Santoro,,,,,,,,,,,,,,,,2.0,,,,2005-10-24,https://matchstat.com/tennis/tournaments/m/Lyon/2005,Lyon
5,H2H 5-3,Marc Gicquel,,,5641539.0,246851.0,,3.5,Marc Gicquel,,,,,,,,,,,,,,,,1.0,,,,3.50,1.37,QF,6-4 6-1,Gael Monfils,,,5641539.0,246852.0,,1.37,Gael Monfils,,,,,,,,,,,,,,,,2.0,,,,2005-10-24,https://matchstat.com/tennis/tournaments/m/Lyon/2005,Lyon
6,H2H 3-1,Olivier Rochus,,,5641540.0,246854.0,,2.64,Olivier Rochus,,,,,,,,,,,,,,,,2.0,,,,2.64,1.58,QF,6-3 7-6(4),Sebastien Grosjean,,,5641540.0,246853.0,,1.575,Sebastien Grosjean,,,,,,,,,,,,,,,,1.0,,,,2005-10-24,https://matchstat.com/tennis/tournaments/m/Lyon/2005,Lyon
7,H2H 5-1,Nicolas Mahut,,,5641529.0,246846.0,,11.82,Nicolas Mahut,,,,,,,,,,,,,,,,2.0,,,,11.82,1.08,R16,7-6(5) 6-3,Andy Roddick,,,5641529.0,246845.0,,1.075,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2005-10-24,https://matchstat.com/tennis/tournaments/m/Lyon/2005,Lyon
8,H2H 1-1,Thomas Enqvist,,,5641530.0,246837.0,,3.59,Thomas Enqvist,,,,,,,,,,,,,,,,1.0,,,,3.59,1.36,R16,6-7(4) 7-6(5) 6-4,Mario Ancic,,,5641530.0,246838.0,,1.358,Mario Ancic,,,,,,,,,,,,,,,,2.0,,,,2005-10-24,https://matchstat.com/tennis/tournaments/m/Lyon/2005,Lyon
9,H2H 4-1,Michael Llodra,,,5641531.0,246850.0,,2.19,Michael Llodra,,,,,,,,,,,,,,,,2.0,,,,2.19,1.78,R16,6-4 6-3,Vince Spadea,,,5641531.0,246849.0,,1.775,Vince Spadea,,,,,,,,,,,,,,,,1.0,,,,2005-10-24,https://matchstat.com/tennis/tournaments/m/Lyon/2005,Lyon
