,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,F. Pala,F,6-0 6-0 6-1,I. Nastase,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
1,H2H 8-4,J. Kodes,SF,3-6 6-7 7-6 7-6 6-3,I. Nastase,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
2,H2H 1-0,Patrick Proisy,SF,6-2 4-6 7-5 7-6,F. Pala,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
3,H2H 3-0,Szabolcs Baranyi,QF,6-2 6-2,I. Nastase,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
4,H2H 2-0,A. Gimeno,QF,6-4 6-2,J. Kodes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
5,H2H 2-4,Orantes,QF,7-6 4-6 6-4,Patrick Proisy,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
6,H2H 1-2,Adriano Panatta,QF,6-3 6-7 6-1,F. Pala,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
7,H2H 5-0,Onny Parun,R16,6-4 6-2,I. Nastase,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
8,H2H 2-1,G. Battrick,R16,7-5 6-2,Szabolcs Baranyi,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
9,H2H 1-3,Bjorn Borg,R16,6-3 6-2,J. Kodes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
10,H2H 1-0,H. Elschenbroich,R16,6-3 7-5,A. Gimeno,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
11,H2H 1-1,Jimmy Connors,R16,1-6 6-1 6-1,Patrick Proisy,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
12,H2H 2-0,Andrew Pattison,R16,7-6 6-2,Orantes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
13,H2H 1-0,Patrice Dominguez,R16,6-2 6-4,F. Pala,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
14,H2H 1-1,S. Smith,R16,7-6 7-6,Adriano Panatta,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
15,H2H 1-0,Torben Ulrich,R32,6-4 6-2,I. Nastase,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
16,H2H 2-2,Tom Gorman,R32,6-2 6-7 7-5,Onny Parun,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
17,H2H 1-0,Jim Ward,R32,4-6 6-1 6-1,G. Battrick,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
18,H2H 1-0,Lew Hoad,R32,6-2 7-5,J. Kodes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
19,H2H 6-0,Antonio Zugarelli,R32,7-6 6-3,Bjorn Borg,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
20,H2H 1-0,J. Velasco,R32,6-3 6-1,A. Gimeno,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
21,H2H 1-0,B. Phillips-Moore,R32,6-4 6-1,H. Elschenbroich,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
22,H2H 2-0,William Higgins,R32,6-1 7-5,Patrick Proisy,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
23,H2H 5-0,Crealy,R32,5-7 7-5 6-3,Jimmy Connors,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
24,H2H 2-0,Bernard Mignot,R32,6-4 7-6,Andrew Pattison,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
25,H2H 4-0,Antonio Munoz,R32,6-4 7-5,Orantes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
26,H2H 1-0,Jean-Baptiste Chanfreau,R32,7-6 6-2,F. Pala,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
27,H2H 1-0,M. Mulligan,R32,6-3 6-4,Patrice Dominguez,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
28,H2H 2-0,Ray Moore,R32,6-2 2-0 Retired,Adriano Panatta,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
29,H2H 2-0,Bengtson,R64,7-5 6-3,J. Kodes,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
30,H2H 1-0,Ivan Molina,R64,6-4 6-4,Lew Hoad,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
31,H2H 1-0,J. Lundqvist,R64,6-3 6-2,Bjorn Borg,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
32,H2H 1-1,Peter Szoke,R64,6-2 6-4,Antonio Zugarelli,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
33,H2H 1-0,Wanaro N'Godrella,R64,6-4 6-1,A. Gimeno,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
34,H2H 1-0,Boro Jovanovic,R64,6-4 6-2,H. Elschenbroich,1972-04-10,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/1972,Madrid Masters
