,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 7-17,Rafael Nadal,1.0,1.0,7538391.0,2238028.0,,1.338,Rafael Nadal,43.0,3.0,0.0,52.0,14.0,46.0,34.0,23.0,12.0,6.0,8.0,,,,,1.0,99.0,,,1.34,3.67,F,6-3 6-2,Andy Murray,3.0,1.0,7538391.0,2238029.0,,3.67,Andy Murray,56.0,6.0,3.0,47.0,18.0,51.0,31.0,21.0,20.0,17.0,9.0,,,,,2.0,99.0,,,2015-05-04,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/2015,Madrid Masters
1,H2H 19-4,Tomas Berdych,8.0,5.0,7538389.0,2238024.0,,3.74,Tomas Berdych,54.0,0.0,0.0,55.0,10.0,68.0,33.0,23.0,35.0,21.0,9.0,,,,,1.0,128.0,,,3.74,1.33,SF,7-6(3) 6-1,Rafael Nadal,2.0,0.0,7538389.0,2238025.0,,1.329,Rafael Nadal,74.0,9.0,2.0,73.0,29.0,55.0,37.0,32.0,18.0,13.0,10.0,,,,,2.0,128.0,,,2015-05-04,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/2015,Madrid Masters
2,H2H 6-1,Kei Nishikori,1.0,1.0,7538390.0,2238026.0,,1.637,Kei Nishikori,56.0,3.0,1.0,58.0,18.0,70.0,46.0,27.0,24.0,11.0,10.0,,,,,1.0,129.0,,,1.64,2.45,SF,6-3 6-4,Andy Murray,4.0,2.0,7538390.0,2238027.0,,2.45,Andy Murray,73.0,8.0,4.0,71.0,33.0,56.0,34.0,27.0,22.0,13.0,9.0,,,,,2.0,129.0,,,2015-05-04,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/2015,Madrid Masters
3,H2H 6-2,John Isner,29.0,0.0,7538385.0,2238016.0,,3.86,John Isner,95.0,1.0,1.0,91.0,19.0,104.0,80.0,63.0,24.0,13.0,17.0,,,,,1.0,195.0,,,3.86,1.31,QF,3-6 7-6(7) 7-6(1),Tomas Berdych,11.0,1.0,7538385.0,2238017.0,,1.314,Tomas Berdych,100.0,4.0,0.0,104.0,28.0,90.0,50.0,43.0,40.0,29.0,16.0,,,,,2.0,195.0,,,2015-05-04,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/2015,Madrid Masters
4,H2H 7-0,Grigor Dimitrov,4.0,4.0,7538386.0,2238019.0,,4.55,Grigor Dimitrov,62.0,5.0,2.0,55.0,21.0,79.0,53.0,29.0,26.0,12.0,10.0,,,,,2.0,138.0,,,4.55,1.25,QF,6-3 6-4,Rafael Nadal,4.0,1.0,7538386.0,2238018.0,,1.25,Rafael Nadal,76.0,15.0,5.0,83.0,42.0,54.0,38.0,24.0,16.0,10.0,9.0,,,,,1.0,138.0,,,2015-05-04,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/2015,Madrid Masters
5,H2H 8-4,David Ferrer,1.0,4.0,7538387.0,2238020.0,,2.56,David Ferrer,43.0,5.0,2.0,51.0,19.0,45.0,32.0,16.0,13.0,8.0,9.0,,,,,1.0,100.0,,,2.56,1.60,QF,6-4 6-2,Kei Nishikori,3.0,1.0,7538387.0,2238021.0,,1.6,Kei Nishikori,57.0,6.0,5.0,49.0,25.0,50.0,30.0,23.0,20.0,9.0,9.0,,,,,2.0,100.0,,,2015-05-04,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/2015,Madrid Masters
6,H2H 6-3,Milos Raonic,8.0,4.0,7538388.0,2238022.0,,2.74,Milos Raonic,62.0,5.0,0.0,68.0,19.0,62.0,39.0,32.0,23.0,11.0,11.0,,,,,1.0,134.0,,,2.74,1.53,QF,6-4 7-5,Andy Murray,2.0,0.0,7538388.0,2238023.0,,1.526,Andy Murray,72.0,6.0,2.0,66.0,23.0,68.0,51.0,40.0,17.0,9.0,11.0,,,,,2.0,134.0,,,2015-05-04,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/2015,Madrid Masters
7,H2H 2-0,Nick Kyrgios,10.0,2.0,7538377.0,2238000.0,,1.855,Nick Kyrgios,81.0,0.0,0.0,84.0,14.0,96.0,64.0,51.0,32.0,16.0,15.0,,,,,1.0,182.0,,,1.86,2.08,R16,6-3 6-7(7) 6-4,John Isner,20.0,2.0,7538377.0,2238001.0,,2.08,John Isner,101.0,4.0,2.0,98.0,31.0,82.0,62.0,54.0,20.0,16.0,16.0,,,,,2.0,182.0,,,2015-05-04,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/2015,Madrid Masters
8,H2H 8-3,Jo-Wilfried Tsonga,3.0,2.0,7538378.0,2238002.0,,2.92,Jo-Wilfried Tsonga,49.0,4.0,1.0,60.0,18.0,52.0,35.0,22.0,17.0,9.0,10.0,,,,,1.0,114.0,,,2.92,1.48,R16,7-5 6-2,Tomas Berdych,3.0,1.0,7538378.0,2238003.0,,1.476,Tomas Berdych,65.0,5.0,4.0,54.0,23.0,59.0,28.0,23.0,31.0,19.0,10.0,,,,,2.0,114.0,,,2015-05-04,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/2015,Madrid Masters
9,H2H 5-0,Simone Bolelli,0.0,2.0,7538379.0,2238005.0,,12.46,Simone Bolelli,36.0,2.0,0.0,48.0,13.0,42.0,23.0,12.0,19.0,11.0,8.0,,,,,2.0,92.0,,,12.46,1.06,R16,6-2 6-2,Rafael Nadal,2.0,2.0,7538379.0,2238004.0,,1.063,Rafael Nadal,56.0,5.0,4.0,44.0,21.0,46.0,34.0,26.0,12.0,9.0,8.0,,,,,1.0,92.0,,,2015-05-04,https://matchstat.com/tennis/tournaments/m/Madrid%20Masters/2015,Madrid Masters
