,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-3,MaliVai Washington,F,6-3 6-4,Jacco Eltingh,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
1,H2H 2-2,Wally Masur,SF,6-2 7-6,Jacco Eltingh,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
2,H2H 3-0,Luis-Enrique Herrera,SF,6-7 6-1 6-1,MaliVai Washington,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
3,H2H 4-1,Jeff Tarango,QF,6-3 6-4,Wally Masur,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
4,H2H 1-0,Arne Thoms,QF,6-2 3-0 Retired,Jacco Eltingh,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
5,H2H 2-0,Simon Youl,QF,6-4 7-5,MaliVai Washington,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
6,H2H 1-2,Brad Gilbert,QF,3-6 6-3 7-6,Luis-Enrique Herrera,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
7,H2H 2-1,Gianluca Pozzi,R16,6-3 7-5,Wally Masur,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
8,H2H 1-0,Diego Nargiso,R16,7-6 0-6 6-4,Jeff Tarango,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
9,H2H 3-0,David Wheaton,R16,6-4 6-4,Jacco Eltingh,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
10,H2H 1-1,Paul Annacone,R16,1-6 7-5 6-3,Arne Thoms,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
11,H2H 3-0,Jeremy Bates,R16,4-6 6-4 6-3,MaliVai Washington,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
12,H2H 1-1,Todd Witsken,R16,6-1 7-6,Simon Youl,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
13,H2H 1-2,Markus Naewie,R16,6-0 7-5,Luis-Enrique Herrera,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
14,H2H 3-1,Gary Muller,R16,6-3 6-2,Brad Gilbert,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
15,H2H 1-3,Alexander Volkov,R32,6-3 4-6 7-5,Wally Masur,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
16,H2H 1-1,Michiel Schapers,R32,5-7 7-6 6-3,Gianluca Pozzi,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
17,H2H 1-0,Andrew Castle,R32,3-6 6-3 6-2,Diego Nargiso,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
18,H2H 2-3,Andrei Chesnokov,R32,7-6 2-6 7-6,Jeff Tarango,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
19,H2H 1-0,Christo Van Rensburg,R32,4-6 7-6 7-6,David Wheaton,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
20,H2H 1-0,Kevin Curren,R32,6-3 6-4,Jacco Eltingh,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
21,H2H 2-0,Chris Wilkinson,R32,6-4 6-2,Arne Thoms,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
22,H2H 1-0,Andrey Cherkasov,R32,7-6 6-7 7-6,Paul Annacone,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
23,H2H 2-0,Patrik Kuhnen,R32,7-6 6-4,MaliVai Washington,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
24,H2H 2-1,Rodolphe Gilbert,R32,7-5 7-5,Jeremy Bates,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
25,H2H 2-1,Leonardo Lavalle,R32,6-7 7-5 7-5,Simon Youl,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
26,H2H 2-0,Amos Mansdorf,R32,7-5 7-5,Todd Witsken,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
27,H2H 2-1,Omar Camporese,R32,6-2 6-2,Luis-Enrique Herrera,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
28,H2H 1-1,Markus Zoecke,R32,6-4 3-6 4-1 Retired,Markus Naewie,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
29,H2H 1-0,Cedric Pioline,R32,7-6 6-7 6-3,Gary Muller,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
30,H2H 2-0,Bryan Shelton,R32,7-6 6-7 6-3,Brad Gilbert,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
31,,J Bates / L Warder,F,4-6 6-3 6-2,P Galbraith / D Macpherson,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
32,,M Briggs / T Kronemann,SF,6-4 6-4,P Galbraith / D Macpherson,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
33,,B Shelton / T Witsken,SF,6-3 6-4,J Bates / L Warder,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
34,,A Castle / G Pozzi,QF,6-3 6-4,P Galbraith / D Macpherson,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
35,,J Eltingh / M Schapers,QF,7-5 5-7 6-4,M Briggs / T Kronemann,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
36,,A Foster / M Petchey,QF,6-3 6-4,J Bates / L Warder,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
37,,A Chesnokov / L Herrera,QF,6-4 6-3,B Shelton / T Witsken,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
38,,P Annacone / G Muller,R16,7-6 7-6,P Galbraith / D Macpherson,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
39,,N Broad / B Talbot,R16,6-7 7-5 7-6,A Castle / G Pozzi,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
40,,D Adams / B Dyke,R16,6-3 6-2,M Briggs / T Kronemann,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
41,,R Bergh / S Kruger,R16,6-3 6-4,J Eltingh / M Schapers,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
42,,S Salumaa / T Svantesson,R16,7-6 6-7 7-6,A Foster / M Petchey,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
43,,P Aldrich / D Visser,R16,7-6 7-6,J Bates / L Warder,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
44,,J Brown / H Davids,R16,2-6 7-5 6-4,B Shelton / T Witsken,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
45,,J Frana / L Lavalle,R16,6-7 6-3 7-6,A Chesnokov / L Herrera,1992-06-15,https://matchstat.com/tennis/tournaments/m/Manchester/1992,Manchester
