,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 0-1,Orantes,F,WO,Karl Meiler,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
1,H2H 5-1,Crealy,SF,6-2 3-6 6-0,Orantes,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
2,H2H 1-1,Geoff Masters,SF,7-6 6-4,Karl Meiler,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
3,H2H 1-0,Louk Sanders,QF,6-2 6-0,Orantes,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
4,H2H 1-1,Tim Wilkison,QF,6-3 6-0,Crealy,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
5,H2H 2-1,Tom Gullikson,QF,3-6 6-1 6-4,Karl Meiler,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
6,H2H 1-1,Tim Gullikson,QF,6-2 6-1,Geoff Masters,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
7,H2H 2-1,Paul Kronk,R16,6-4 7-5,Orantes,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
8,H2H 1-0,Tom Gorman,R16,6-1 6-4,Louk Sanders,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
9,H2H 2-0,Hans-Jurgen Pohmann,R16,6-0 7-6,Crealy,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
10,H2H 2-0,Ross Case,R16,2-6 7-6 6-4,Tim Wilkison,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
11,H2H 1-0,Terry Moor,R16,6-4 6-3,Karl Meiler,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
12,H2H 1-0,Marcelo Lara,R16,4-6 7-6 1-0 Retired,Tom Gullikson,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
13,H2H 2-0,Richard Lewis,R16,7-6 6-4,Geoff Masters,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
14,H2H 1-1,Jiri Hrebec,R16,4-6 7-6 1-0 Retired,Tim Gullikson,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
15,H2H 3-0,Jean-Francois Caujolle,R32,0-6 6-4 6-2,Orantes,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
16,H2H 1-0,Pat Du Pre,R32,6-3 6-2,Paul Kronk,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
17,H2H 1-0,Jim Delaney,R32,6-2 7-5,Louk Sanders,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
18,H2H 3-0,Bob Carmichael,R32,6-1 4-6 6-4,Tom Gorman,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
19,H2H 1-0,Alexander Marcial,R32,7-6 6-4,Crealy,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
20,H2H 1-0,Jacques Thamin,R32,6-4 7-6,Hans-Jurgen Pohmann,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
21,H2H 3-0,Peter Feigl,R32,7-5 6-2,Tim Wilkison,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
22,H2H 1-0,John Whitlinger,R32,6-0 6-7 6-2,Ross Case,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
23,H2H 1-0,Romeo Rafon,R32,6-3 6-3,Karl Meiler,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
24,H2H 1-0,Jurgen Fassbender,R32,3-6 7-6 6-3,Terry Moor,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
25,H2H 1-0,Ismail El Shafei,R32,6-7 6-4 6-2,Tom Gullikson,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
26,H2H 1-0,Kim Warwick,R32,6-2 7-5,Marcelo Lara,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
27,H2H 2-0,Rick Fagel,R32,3-6 6-3 6-3,Geoff Masters,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
28,H2H 1-0,Stone,R32,6-4 7-6,Richard Lewis,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
29,H2H 1-0,Nick Saviano,R32,6-0 6-1,Jiri Hrebec,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
30,H2H 5-0,Russell Simpson,R32,6-4 6-1,Tim Gullikson,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
31,,M Cahill / T Moor,F,4-6 6-0 7-6,C Kachel / J Marks,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
32,,S Ball / K Warwick,SF,6-4 7-6,C Kachel / J Marks,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
33,,I El Shafei / O Orantes,SF,6-3 7-5,M Cahill / T Moor,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
34,,R Fagel / T Wilkison,QF,6-2 7-5,S Ball / K Warwick,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
35,,J Delaney / P Du Pre,QF,6-2 1-6 6-3,C Kachel / J Marks,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
36,,C Crealy / C Letcher,QF,6-3 6-3,I El Shafei / O Orantes,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
37,,N Saviano / J Whitlinger,QF,6-4 6-7 6-3,M Cahill / T Moor,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
38,,T Gullikson / T Gullikson,R16,7-5 6-4,S Ball / K Warwick,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
39,,P Kronk / M Lara,R16,6-4 6-7 6-4,R Fagel / T Wilkison,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
40,,G Halder / J Thamin,R16,5-7 6-4 7-6,J Delaney / P Du Pre,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
41,,A Marcial / R Rafon,R16,6-4 6-1,C Kachel / J Marks,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
42,,J Bartlett / R Simpson,R16,7-6 4-6 6-3,C Crealy / C Letcher,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
43,,B Carmichael / H Pohmann,R16,6-4 4-6 6-1,I El Shafei / O Orantes,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
44,,T Gorman / S Stone,R16,5-7 6-3 6-3,M Cahill / T Moor,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
45,,S Carnahan / C Hagey,R16,6-4 6-7 6-3,N Saviano / J Whitlinger,1977-11-14,https://matchstat.com/tennis/tournaments/m/Manila/1977,Manila
