,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 7-3,Marcelo Rios,F,6-4 1-0 Retired,Thomas Enqvist,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
1,H2H 2-1,Sergio Bruguera,SF,6-3 6-7 6-4,Marcelo Rios,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
2,H2H 3-0,Fabrice Santoro,SF,6-4 6-3,Thomas Enqvist,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
3,H2H 4-3,Magnus Larsson,QF,3-6 7-5 6-4,Marcelo Rios,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
4,H2H 5-0,Andrei Chesnokov,QF,6-3 6-2,Sergio Bruguera,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
5,H2H 7-7,Marc Rosset,QF,3-6 6-3 7-5,Fabrice Santoro,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
6,H2H 3-0,Hendrik Dreekmann,QF,6-4 3-6 6-1,Thomas Enqvist,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
7,H2H 1-0,Johan Van Herck,R16,6-2 6-4,Marcelo Rios,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
8,H2H 2-1,Arnaud Clement,R16,6-3 6-1,Magnus Larsson,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
9,H2H 2-3,Daniel Vacek,R16,6-3 6-3,Andrei Chesnokov,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
10,H2H 2-0,Lionel Roux,R16,4-6 6-3 6-2,Sergio Bruguera,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
11,H2H 4-2,Petr Korda,R16,6-4 6-4,Fabrice Santoro,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
12,H2H 3-2,Nicklas Kulti,R16,6-3 7-6,Marc Rosset,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
13,H2H 1-1,Tomas Carbonell,R16,1-6 7-5 6-1,Hendrik Dreekmann,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
14,H2H 6-2,Dominik Hrbaty,R16,6-3 6-2,Thomas Enqvist,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
15,H2H 2-2,Juan-Albert Viloca-Puig,R32,7-6 6-4,Marcelo Rios,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
16,H2H 6-1,Filip De Wulf,R32,6-4 6-4,Johan Van Herck,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
17,H2H 3-2,Karol Kucera,R32,6-1 6-1,Arnaud Clement,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
18,H2H 2-3,Francisco Clavet,R32,2-6 6-4 6-3,Magnus Larsson,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
19,H2H 1-5,Michael Stich,R32,6-4 6-2,Daniel Vacek,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
20,H2H 4-1,Olivier Delaitre,R32,4-6 6-2 6-4,Andrei Chesnokov,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
21,H2H 2-0,Andrei Olhovskiy,R32,6-1 2-6 6-4,Lionel Roux,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
22,H2H 4-3,Cedric Pioline,R32,6-1 6-7 6-1,Sergio Bruguera,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
23,H2H 2-0,Francisco Roig,R32,6-4 4-6 7-6,Petr Korda,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
24,H2H 9-3,Sebastien Grosjean,R32,6-4 5-7 6-1,Fabrice Santoro,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
25,H2H 1-1,Max Mirnyi,R32,6-2 6-4,Nicklas Kulti,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
26,H2H 2-0,Gilbert Schaller,R32,6-1 6-4,Marc Rosset,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
27,H2H 1-0,Thierry Champion,R32,6-2 3-1 Retired,Hendrik Dreekmann,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
28,H2H 3-0,Mikael Tillstrom,R32,3-6 6-1 6-0,Tomas Carbonell,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
29,H2H 1-0,Stephane Simian,R32,7-6 6-7 7-6,Dominik Hrbaty,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
30,H2H 3-0,Patrik Fredriksson,R32,6-1 6-2,Thomas Enqvist,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
31,,O Delaitre / F Santoro,F,6-3 6-4,T Enqvist / M Larsson,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
32,,D Adams / M Oosting,SF,6-4 6-4,O Delaitre / F Santoro,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
33,,T Kempers / T Nijssen,SF,6-4 6-4,T Enqvist / M Larsson,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
34,,L Bale / C Ferreira,QF,6-4 3-6 6-1,D Adams / M Oosting,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
35,,C Brandi / S Pescosolido,QF,6-4 6-2,O Delaitre / F Santoro,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
36,,T Carbonell / F Roig,QF,4-6 6-3 6-3,T Kempers / T Nijssen,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
37,,N Broad / P Norval,QF,4-6 6-1 7-6,T Enqvist / M Larsson,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
38,,S Grosjean / H Leconte,R16,WO,D Adams / M Oosting,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
39,,J Alonso / V Santopadre,R16,6-3 7-6,L Bale / C Ferreira,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
40,,J de Jager / A Olhovskiy,R16,6-4 6-3,O Delaitre / F Santoro,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
41,,P Fredriksson / S Noteboom,R16,6-2 7-5,C Brandi / S Pescosolido,1997-02-10,https://matchstat.com/tennis/tournaments/m/Marseille/1997,Marseille
