,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-8,Tomas Berdych,11.0,2.0,6124984.0,186931.0,,1.72,Tomas Berdych,104.0,7.0,1.0,106.0,35.0,91.0,62.0,53.0,29.0,16.0,,,,,,1.0,197.0,,,1.72,2.30,F,3-6 7-6(6) 6-4,Jo-Wilfried Tsonga,17.0,3.0,6124984.0,186932.0,,2.3,Jo-Wilfried Tsonga,93.0,2.0,1.0,91.0,22.0,106.0,75.0,58.0,31.0,13.0,,,,,,2.0,197.0,,,2013-02-18,https://matchstat.com/tennis/tournaments/m/Marseille/2013,Marseille
1,H2H 9-1,Dmitry Tursunov,1.0,1.0,6124982.0,185758.0,,6.35,Dmitry Tursunov,32.0,2.0,0.0,43.0,9.0,46.0,39.0,19.0,7.0,4.0,,,,,,2.0,89.0,,,6.35,1.16,SF,6-2 6-1,Tomas Berdych,9.0,0.0,6124982.0,185757.0,,1.16,Tomas Berdych,57.0,6.0,4.0,46.0,23.0,43.0,27.0,25.0,16.0,9.0,,,,,,1.0,89.0,,,2013-02-18,https://matchstat.com/tennis/tournaments/m/Marseille/2013,Marseille
2,H2H 8-3,Gilles Simon,3.0,2.0,6124983.0,185766.0,,2.45,Gilles Simon,40.0,3.0,0.0,47.0,11.0,54.0,32.0,17.0,22.0,12.0,,,,,,2.0,101.0,,,2.45,1.64,SF,6-2 6-2,Jo-Wilfried Tsonga,7.0,0.0,6124983.0,185765.0,,1.637,Jo-Wilfried Tsonga,61.0,10.0,4.0,54.0,25.0,47.0,35.0,27.0,12.0,9.0,,,,,,1.0,101.0,,,2013-02-18,https://matchstat.com/tennis/tournaments/m/Marseille/2013,Marseille
3,H2H 3-0,Jerzy Janowicz,16.0,1.0,6124978.0,186870.0,,3.41,Jerzy Janowicz,79.0,0.0,0.0,87.0,22.0,79.0,63.0,50.0,16.0,7.0,,,,,,2.0,166.0,,,3.41,1.38,QF,6-3 6-7(0) 6-3,Tomas Berdych,11.0,1.0,6124978.0,186869.0,,1.377,Tomas Berdych,87.0,3.0,2.0,79.0,22.0,87.0,52.0,44.0,35.0,21.0,,,,,,1.0,166.0,,,2013-02-18,https://matchstat.com/tennis/tournaments/m/Marseille/2013,Marseille
4,H2H 3-0,Gilles Muller,27.0,5.0,6124979.0,186864.0,,2.08,Gilles Muller,101.0,5.0,3.0,102.0,36.0,86.0,53.0,46.0,33.0,19.0,,,,,,2.0,188.0,,,2.08,1.85,QF,7-6(7) 1-6 7-5,Dmitry Tursunov,10.0,3.0,6124979.0,186863.0,,1.85,Dmitry Tursunov,87.0,3.0,1.0,86.0,21.0,102.0,72.0,53.0,30.0,13.0,,,,,,1.0,188.0,,,2013-02-18,https://matchstat.com/tennis/tournaments/m/Marseille/2013,Marseille
5,H2H 3-0,Bernard Tomic,7.0,3.0,6124980.0,186865.0,,4.3,Bernard Tomic,105.0,1.0,1.0,91.0,22.0,128.0,88.0,63.0,40.0,20.0,,,,,,1.0,219.0,,,4.30,1.27,QF,4-6 6-3 7-6(10),Jo-Wilfried Tsonga,19.0,2.0,6124980.0,186866.0,,1.27,Jo-Wilfried Tsonga,114.0,9.0,1.0,128.0,45.0,91.0,67.0,58.0,24.0,11.0,,,,,,2.0,219.0,,,2013-02-18,https://matchstat.com/tennis/tournaments/m/Marseille/2013,Marseille
6,H2H 3-4,Juan Martin Del Potro,6.0,0.0,6124981.0,186872.0,,1.38,Juan Martin Del Potro,56.0,3.0,0.0,67.0,22.0,53.0,40.0,27.0,13.0,7.0,,,,,,2.0,120.0,,,1.38,3.40,QF,6-4 6-3,Gilles Simon,8.0,2.0,6124981.0,186871.0,,3.4,Gilles Simon,64.0,4.0,2.0,53.0,19.0,67.0,40.0,29.0,27.0,16.0,,,,,,1.0,120.0,,,2013-02-18,https://matchstat.com/tennis/tournaments/m/Marseille/2013,Marseille
7,H2H 4-3,Ernests Gulbis,19.0,2.0,6124970.0,186810.0,,3.15,Ernests Gulbis,93.0,5.0,1.0,98.0,28.0,99.0,71.0,54.0,28.0,11.0,,,,,,2.0,197.0,,,3.15,1.40,R16,6-4 6-7(10) 6-4,Tomas Berdych,8.0,2.0,6124970.0,186809.0,,1.4,Tomas Berdych,104.0,3.0,3.0,99.0,34.0,98.0,66.0,51.0,32.0,19.0,,,,,,1.0,197.0,,,2013-02-18,https://matchstat.com/tennis/tournaments/m/Marseille/2013,Marseille
8,H2H 3-1,Julien Benneteau,9.0,2.0,6124971.0,186851.0,,1.96,Julien Benneteau,58.0,2.0,0.0,67.0,16.0,65.0,40.0,30.0,25.0,12.0,,,,,,1.0,132.0,,,1.96,1.92,R16,7-6(0) 6-3,Jerzy Janowicz,14.0,1.0,6124971.0,186852.0,,1.92,Jerzy Janowicz,74.0,7.0,1.0,65.0,23.0,67.0,45.0,37.0,22.0,14.0,,,,,,2.0,132.0,,,2013-02-18,https://matchstat.com/tennis/tournaments/m/Marseille/2013,Marseille
9,H2H 3-4,Janko Tipsarevic,8.0,2.0,6124972.0,186831.0,,1.27,Janko Tipsarevic,65.0,4.0,0.0,80.0,24.0,60.0,34.0,27.0,26.0,14.0,,,,,,1.0,140.0,,,1.27,4.10,R16,7-6(4) 6-2,Dmitry Tursunov,8.0,2.0,6124972.0,186832.0,,4.1,Dmitry Tursunov,75.0,6.0,2.0,60.0,19.0,80.0,50.0,39.0,30.0,17.0,,,,,,2.0,140.0,,,2013-02-18,https://matchstat.com/tennis/tournaments/m/Marseille/2013,Marseille
